Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
CM,9/16/12,H,1,70,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,9/16/12,H,2,75,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,9/16/12,H,3,50,0,25,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,H,4,93,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,0,0,,,0,0,0,100,
CM,12/10/12,H,5,79,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,100,
CM,9/16/12,M,1,30,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,9/16/12,M,2,68,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,,,0,0,0,100,
CM,9/16/12,M,3,55,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,9/16/12,M,4,25,0,70,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,9/16/12,M,5,50,0,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,12/10/12,M,6,83,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,7,59,0,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,8,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,9,55,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,10,45,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,11,44,0,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,12,60,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,13,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,12/10/12,M,14,80,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,M,15,83,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,100,
CM,9/16/12,L,1,25,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,,0,0,0,,,0,0,0,100,
CM,9/16/12,L,2,48,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,,,0,0,0,100,
CM,9/16/12,L,3,0,0,78,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
CM,12/10/12,L,4,25,0,0,0,0,5,5,30,0,0,0,0,0,0,0,0,0,0,35,0,0,0,,0,0,0,,,0,0,0,100,
CM,12/10/12,L,5,0,0,5,0,0,20,20,40,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,H,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,H,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,H,2,65,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,H,3,65,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,H,4,35,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,M,1,87,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,5,0,<1,,,0,0,0,100,
AC,9/17/12,M,2,15,0,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,M,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,,,0,55,0,100,
AC,9/17/12,M,4,100,0,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,<1,100,
AC,9/17/12,M,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,40,0,100,
AC,9/17/12,M,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,<1,100,
AC,12/11/12,M,7,20,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,10,0,0,,,0,0,0,100,
AC,12/11/12,M,8,9,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,5,0,0,,,0,0,0,100,
AC,12/11/12,M,9,25,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,,,0,0,0,100,
AC,12/11/12,M,10,25,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AC,12/11/12,M,11,45,0,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,,,0,0,0,100,
AC,12/11/12,M,12,74,0,20,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,5,0,0,,,0,0,0,100,
AC,12/11/12,M,13,38,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,,,0,0,0,100,
AC,12/11/12,M,14,50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,,,0,0,0,100,
AC,12/11/12,M,15,10,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,,,0,0,0,100,
AC,9/17/12,L,1,0,0,25,5,0,25,0,0,0,0,25,0,0,0,0,0,0,15,5,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,L,2,0,0,10,0,0,65,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,,,4,0,0,100,
AC,9/17/12,L,3,0,0,55,5,10,0,0,5,0,0,0,20,0,0,0,0,0,0,5,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,L,4,0,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0,0,0,,,0,0,0,100,
AC,9/17/12,L,5,15,0,60,0,0,5,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,H,1,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,,0,0,0,,,0,0,0,100.01,
AP,10/16/12,H,2,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,H,3,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,H,4,80,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,H,5,85,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,M,1,45,0,40,0,0,0,10,0,0,<1,0,0,0,0,0,0,0,0,5,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,M,2,50,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,M,3,20,20,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,M,4,28,20,15,0,30,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,,,0,0,0,100,
AP,10/16/12,M,5,35,0,50,0,8,0,0,2,0,0,0,0,0,0,5,0,0,0,<1,0,0,0,,0,0,0,,,0,0,0,100,
AP,11/26/12,M,6,57,,15,,,,,5,,,,,,,,,,,15,,,2,,1,,,,,,,,95,5
AP,11/26/12,M,7,15,,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
AP,11/26/12,M,8,25,5,60,,,,,5,,,,,,,,,,,5,,,,,,,,,,,,,100,
AP,11/26/12,M,9,30,,55,,,,,10,,,,,,,,,,,,,,5,,,,,,,,,,100,
AP,11/26/12,M,10,30,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
AP,11/26/12,M,11,35,,65,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,100.01,
AP,11/26/12,M,12,70,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
AP,11/26/12,M,13,55,,45,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,100.01,
AP,11/26/12,M,14,60,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,
AP,11/26/12,M,15,80,,20,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,100.01,
AP,10/16/12,L,1,0,0,0,0,0,10,0,0,0,0,80,0,10,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,L,2,0,0,10,0,0,0,0,0,0,0,0,20,0,40,0,0,0,0,30,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,L,3,0,0,5,10,0,30,0,0,0,0,0,0,0,0,0,0,50,0,5,0,0,0,,0,0,0,,,0,0,0,100,
AP,10/16/12,L,4,5,0,53,0,25,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,,0,5,0,,,0,0,0,100,
AP,10/16/12,L,5,15,15,55,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,0,0,0,,,0,0,0,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
