Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
CM,9/16/12,H,1,0,0,40,60,0,,0,0,0,,,100
CM,9/16/12,H,2,0,0,0,100,0,,0,0,0,,,100
CM,9/16/12,H,3,0,30,0,70,0,,0,0,0,,,100
CM,12/10/12,H,4,0,0,50,50,,,,,,,,100
CM,12/10/12,H,5,0,0,15,10,,70,5,,,,,100
CM,9/17/12,M,1,0,0,70,30,0,,0,0,0,,,100
CM,9/16/12,M,2,0,0,30,70,0,,0,0,0,,,100
CM,9/16/12,M,3,0,0,30,70,0,,0,0,0,,,100
CM,9/16/12,M,4,0,5,50,45,0,,0,0,0,,,100
CM,9/16/12,M,5,0,0,90,10,0,,0,0,0,,,100
CM,12/10/12,M,6,,0,35,33,30,,,,2,,,100
CM,12/10/12,M,7,,45,55,,,,,,,,,100
CM,12/10/12,M,8,,,60,20,,20,,,,,,100
CM,12/10/12,M,9,,,80,20,,,,,,,,100
CM,12/10/12,M,10,,20,40,30,,10,,,,,,100
CM,12/10/12,M,11,,,10,10,70,10,,,,,,100
CM,12/10/12,M,12,,0,75,20,,5,,,,,,100
CM,12/10/12,M,13,,,40,50,,5,5,,,,,100
CM,12/10/12,M,14,,,70,15,,15,,,,,,100
CM,12/10/12,M,15,,,50,15,,35,,,,,,100
CM,9/16/12,L,1,0,0,60,40,0,,0,0,0,,,100
CM,9/16/12,L,2,0,0,40,60,0,,0,0,0,,,100
CM,9/16/12,L,3,0,0,30,70,0,,0,0,0,,,100
CM,12/10/12,L,4,0,0,75,10,10,,,,5,,,100
CM,12/10/12,L,5,,0,55,,45,,,,,,,100
AC,9/17/12,H,1,0,0,0,100,0,,0,0,0,,,100
AC,9/17/12,H,2,0,10,45,45,0,,0,0,0,,,100
AC,9/17/12,H,3,0,0,60,20,0,,20,0,0,,,100
AC,9/17/12,H,4,0,0,15,65,0,,20,0,0,,,100
AC,9/17/12,H,5,0,0,0,40,0,,60,0,0,,,100
AC,9/17/12,M,1,0,0,50,0,5,,30,15,0,,,100
AC,9/17/12,M,2,0,0,0,5,70,,10,0,15,,,100
AC,9/17/12,M,3,0,0,45,55,0,,0,0,0,,,100
AC,9/17/12,M,4,0,0,70,30,0,,<1,0,0,,,100
AC,9/17/12,M,5,0,0,30,40,30,,0,0,0,,,100
AC,9/17/12,M,6,0,5,50,40,0,,5,0,0,,,100
AC,12/11/12,M,7,0,0,75,5,,,20,,,,,100
AC,12/11/12,M,8,0,0,90,5,,,5,,,,,100
AC,12/11/12,M,9,0,0,45,0,,,5,,,,,50
AC,12/11/12,M,10,0,20,65,10,,5,<1,,,,,100
AC,12/11/12,M,11,0,0,90,0,,,10,,,,,100
AC,12/11/12,M,12,0,0,60,5,,35,,,,,,100
AC,12/11/12,M,13,0,0,75,10,,15,,,,,,100
AC,12/11/12,M,14,0,25,50,15,,10,,,,,,100
AC,12/11/12,M,15,0,0,53,8,35,,5,,,,,101
AC,9/17/12,L,1,0,0,0,0,0,,0,100,0,,,100
AC,9/17/12,L,2,0,0,0,0,0,,0,100,0,,,100
AC,9/17/12,L,3,0,0,0,0,0,,0,85,15,,,100
AC,9/17/12,L,4,0,0,35,5,0,,0,0,60,,,100
AC,9/17/12,L,5,0,50,40,10,0,,0,0,0,,,100
AP,10/16/12,H,1,0,0,50,40,0,,10,0,0,,,100
AP,10/16/12,H,2,0,15,50,30,0,,5,0,0,,,100
AP,10/16/12,H,3,0,0,50,30,0,,20,0,0,,,100
AP,10/16/12,H,4,0,0,60,35,0,,5,0,0,,,100
AP,10/16/12,H,5,0,0,15,20,0,,5,60,0,,,100
AP,10/16/12,M,1,0,0,15,40,0,,0,40,5,,,100
AP,10/16/12,M,2,0,0,20,30,0,,0,50,0,,,100
AP,10/16/12,M,3,0,0,35,10,0,,20,35,0,,,100
AP,10/16/12,M,4,25,0,45,10,0,,20,0,0,,,100
AP,10/16/12,M,5,0,40,35,20,0,,5,0,0,,,100
AP,11/26/12,M,6,0,0,5,50,40,,,,5,,,100
AP,11/26/12,M,7,0,0,,,,,,100,,,,100
AP,11/26/12,M,8,0,0,50,40,,,5,5,,,,100
AP,11/26/12,M,9,0,0,25,15,,,,60,,,,100
AP,11/26/12,M,10,0,0,20,5,,,,75,,,,100
AP,11/26/12,M,11,,,,10,,,,90,,,,100
AP,11/26/12,M,12,0,0,20,30,30,,,20,,,,100
AP,11/26/12,M,13,,,30,20,50,,,,,,,100
AP,11/26/12,M,14,0,0,0,5,,55,,40,,,,100
AP,11/26/12,M,15,,,25,10,25,40,,,,,,100
AP,10/16/12,L,1,0,0,0,0,0,,0,100,0,,,100
AP,10/16/12,L,2,0,0,0,0,0,,0,100,0,,,100
AP,10/16/12,L,3,0,0,0,0,0,,0,100,0,,,100
AP,10/16/12,L,4,0,0,0,0,0,,0,100,0,,,100
AP,10/16/12,L,5,0,0,0,0,0,,0,100,0,,,100
TC,12/12/12,H,1,30,70,,,,,,,,,,100
TC,12/12/12,H,2,0,65,20,10,,,5,,,,,100
TC,12/12/12,H,3,0,0,60,7,30,,3,,,,,100
TC,12/12/12,H,4,0,5,45,19,,,1,,30,,,100
TC,12/12/12,H,5,0,70,20,10,,,,,,,,100
TC,12/12/12,M,1,,,,,,,,,,,,0
TC,12/12/12,M,2,,,,,,,,,,,,0
TC,12/12/12,M,3,,,,,,,,,,,,0
TC,12/12/12,M,4,,,,,,,,,,,,0
TC,12/12/12,M,5,,,,,,,,,,,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
