Date,Time ,Conditions,Site,Treatment,P. cinctipes (postlarvae),Cancer spp. (postlarvae),Pachygrapsus crassipes (postlarvae),Hemigrapsus nudus (postlarvae),Cancer productus (postlarvae),Hemigrapsus,Fabia subquadrata (postlarvae),Pinnixia (postlarvae),Pugettia (postlarvae),Rockfish (juv2to3inch),Anoplarchus purpurescens,Unknown crab,Cancer spp. (mostly magister) (juv and adults),Pugettia (juv to adult),Comments
7/1/13,10:30,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/1/13,10:30,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/1/13,10:30,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/1/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Littornina snail
7/1/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Littornina snail
7/1/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/1/13,11:00,clear,DB,Crab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rockfish-looking fish inside tuffy, 2-3"" long, 1 adult P. cinctipes escaped through a hole in the crab bag and was hanging onto the tuffy"
7/1/13,11:00,clear,DB,Crab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"rockfish-looking fish inside tuffy, 2-3"" long"
7/1/13,11:00,clear,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,10:00,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,10:00,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,10:00,clear,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,12:00,clear,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,10:30,clear,DB,Crab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rockfish-looking fish
7/3/13,10:30,clear,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/3/13,10:30,clear,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/8/13,9:00,foggy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/8/13,9:00,foggy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/8/13,10:30,foggy,CC,Crab,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1 Gunnell (Anoplarchus purpurescens, ~2"")"
7/8/13,10:30,foggy,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 Littorina
7/8/13,10:30,foggy,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 Littorina
7/8/13,9:30,foggy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/8/13,9:30,foggy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Cancer spp. ~1-2"""
7/8/13,9:30,foggy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,10:00,cloudy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"2 Cancer magister <6"", HOLE IN CRAB BAG, ONLY 2 ADULT P. CINCTIPES LEFT"
7/11/13,10:00,cloudy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,11:00,cloudy,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,11:00,cloudy,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,11:00,cloudy,CC,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,10:30,cloudy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1 juvenile Cancer magister
7/11/13,10:30,cloudy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/11/13,10:30,cloudy,DB,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
7/15/13,10:30,foggy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,large Cancer magister
7/15/13,10:30,foggy,CG,Crab,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
