Date ,Day,Time,Sampling period,Predicted (ft),Pred(cm),High/Low,Difference (ft),absval difference (ft)
2012/12/31,Mon,1:20 AM,NA,4.8,146,H,1.9,1.9
2012/12/31,Mon,6:32 AM,NA,2.9,88,L,-2.5,2.5
2012/12/31,Mon,11:59 AM,NA,5.4,165,H,5.5,5.5
2012/12/31,Mon,6:57 PM,NA,-0.1,-3,L,-5,5
2013/01/01,Tue,1:52 AM,NA,4.9,149,H,2.1,2.1
2013/01/01,Tue,7:18 AM,NA,2.8,85,L,-2.2,2.2
2013/01/01,Tue,12:44 PM,NA,5,152,H,4.7,4.7
2013/01/01,Tue,7:33 PM,NA,0.3,9,L,-4.7,4.7
2013/01/02,Wed,2:28 AM,NA,5,152,H,2.4,2.4
2013/01/02,Wed,8:13 AM,NA,2.6,79,L,-2,2
2013/01/02,Wed,1:35 PM,NA,4.6,140,H,3.9,3.9
2013/01/02,Wed,8:13 PM,NA,0.7,21,L,-4.5,4.5
2013/01/03,Thu,3:06 AM,NA,5.2,158,H,2.9,2.9
2013/01/03,Thu,9:16 AM,NA,2.3,70,L,-1.8,1.8
2013/01/03,Thu,2:37 PM,NA,4.1,125,H,3,3
2013/01/03,Thu,8:58 PM,NA,1.1,34,L,-4.3,4.3
2013/01/04,Fri,3:48 AM,NA,5.4,165,H,3.5,3.5
2013/01/04,Fri,10:24 AM,NA,1.9,58,L,-1.9,1.9
2013/01/04,Fri,3:55 PM,NA,3.8,116,H,2.2,2.2
2013/01/04,Fri,9:49 PM,NA,1.6,49,L,-4,4
2013/01/05,Sat,4:35 AM,NA,5.6,171,H,4.3,4.3
2013/01/05,Sat,11:33 AM,NA,1.3,40,L,-2.3,2.3
2013/01/05,Sat,5:29 PM,NA,3.6,110,H,1.5,1.5
2013/01/05,Sat,10:49 PM,NA,2.1,64,L,-3.8,3.8
2013/01/06,Sun,5:25 AM,NA,5.9,180,H,5.3,5.3
2013/01/06,Sun,12:37 PM,NA,0.6,18,L,-3.1,3.1
2013/01/06,Sun,7:02 PM,NA,3.7,113,H,1.3,1.3
2013/01/06,Sun,11:55 PM,NA,2.4,73,L,-3.8,3.8
2013/01/07,Mon,6:17 AM,NA,6.2,189,H,6.2,6.2
2013/01/07,Mon,1:35 PM,NA,0,0,L,-4,4
2013/01/07,Mon,8:17 PM,NA,4,122,H,1.4,1.4
2013/01/08,Tue,1:01 AM,NA,2.6,79,L,-3.9,3.9
2013/01/08,Tue,7:11 AM,NA,6.5,198,H,7.1,7.1
2013/01/08,Tue,2:28 PM,NA,-0.6,-18,L,-5,5
2013/01/08,Tue,9:17 PM,NA,4.4,134,H,1.7,1.7
2013/01/09,Wed,2:03 AM,NA,2.7,82,L,-4.1,4.1
2013/01/09,Wed,8:04 AM,NA,6.8,207,H,7.8,7.8
2013/01/09,Wed,3:18 PM,NA,-1,-30,L,-5.7,5.7
2013/01/09,Wed,10:08 PM,NA,4.7,143,H,2.1,2.1
2013/01/10,Thu,3:01 AM,NA,2.6,79,L,-4.3,4.3
2013/01/10,Thu,8:57 AM,NA,6.9,210,H,8.2,8.2
2013/01/10,Thu,4:06 PM,NA,-1.3,-40,L,-6.3,6.3
2013/01/10,Thu,10:54 PM,NA,5,152,H,2.5,2.5
2013/01/11,Fri,3:56 AM,NA,2.5,76,L,-4.4,4.4
2013/01/11,Fri,9:48 AM,NA,6.9,210,H,8.2,8.2
2013/01/11,Fri,4:51 PM,NA,-1.3,-40,L,-6.5,6.5
2013/01/11,Fri,11:38 PM,NA,5.2,158,H,2.9,2.9
2013/01/12,Sat,4:49 AM,NA,2.3,70,L,-4.4,4.4
2013/01/12,Sat,10:39 AM,NA,6.7,204,H,7.9,7.9
2013/01/12,Sat,5:35 PM,NA,-1.2,-37,L,-6.6,6.6
2013/01/13,Sun,12:20 AM,NA,5.4,165,H,3.2,3.2
2013/01/13,Sun,5:43 AM,NA,2.2,67,L,-4.2,4.2
2013/01/13,Sun,11:29 AM,NA,6.4,195,H,7.2,7.2
2013/01/13,Sun,6:19 PM,NA,-0.8,-24,L,-6.3,6.3
2013/01/14,Mon,1:01 AM,NA,5.5,168,H,3.4,3.4
2013/01/14,Mon,6:38 AM,NA,2.1,64,L,-3.8,3.8
2013/01/14,Mon,12:20 PM,NA,5.9,180,H,6.3,6.3
2013/01/14,Mon,7:02 PM,NA,-0.4,-12,L,-6,6
2013/01/15,Tue,1:43 AM,NA,5.6,171,H,3.6,3.6
2013/01/15,Tue,7:36 AM,NA,2,61,L,-3.3,3.3
2013/01/15,Tue,1:14 PM,NA,5.3,162,H,5.1,5.1
2013/01/15,Tue,7:45 PM,NA,0.2,6,L,-5.4,5.4
2013/01/16,Wed,2:24 AM,NA,5.6,171,H,3.7,3.7
2013/01/16,Wed,8:38 AM,NA,1.9,58,L,-2.7,2.7
2013/01/16,Wed,2:12 PM,NA,4.6,140,H,3.7,3.7
2013/01/16,Wed,8:30 PM,NA,0.9,27,L,-4.7,4.7
2013/01/17,Thu,3:07 AM,NA,5.6,171,H,3.9,3.9
2013/01/17,Thu,9:45 AM,NA,1.7,52,L,-2.3,2.3
2013/01/17,Thu,3:21 PM,NA,4,122,H,2.5,2.5
2013/01/17,Thu,9:19 PM,NA,1.5,46,L,-4,4
2013/01/18,Fri,3:52 AM,NA,5.5,168,H,4,4
2013/01/18,Fri,10:55 AM,NA,1.5,46,L,-2.2,2.2
2013/01/18,Fri,4:45 PM,NA,3.7,113,H,1.6,1.6
2013/01/18,Fri,10:14 PM,NA,2.1,64,L,-3.4,3.4
2013/01/19,Sat,4:39 AM,NA,5.5,168,H,4.3,4.3
2013/01/19,Sat,12:04 PM,NA,1.2,37,L,-2.4,2.4
2013/01/19,Sat,6:19 PM,NA,3.6,110,H,1,1
2013/01/19,Sat,11:16 PM,NA,2.6,79,L,-2.9,2.9
2013/01/20,Sun,5:28 AM,NA,5.5,168,H,4.6,4.6
2013/01/20,Sun,1:06 PM,NA,0.9,27,L,-2.8,2.8
2013/01/20,Sun,7:41 PM,NA,3.7,113,H,0.8,0.8
2013/01/21,Mon,12:20 AM,NA,2.9,88,L,-2.7,2.7
2013/01/21,Mon,6:18 AM,NA,5.6,171,H,5,5
2013/01/21,Mon,1:58 PM,NA,0.6,18,L,-3.4,3.4
2013/01/21,Mon,8:42 PM,NA,4,122,H,1,1
2013/01/22,Tue,1:20 AM,NA,3,91,L,-2.6,2.6
2013/01/22,Tue,7:06 AM,NA,5.6,171,H,5.3,5.3
2013/01/22,Tue,2:43 PM,NA,0.3,9,L,-3.9,3.9
2013/01/22,Tue,9:29 PM,NA,4.2,128,H,1.2,1.2
2013/01/23,Wed,2:12 AM,NA,3,91,L,-2.7,2.7
2013/01/23,Wed,7:51 AM,NA,5.7,174,H,5.6,5.6
2013/01/23,Wed,3:21 PM,NA,0.1,3,L,-4.3,4.3
2013/01/23,Wed,10:07 PM,NA,4.4,134,H,1.5,1.5
2013/01/24,Thu,2:57 AM,NA,2.9,88,L,-3,3
2013/01/24,Thu,8:33 AM,NA,5.9,180,H,5.9,5.9
2013/01/24,Thu,3:55 PM,NA,0,0,L,-4.5,4.5
2013/01/24,Thu,10:39 PM,NA,4.5,137,H,1.7,1.7
2013/01/25,Fri,3:38 AM,NA,2.8,85,L,-3.1,3.1
2013/01/25,Fri,9:13 AM,NA,5.9,180,H,6,6
2013/01/25,Fri,4:26 PM,NA,-0.1,-3,L,-4.8,4.8
2013/01/25,Fri,11:09 PM,NA,4.7,143,H,2,2
2013/01/26,Sat,4:16 AM,NA,2.7,82,L,-3.2,3.2
2013/01/26,Sat,9:52 AM,NA,5.9,180,H,6.1,6.1
2013/01/26,Sat,4:56 PM,NA,-0.2,-6,L,-5,5
2013/01/26,Sat,11:37 PM,NA,4.8,146,H,2.2,2.2
2013/01/27,Sun,4:52 AM,NA,2.6,79,L,-3.3,3.3
2013/01/27,Sun,10:30 AM,NA,5.9,180,H,6,6
2013/01/27,Sun,5:25 PM,NA,-0.1,-3,L,-5.1,5.1
2013/01/28,Mon,12:05 AM,NA,5,152,H,2.6,2.6
2013/01/28,Mon,5:30 AM,NA,2.4,73,L,-3.3,3.3
2013/01/28,Mon,11:09 AM,NA,5.7,174,H,5.7,5.7
2013/01/28,Mon,5:56 PM,NA,0,0,L,-5.1,5.1
2013/01/29,Tue,12:35 AM,NA,5.1,155,H,2.9,2.9
2013/01/29,Tue,6:10 AM,NA,2.2,67,L,-3.2,3.2
2013/01/29,Tue,11:51 AM,NA,5.4,165,H,5.2,5.2
2013/01/29,Tue,6:28 PM,NA,0.2,6,L,-5,5
2013/01/30,Wed,1:06 AM,NA,5.2,158,H,3.2,3.2
2013/01/30,Wed,6:54 AM,NA,2,61,L,-3,3
2013/01/30,Wed,12:36 PM,NA,5,152,H,4.4,4.4
2013/01/30,Wed,7:03 PM,NA,0.6,18,L,-4.8,4.8
2013/01/31,Thu,1:40 AM,NA,5.4,165,H,3.6,3.6
2013/01/31,Thu,7:45 AM,NA,1.8,55,L,-2.8,2.8
2013/01/31,Thu,1:28 PM,NA,4.6,140,H,3.5,3.5
2013/01/31,Thu,7:41 PM,NA,1.1,34,L,-4.4,4.4
2013/02/01,Fri,2:18 AM,NA,5.5,168,H,4,4
2013/02/01,Fri,8:43 AM,NA,1.5,46,L,-2.6,2.6
2013/02/01,Fri,2:31 PM,NA,4.1,125,H,2.5,2.5
2013/02/01,Fri,8:25 PM,NA,1.6,49,L,-4.1,4.1
2013/02/02,Sat,3:01 AM,NA,5.7,174,H,4.5,4.5
2013/02/02,Sat,9:49 AM,NA,1.2,37,L,-2.6,2.6
2013/02/02,Sat,3:51 PM,NA,3.8,116,H,1.7,1.7
2013/02/02,Sat,9:18 PM,NA,2.1,64,L,-3.7,3.7
2013/02/03,Sun,3:52 AM,NA,5.8,177,H,4.9,4.9
2013/02/03,Sun,11:00 AM,NA,0.9,27,L,-2.7,2.7
2013/02/03,Sun,5:28 PM,NA,3.6,110,H,1,1
2013/02/03,Sun,10:24 PM,NA,2.6,79,L,-3.3,3.3
2013/02/04,Mon,4:50 AM,NA,5.9,180,H,5.5,5.5
2013/02/04,Mon,12:11 PM,NA,0.4,12,L,-3.4,3.4
2013/02/04,Mon,7:01 PM,NA,3.8,116,H,1,1
2013/02/04,Mon,11:40 PM,NA,2.8,85,L,-3.3,3.3
2013/02/05,Tue,5:53 AM,NA,6.1,186,H,6.1,6.1
2013/02/05,Tue,1:16 PM,NA,0,0,L,-4.2,4.2
2013/02/05,Tue,8:10 PM,NA,4.2,128,H,1.4,1.4
2013/02/06,Wed,12:54 AM,NA,2.8,85,L,-3.5,3.5
2013/02/06,Wed,6:55 AM,NA,6.3,192,H,6.7,6.7
2013/02/06,Wed,2:13 PM,NA,-0.4,-12,L,-5,5
2013/02/06,Wed,9:04 PM,NA,4.6,140,H,1.9,1.9
2013/02/07,Thu,2:00 AM,NA,2.7,82,L,-3.8,3.8
2013/02/07,Thu,7:55 AM,NA,6.5,198,H,7.2,7.2
2013/02/07,Thu,3:03 PM,NA,-0.7,-21,L,-5.6,5.6
2013/02/07,Thu,9:49 PM,NA,4.9,149,H,2.5,2.5
2013/02/08,Fri,2:58 AM,NA,2.4,73,L,-4.2,4.2
2013/02/08,Fri,8:50 AM,NA,6.6,201,H,7.4,7.4
2013/02/08,Fri,3:49 PM,NA,-0.8,-24,L,-6,6
2013/02/08,Fri,10:30 PM,NA,5.2,158,H,3.1,3.1
2013/02/09,Sat,3:51 AM,NA,2.1,64,L,-4.4,4.4
2013/02/09,Sat,9:43 AM,NA,6.5,198,H,7.3,7.3
2013/02/09,Sat,4:32 PM,NA,-0.8,-24,L,-6.2,6.2
2013/02/09,Sat,11:08 PM,NA,5.4,165,H,3.6,3.6
2013/02/10,Sun,4:41 AM,NA,1.8,55,L,-4.6,4.6
2013/02/10,Sun,10:33 AM,NA,6.4,195,H,6.9,6.9
2013/02/10,Sun,5:13 PM,NA,-0.5,-15,L,-6.1,6.1
2013/02/10,Sun,11:45 PM,NA,5.6,171,H,4.1,4.1
2013/02/11,Mon,5:29 AM,NA,1.5,46,L,-4.5,4.5
2013/02/11,Mon,11:21 AM,NA,6,183,H,6.1,6.1
2013/02/11,Mon,5:53 PM,NA,-0.1,-3,L,-5.8,5.8
2013/02/12,Tue,12:21 AM,NA,5.7,174,H,4.3,4.3
2013/02/12,Tue,6:18 AM,NA,1.4,43,L,-4.2,4.2
2013/02/12,Tue,12:10 PM,NA,5.6,171,H,5.3,5.3
2013/02/12,Tue,6:32 PM,NA,0.3,9,L,-5.4,5.4
2013/02/13,Wed,12:56 AM,NA,5.7,174,H,4.4,4.4
2013/02/13,Wed,7:07 AM,NA,1.3,40,L,-3.7,3.7
2013/02/13,Wed,1:00 PM,NA,5,152,H,4.1,4.1
2013/02/13,Wed,7:11 PM,NA,0.9,27,L,-4.7,4.7
2013/02/14,Thu,1:32 AM,NA,5.6,171,H,4.3,4.3
2013/02/14,Thu,7:59 AM,NA,1.3,40,L,-3.2,3.2
2013/02/14,Thu,1:55 PM,NA,4.5,137,H,3,3
2013/02/14,Thu,7:52 PM,NA,1.5,46,L,-4,4
2013/02/15,Fri,2:09 AM,NA,5.5,168,H,4.2,4.2
2013/02/15,Fri,8:56 AM,NA,1.3,40,L,-2.7,2.7
2013/02/15,Fri,2:58 PM,NA,4,122,H,1.9,1.9
2013/02/15,Fri,8:38 PM,NA,2.1,64,L,-3.3,3.3
2013/02/16,Sat,2:50 AM,NA,5.4,165,H,4.1,4.1
2013/02/16,Sat,9:59 AM,NA,1.3,40,L,-2.4,2.4
2013/02/16,Sat,4:17 PM,NA,3.7,113,H,1.1,1.1
2013/02/16,Sat,9:33 PM,NA,2.6,79,L,-2.6,2.6
2013/02/17,Sun,3:37 AM,NA,5.2,158,H,4,4
2013/02/17,Sun,11:08 AM,NA,1.2,37,L,-2.4,2.4
2013/02/17,Sun,5:52 PM,NA,3.6,110,H,0.7,0.7
2013/02/17,Sun,10:39 PM,NA,2.9,88,L,-2.3,2.3
2013/02/18,Mon,4:31 AM,NA,5.2,158,H,4.1,4.1
2013/02/18,Mon,12:16 PM,NA,1.1,34,L,-2.6,2.6
2013/02/18,Mon,7:15 PM,NA,3.7,113,H,0.6,0.6
2013/02/18,Mon,11:52 PM,NA,3.1,94,L,-2.1,2.1
2013/02/19,Tue,5:31 AM,NA,5.2,158,H,4.4,4.4
2013/02/19,Tue,1:16 PM,NA,0.8,24,L,-3.2,3.2
2013/02/19,Tue,8:12 PM,NA,4,122,H,1,1
2013/02/20,Wed,12:58 AM,NA,3,91,L,-2.2,2.2
2013/02/20,Wed,6:29 AM,NA,5.2,158,H,4.6,4.6
2013/02/20,Wed,2:05 PM,NA,0.6,18,L,-3.6,3.6
2013/02/20,Wed,8:54 PM,NA,4.2,128,H,1.3,1.3
2013/02/21,Thu,1:52 AM,NA,2.9,88,L,-2.5,2.5
2013/02/21,Thu,7:23 AM,NA,5.4,165,H,5,5
2013/02/21,Thu,2:46 PM,NA,0.4,12,L,-4,4
2013/02/21,Thu,9:28 PM,NA,4.4,134,H,1.7,1.7
2013/02/22,Fri,2:38 AM,NA,2.7,82,L,-2.8,2.8
2013/02/22,Fri,8:11 AM,NA,5.5,168,H,5.2,5.2
2013/02/22,Fri,3:21 PM,NA,0.3,9,L,-4.3,4.3
2013/02/22,Fri,9:57 PM,NA,4.6,140,H,2.2,2.2
2013/02/23,Sat,3:18 AM,NA,2.4,73,L,-3.2,3.2
2013/02/23,Sat,8:55 AM,NA,5.6,171,H,5.4,5.4
2013/02/23,Sat,3:53 PM,NA,0.2,6,L,-4.6,4.6
2013/02/23,Sat,10:25 PM,NA,4.8,146,H,2.7,2.7
2013/02/24,Sun,3:55 AM,NA,2.1,64,L,-3.6,3.6
2013/02/24,Sun,9:38 AM,NA,5.7,174,H,5.5,5.5
2013/02/24,Sun,4:24 PM,NA,0.2,6,L,-4.8,4.8
2013/02/24,Sun,10:51 PM,NA,5,152,H,3.2,3.2
2013/02/25,Mon,4:32 AM,NA,1.8,55,L,-3.8,3.8
2013/02/25,Mon,10:19 AM,NA,5.6,171,H,5.3,5.3
2013/02/25,Mon,4:54 PM,NA,0.3,9,L,-4.9,4.9
2013/02/25,Mon,11:19 PM,NA,5.2,158,H,3.7,3.7
2013/02/26,Tue,5:09 AM,NA,1.5,46,L,-4,4
2013/02/26,Tue,11:02 AM,NA,5.5,168,H,5,5
2013/02/26,Tue,5:26 PM,NA,0.5,15,L,-4.9,4.9
2013/02/26,Tue,11:48 PM,NA,5.4,165,H,4.2,4.2
2013/02/27,Wed,5:49 AM,NA,1.2,37,L,-4.1,4.1
2013/02/27,Wed,11:47 AM,NA,5.3,162,H,4.6,4.6
2013/02/27,Wed,5:59 PM,NA,0.7,21,L,-4.9,4.9
2013/02/28,Thu,12:20 AM,NA,5.6,171,H,4.7,4.7
2013/02/28,Thu,6:33 AM,NA,0.9,27,L,-4,4
2013/02/28,Thu,12:36 PM,NA,4.9,149,H,3.8,3.8
2013/02/28,Thu,6:36 PM,NA,1.1,34,L,-4.6,4.6
2013/03/01,Fri,12:55 AM,NA,5.7,174,H,5,5
2013/03/01,Fri,7:22 AM,NA,0.7,21,L,-3.8,3.8
2013/03/01,Fri,1:31 PM,NA,4.5,137,H,2.9,2.9
2013/03/01,Fri,7:16 PM,NA,1.6,49,L,-4.2,4.2
2013/03/02,Sat,1:36 AM,NA,5.8,177,H,5.3,5.3
2013/03/02,Sat,8:18 AM,NA,0.5,15,L,-3.6,3.6
2013/03/02,Sat,2:37 PM,NA,4.1,125,H,2,2
2013/03/02,Sat,8:03 PM,NA,2.1,64,L,-3.7,3.7
2013/03/03,Sun,2:23 AM,NA,5.8,177,H,5.4,5.4
2013/03/03,Sun,9:21 AM,NA,0.4,12,L,-3.5,3.5
2013/03/03,Sun,3:57 PM,NA,3.9,119,H,1.4,1.4
2013/03/03,Sun,9:03 PM,NA,2.5,76,L,-3.2,3.2
2013/03/04,Mon,3:19 AM,NA,5.7,174,H,5.4,5.4
2013/03/04,Mon,10:32 AM,NA,0.3,9,L,-3.6,3.6
2013/03/04,Mon,5:28 PM,NA,3.9,119,H,1.1,1.1
2013/03/04,Mon,10:18 PM,NA,2.8,85,L,-2.9,2.9
2013/03/05,Tue,4:25 AM,NA,5.7,174,H,5.5,5.5
2013/03/05,Tue,11:46 AM,NA,0.2,6,L,-3.9,3.9
2013/03/05,Tue,6:48 PM,NA,4.1,125,H,1.2,1.2
2013/03/05,Tue,11:43 PM,NA,2.9,88,L,-2.8,2.8
2013/03/06,Wed,5:36 AM,NA,5.7,174,H,5.7,5.7
2013/03/06,Wed,12:53 PM,NA,0,0,L,-4.4,4.4
2013/03/06,Wed,7:49 PM,NA,4.4,134,H,1.8,1.8
2013/03/07,Thu,12:58 AM,NA,2.6,79,L,-3.2,3.2
2013/03/07,Thu,6:46 AM,NA,5.8,177,H,6,6
2013/03/07,Thu,1:52 PM,NA,-0.2,-6,L,-5,5
2013/03/07,Thu,8:38 PM,NA,4.8,146,H,2.6,2.6
2013/03/08,Fri,2:02 AM,NA,2.2,67,L,-3.7,3.7
