Site,URS Height,URS number,URS Total sample mass (kg),URS mm,URS F,URS Mass of each (kg),URS Proportion of each
AC,H,1,0.51,0.0442,4.5,0,0
AC,H,1,0.51,0.0625,4,0,0
AC,H,1,0.51,0.0884,3.5,0.0196,0.0383
AC,H,1,0.51,0.125,3,0.0107,0.021
AC,H,1,0.51,0.1768,2.5,0.0056,0.0109
AC,H,1,0.51,0.25,2,0.0098,0.0192
AC,H,1,0.51,0.3536,1.5,0.0219,0.0429
AC,H,1,0.51,0.5,1,0.0352,0.069
AC,H,1,0.51,0.7071,0.5,0.0256,0.0502
AC,H,1,0.51,1,0,0.0217,0.0425
AC,H,1,0.51,1.4142,-0.5,0.026,0.0509
AC,H,1,0.51,2,-1,0.0257,0.0503
AC,H,1,0.51,2.4,-1.5,0.0331,0.0649
AC,H,1,0.51,4,-2,0.035,0.0685
AC,H,s,0.51,5.6569,-2.5,0.0331,0.0649
AC,H,1,0.51,8,-3,0.0515,0.101
AC,H,1,0.51,11,-3.5,0.0332,0.065
AC,H,1,0.51,16,-4,0.1225,0.2403
AP,H,1,0.584,0.0442,4.5,0,0
AP,H,1,0.584,0.0625,4,0,0
AP,H,1,0.584,0.0884,3.5,0.0113,0.0193
AP,H,1,0.584,0.125,3,0.0022,0.0038
AP,H,1,0.584,0.1768,2.5,0.0013,0.0022
AP,H,1,0.584,0.25,2,0.0018,0.003
AP,H,1,0.584,0.3536,1.5,0.0031,0.0053
AP,H,1,0.584,0.5,1,0.0059,0.0101
AP,H,1,0.584,0.7071,0.5,0.0082,0.0141
AP,H,1,0.584,1,0,0.0089,0.0153
AP,H,1,0.584,1.4142,-0.5,0.0096,0.0164
AP,H,1,0.584,2,-1,0.007,0.0119
AP,H,1,0.584,2.4,-1.5,0.0105,0.0179
AP,H,1,0.584,4,-2,0.0112,0.0191
AP,H,1,0.584,5.6569,-2.5,0.021,0.036
AP,H,1,0.584,8,-3,0.0116,0.0198
AP,H,1,0.584,11,-3.5,0.0025,0.0043
AP,H,1,0.584,16,-4,0,0
AP,H,1,0.584,90,-6.5,0.468,0.8014
PC,H,3,1.128,0.0442,4.5,0,0
PC,H,3,1.128,0.0625,4,0,0
PC,H,3,1.128,0.0884,3.5,0.0059,0.0052
PC,H,3,1.128,0.125,3,0.003,0.0026
PC,H,3,1.128,0.1768,2.5,0.0035,0.0031
PC,H,3,1.128,0.25,2,0.0067,0.0059
PC,H,3,1.128,0.3536,1.5,0.0096,0.0085
PC,H,3,1.128,0.5,1,0.0235,0.0209
PC,H,3,1.128,0.7071,0.5,0.0436,0.0387
PC,H,3,1.128,1,0,0.0601,0.0533
PC,H,3,1.128,1.4142,-0.5,0.0943,0.0836
PC,H,3,1.128,2,-1,0.0977,0.0866
PC,H,3,1.128,2.4,-1.5,0.1248,0.1106
PC,H,3,1.128,4,-2,0.113,0.1002
PC,H,3,1.128,5.6569,-2.5,0.0995,0.0882
PC,H,3,1.128,8,-3,0.1343,0.1191
PC,H,3,1.128,11,-3.5,0.0692,0.0613
PC,H,3,1.128,16,-4,0.2394,0.2122
PC,H,1,0.6377,0.0442,4.5,0.0112,0.0175
PC,H,1,0.6377,0.0625,4,0.0025,0.0039
PC,H,1,0.6377,0.0884,3.5,0.0023,0.0036
PC,H,1,0.6377,0.125,3,0.0039,0.0062
PC,H,1,0.6377,0.1768,2.5,0,0
PC,H,1,0.6377,0.25,2,0.009,0.0141
PC,H,1,0.6377,0.3536,1.5,0.0077,0.0121
PC,H,1,0.6377,0.5,1,0.0167,0.0262
PC,H,1,0.6377,0.7071,0.5,0.0358,0.0562
PC,H,1,0.6377,1,0,0.0587,0.092
PC,H,1,0.6377,1.4142,-0.5,0.0868,0.1361
PC,H,1,0.6377,2,-1,0.0596,0.0935
