Site,Year,Month,Week,Measurement,Date,wavetimeonly
PC,2013,July,Sampling Period 5,2,7/25/13,9.87
PC,2013,July,Sampling Period 5,1,7/25/13,9.97
PC,2013,August,Sampling Period 7,5,8/23/13,11.02
PC,2013,August,Sampling Period 7,4,8/22/13,11.16
PC,2013,August,Sampling Period 7,2,8/23/13,11.18
PC,2013,August,Sampling Period 7,3,8/23/13,11.93
PC,2013,August,Sampling Period 7,4,8/23/13,12
PC,2013,July,Sampling Period 5,2,7/26/13,13
PC,2013,July,Sampling Period 5,4,7/25/13,13.04
TC,2013,August,Sampling Period 7,1,8/21/13,13.19
PC,2013,August,Sampling Period 7,3,8/22/13,13.38
PC,2013,July,Sampling Period 5,4,7/26/13,13.72
TC,2013,August,Sampling Period 7,4,8/21/13,13.75
PC,2013,August,Sampling Period 7,1,8/23/13,13.75
FB,2013,July,Sampling Period 5,2,7/22/13,14.21
TC,2013,August,Sampling Period 7,3,8/21/13,14.25
PC,2013,August,Sampling Period 7,1,8/22/13,14.25
FB,2013,July,Sampling Period 5,1,7/22/13,14.31
TC,2013,August,Sampling Period 7,2,8/21/13,14.34
TC,2013,August,Sampling Period 6,5,8/6/13,14.47
PC,2013,August,Sampling Period 7,5,8/22/13,14.81
AC,2013,July,Sampling Period 5,4,7/23/13,15
FB,2013,July,Sampling Period 5,3,7/22/13,15.25
PC,2013,August,Sampling Period 7,2,8/22/13,15.28
AC,2013,July,Sampling Period 4,1,7/9/13,15.35
FB,2013,July,Sampling Period 5,4,7/22/13,15.44
TC,2013,August,Sampling Period 6,2,8/6/13,15.44
FB,2013,August,Sampling Period 6,5,8/5/13,15.63
TC,2013,August,Sampling Period 6,3,8/6/13,15.66
FB,2013,August,Sampling Period 6,3,8/5/13,15.68
TC,2013,July,Sampling Period 4,1,7/10/13,15.72
FB,2013,August,Sampling Period 6,2,8/5/13,15.75
TC,2013,July,Sampling Period 4,5,7/10/13,15.93
TC,2013,July,Sampling Period 4,2,7/10/13,16.06
TC,2013,August,Sampling Period 6,1,8/6/13,16.06
AC,2013,August,Sampling Period 7,3,8/20/13,16.15
FB,2013,July,Sampling Period 5,1,7/23/13,16.18
TC,2013,August,Sampling Period 6,1,8/5/13,16.18
FB,2013,August,Sampling Period 6,1,8/5/13,16.41
FB,2013,July,Sampling Period 5,4,7/23/13,16.63
TC,2013,August,Sampling Period 6,4,8/6/13,16.66
AC,2013,August,Sampling Period 7,1,8/19/13,16.68
TC,2013,August,Sampling Period 6,4,8/5/13,16.88
FB,2013,July,Sampling Period 5,5,7/22/13,17.15
AC,2013,July,Sampling Period 4,3,7/9/13,17.19
FB,2013,July,Sampling Period 5,5,7/23/13,17.19
TC,2013,August,Sampling Period 6,2,8/5/13,17.19
TC,2013,July,Sampling Period 4,3,7/10/13,17.25
FB,2013,July,Sampling Period 5,3,7/23/13,17.31
AP,2013,August,Sampling Period 6,1,8/7/13,17.41
AC,2013,July,Sampling Period 5,1,7/23/13,17.44
FB,2013,July,Sampling Period 5,2,7/23/13,17.5
PC,2013,July,Sampling Period 5,3,7/25/13,17.5
AC,2013,August,Sampling Period 7,2,8/20/13,17.59
TC,2013,August,Sampling Period 6,5,8/5/13,17.6
TC,2013,August,Sampling Period 7,2,8/20/13,17.62
TC,2013,August,Sampling Period 6,3,8/5/13,17.65
TC,2013,August,Sampling Period 7,5,8/21/13,17.69
TC,2013,July,Sampling Period 4,4,7/10/13,17.75
TC,2013,August,Sampling Period 7,4,8/20/13,17.88
AC,2013,July,Sampling Period 4,4,7/9/13,17.97
FB,2013,July,Sampling Period 4,5,7/8/13,18.15
TC,2013,August,Sampling Period 7,3,8/20/13,18.15
AC,2013,July,Sampling Period 4,5,7/9/13,18.16
TC,2013,July,Sampling Period 5,5,7/21/13,18.19
FB,2013,August,Sampling Period 6,4,8/6/13,18.25
TC,2013,July,Sampling Period 5,3,7/21/13,18.3
AC,2013,July,Sampling Period 5,2,7/23/13,18.59
PC,2013,July,Sampling Period 4,2,7/11/13,18.63
AC,2013,August,Sampling Period 7,2,8/19/13,18.69
FB,2013,July,Sampling Period 4,1,7/8/13,18.72
AC,2013,August,Sampling Period 7,3,8/19/13,18.75
AC,2013,August,Sampling Period 7,5,8/19/13,18.87
FB,2013,July,Sampling Period 4,4,7/8/13,18.93
TC,2013,July,Sampling Period 5,2,7/21/13,18.97
FB,2013,June,Sampling Period 3,2,6/23/13,19.06
AC,2013,July,Sampling Period 4,2,7/9/13,19.1
TC,2013,July,Sampling Period 4,1,7/9/13,19.12
FB,2013,July,Sampling Period 4,2,7/9/13,19.16
TC,2013,August,Sampling Period 7,1,8/20/13,19.19
AC,2013,July,Sampling Period 5,3,7/23/13,19.25
TC,2013,August,Sampling Period 7,5,8/20/13,19.38
TC,2013,July,Sampling Period 5,1,7/21/13,19.4
FB,2013,July,Sampling Period 4,5,7/9/13,19.41
AC,2013,July,Sampling Period 5,5,7/23/13,19.53
TC,2013,July,Sampling Period 4,4,7/9/13,19.56
FB,2013,July,Sampling Period 4,1,7/9/13,19.57
TC,2013,July,Sampling Period 4,2,7/9/13,19.63
FB,2013,July,Sampling Period 4,2,7/8/13,19.66
FB,2013,July,Sampling Period 4,4,7/9/13,19.68
AC,2013,August,Sampling Period 7,5,8/20/13,19.68
