Site,Year,Month,Week,Measurement,Date,Dyno.cm,Waveht.ft,Chla.fl ,wavetime.sec
TC,2013,May,Sampling Period 1,1,5/25/13,NA,1,NA,NA
TC,2013,May,Sampling Period 1,2,5/25/13,NA,2,NA,NA
FB,2013,May,Sampling Period 1,1,5/26/13,NA,NA,21.01,NA
TC,2013,May,Sampling Period 1,1,5/26/13,NA,NA,38.23,NA
FB,2013,May,Sampling Period 1,2,5/26/13,NA,NA,16.48,NA
TC,2013,May,Sampling Period 1,2,5/26/13,NA,NA,37.1,NA
FB,2013,May,Sampling Period 1,3,5/26/13,NA,NA,17.15,NA
TC,2013,May,Sampling Period 1,3,5/26/13,NA,NA,31.24,NA
FB,2013,May,Sampling Period 1,4,5/26/13,NA,NA,13.05,NA
TC,2013,May,Sampling Period 1,4,5/26/13,NA,NA,33.99,NA
FB,2013,May,Sampling Period 1,5,5/26/13,NA,NA,13.07,NA
TC,2013,May,Sampling Period 1,5,5/26/13,NA,NA,30.21,NA
FB,2013,May,Sampling Period 1,1,5/26/13,NA,NA,NA,26.8
TC,2013,May,Sampling Period 1,1,5/26/13,NA,NA,NA,49.75
FB,2013,May,Sampling Period 1,2,5/26/13,NA,NA,NA,25.88
TC,2013,May,Sampling Period 1,2,5/26/13,NA,NA,NA,46.25
FB,2013,May,Sampling Period 1,3,5/26/13,NA,NA,NA,21.71
TC,2013,May,Sampling Period 1,3,5/26/13,NA,NA,NA,43.75
FB,2013,May,Sampling Period 1,4,5/26/13,NA,NA,NA,29.19
TC,2013,May,Sampling Period 1,4,5/26/13,NA,NA,NA,48.84
FB,2013,May,Sampling Period 1,5,5/26/13,NA,NA,NA,24.44
TC,2013,May,Sampling Period 1,5,5/26/13,NA,NA,NA,53.37
FB,2013,May,Sampling Period 1,1,5/27/13,NA,2,NA,NA
FB,2013,May,Sampling Period 1,2,5/27/13,NA,3,NA,NA
AC,2013,May,Sampling Period 1,1,5/27/13,NA,NA,81.69,NA
FB,2013,May,Sampling Period 1,1,5/27/13,NA,NA,81.8,NA
TC,2013,May,Sampling Period 1,1,5/27/13,NA,NA,77.41,NA
AC,2013,May,Sampling Period 1,2,5/27/13,NA,NA,89.22,NA
FB,2013,May,Sampling Period 1,2,5/27/13,NA,NA,84.82,NA
TC,2013,May,Sampling Period 1,2,5/27/13,NA,NA,71.98,NA
AC,2013,May,Sampling Period 1,3,5/27/13,NA,NA,83.31,NA
FB,2013,May,Sampling Period 1,3,5/27/13,NA,NA,72.35,NA
TC,2013,May,Sampling Period 1,3,5/27/13,NA,NA,71.43,NA
AC,2013,May,Sampling Period 1,4,5/27/13,NA,NA,109.7,NA
FB,2013,May,Sampling Period 1,4,5/27/13,NA,NA,108.25,NA
TC,2013,May,Sampling Period 1,4,5/27/13,NA,NA,45.35,NA
AC,2013,May,Sampling Period 1,5,5/27/13,NA,NA,97.53,NA
FB,2013,May,Sampling Period 1,5,5/27/13,NA,NA,95.56,NA
TC,2013,May,Sampling Period 1,5,5/27/13,NA,NA,26.91,NA
AC,2013,May,Sampling Period 1,1,5/27/13,NA,NA,NA,28.33
FB,2013,May,Sampling Period 1,1,5/27/13,NA,NA,NA,21.13
TC,2013,May,Sampling Period 1,1,5/27/13,NA,NA,NA,30.4
AC,2013,May,Sampling Period 1,2,5/27/13,NA,NA,NA,27.4
FB,2013,May,Sampling Period 1,2,5/27/13,NA,NA,NA,27.88
TC,2013,May,Sampling Period 1,2,5/27/13,NA,NA,NA,33.28
AC,2013,May,Sampling Period 1,3,5/27/13,NA,NA,NA,31.96
FB,2013,May,Sampling Period 1,3,5/27/13,NA,NA,NA,25.88
TC,2013,May,Sampling Period 1,3,5/27/13,NA,NA,NA,28.25
AC,2013,May,Sampling Period 1,4,5/27/13,NA,NA,NA,29.44
FB,2013,May,Sampling Period 1,4,5/27/13,NA,NA,NA,26.02
TC,2013,May,Sampling Period 1,4,5/27/13,NA,NA,NA,29.72
AC,2013,May,Sampling Period 1,5,5/27/13,NA,NA,NA,27.97
FB,2013,May,Sampling Period 1,5,5/27/13,NA,NA,NA,22.75
TC,2013,May,Sampling Period 1,5,5/27/13,NA,NA,NA,29.93
AC,2013,May,Sampling Period 1,1,5/28/13,NA,2,NA,NA
AC,2013,May,Sampling Period 1,2,5/28/13,NA,1,NA,NA
AC,2013,May,Sampling Period 1,1,5/28/13,NA,NA,61.93,NA
AC,2013,May,Sampling Period 1,2,5/28/13,NA,NA,46.11,NA
AC,2013,May,Sampling Period 1,3,5/28/13,NA,NA,53.16,NA
AC,2013,May,Sampling Period 1,4,5/28/13,NA,NA,51.4,NA
AC,2013,May,Sampling Period 1,5,5/28/13,NA,NA,81.21,NA
AC,2013,May,Sampling Period 1,1,5/28/13,NA,NA,NA,30.37
AC,2013,May,Sampling Period 1,2,5/28/13,NA,NA,NA,31.32
AC,2013,May,Sampling Period 1,3,5/28/13,NA,NA,NA,30.09
AC,2013,May,Sampling Period 1,4,5/28/13,NA,NA,NA,33.09
AC,2013,May,Sampling Period 1,5,5/28/13,NA,NA,NA,27.56
AP,2013,May,Sampling Period 1,1,5/29/13,NA,3,NA,NA
AP,2013,May,Sampling Period 1,2,5/29/13,NA,3,NA,NA
