Coastline,F1,F2,rel,,,,cat,fac,fac2,rel2
300-325,Coastline.reg.10.km,X50cm2.10cm2,0.4004753,X,,,2,bare.cobble...2cm.,X50cm2.10cm2,-0.5184657
>325,Coastline.reg.10.km,X50cm2.10cm2,0.5637966,X,,,2,Coastline.reg.10.km,X50cm2.10cm2,0.4004753
300-325,Heading.minus.coast,X50cm2.10cm2,0.4283396,X,,,2,Coastline.regional.50km,X50cm2.10cm2,0.4901594
>325,Heading.minus.coast,X50cm2.10cm2,0.8287003,X,,,2,Heading.minus.coast,X50cm2.10cm2,0.4283396
300-325,Ovigerous.size.2014,X50cm2.10cm2,0.9547399,X,,,2,Ovigerous.size.2014,X50cm2.10cm2,0.9547399
>325,Ovigerous.size.2014,X50cm2.10cm2,0.4436026,X,,,2,percent.in.range.2013,X50cm2.10cm2,-0.6779601
300-325,percent.in.range.2013,X50cm2.10cm2,-0.6779601,,,,2,Size.1,X50cm2.10cm2,0.3766972
>325,percent.in.range.2013,X50cm2.10cm2,-0.3132046,,,,2,Size.2,X50cm2.10cm2,0.358459
300-325,Size.2,X50cm2.10cm2,0.358459,x,,,2,Size.of.opening,X50cm2.10cm2,-0.4540873
>325,Size.2,X50cm2.10cm2,0.699926,X,,,2,Slope.average,X50cm2.10cm2,0.3421716
300-325,Size.of.opening,X50cm2.10cm2,-0.4540873,x,,,2,Slope.min,X50cm2.10cm2,0.4714443
>325,Size.of.opening,X50cm2.10cm2,-0.6173354,X,,,2,Surfzone.size..m.,X50cm2.10cm2,-0.7918938
300-325,Slope.min,X50cm2.10cm2,0.4714443,X,,,2,X.10cm2..course.sand,X50cm2.10cm2,-0.4081006
>325,Slope.min,X50cm2.10cm2,0.389747,x,,,1,bare.sand..fine.very.course.sand.,Coastline.regional.50km,0.3322998
300-325,Surfzone.size..m.,X50cm2.10cm2,-0.7918938,x,,,1,cemented.rock.1m2.10cm2,Coastline.regional.50km,0.4887532
>325,Surfzone.size..m.,X50cm2.10cm2,0.3916857,x,,,1,Coastline.reg.0.5.km,Coastline.regional.50km,0.6993293
300-325,X.10cm2..course.sand,X50cm2.10cm2,-0.4081006,x,,,1,Coastline.reg.10.km,Coastline.regional.50km,0.5595773
>325,X.10cm2..course.sand,X50cm2.10cm2,-0.8712535,x,,,1,Diff.hab.angle.and.coastline.reg,Coastline.regional.50km,0.4224623
300-325,bare.cobble...2cm.,X50cm2.10cm2,-0.5184657,,,,1,Difference.between.Heading.N.and.reg.coast,Coastline.regional.50km,0.4807941
>325,cemented.rock.1m2.10cm2,X50cm2.10cm2,-0.6168691,,,,1,Difference.from.300.Northery.heading,Coastline.regional.50km,0.317903
>325,Coastline.reg.0.5.km,X50cm2.10cm2,-0.7023828,,,,1,Heading.N,Coastline.regional.50km,-0.3232637
300-325,Coastline.regional.50km,X50cm2.10cm2,0.4901594,,,,1,percent.in.range.2013,Coastline.regional.50km,-0.8756873
>325,Diff.hab.angle.and.coastline.reg,X50cm2.10cm2,-0.6039938,,,,1,rocky.bench,Coastline.regional.50km,-0.6788193
>325,Difference.between.Heading.N.and.reg.coast,X50cm2.10cm2,0.310416,,,,1,Size.of.opening,Coastline.regional.50km,-0.9298336
>325,Difference.from.300.Northery.heading,X50cm2.10cm2,-0.4095712,,,,1,Slope.average,Coastline.regional.50km,0.5092329
>325,Heading,X50cm2.10cm2,0.3874793,,,,1,Slope.Max,Coastline.regional.50km,0.4673251
>325,Heading.N,X50cm2.10cm2,-0.7095789,,,,1,Slope.min,Coastline.regional.50km,0.5512875
>325,Heading.S,X50cm2.10cm2,-0.8671816,,,,1,Surfzone.size..m.,Coastline.regional.50km,-0.3528844
>325,m.to.land.in.300dir,X50cm2.10cm2,0.4232561,,,,1,Total.degrees.opening,Coastline.regional.50km,-0.4066085
>325,percentage.of.MWD.within.range.2014,X50cm2.10cm2,0.3324329,,,,1,X.10cm2..course.sand,Coastline.regional.50km,0.3169434
>325,rocky.bench,X50cm2.10cm2,0.4119164,,,,1,X50cm2.10cm2,Coastline.regional.50km,0.4901594
300-325,Size.1,X50cm2.10cm2,0.3766972,,,,,,,
>325,Size.1,X50cm2.10cm2,0.6942129,,,,,,,
300-325,Slope.average,X50cm2.10cm2,0.3421716,,,,,,,
>325,Total.degrees.opening,X50cm2.10cm2,0.8454483,,,,,,,
