#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2013,1,1,5,54,999,99,99,2.68,16.67,13.09,275,9999,999,11.4,999,99,99
2013,1,1,6,24,999,99,99,2.85,16.67,13.35,278,9999,999,11.4,999,99,99
2013,1,1,6,54,999,99,99,2.72,15.38,13.47,284,9999,999,11.4,999,99,99
2013,1,1,7,24,999,99,99,3.14,15.38,13.82,289,9999,999,11.4,999,99,99
2013,1,1,7,54,999,99,99,2.95,15.38,14,284,9999,999,11.4,999,99,99
2013,1,1,8,24,999,99,99,3.08,15.38,13.85,288,9999,999,11.6,999,99,99
2013,1,1,8,54,999,99,99,2.62,15.38,13.46,289,9999,999,11.6,999,99,99
2013,1,1,9,24,999,99,99,2.68,14.29,13.34,285,9999,999,11.5,999,99,99
2013,1,1,9,54,999,99,99,2.56,16.67,13.52,291,9999,999,11.7,999,99,99
2013,1,1,10,24,999,99,99,2.76,14.29,13.58,281,9999,999,11.8,999,99,99
2013,1,1,10,54,999,99,99,2.76,15.38,13.36,286,9999,999,11.8,999,99,99
2013,1,1,11,24,999,99,99,2.81,16.67,13.14,291,9999,999,11.8,999,99,99
2013,1,1,11,54,999,99,99,2.79,16.67,13.05,298,9999,999,11.8,999,99,99
2013,1,1,12,24,999,99,99,2.99,16.67,13.06,289,9999,999,11.8,999,99,99
2013,1,1,12,54,999,99,99,2.75,14.29,12.36,279,9999,999,11.7,999,99,99
2013,1,1,13,24,999,99,99,2.56,16.67,12.5,289,9999,999,11.6,999,99,99
2013,1,1,13,54,999,99,99,2.94,16.67,12.48,293,9999,999,11.5,999,99,99
2013,1,1,14,24,999,99,99,2.56,15.38,11.89,284,9999,999,11.3,999,99,99
2013,1,1,14,54,999,99,99,3.15,16.67,12.95,292,9999,999,11.3,999,99,99
2013,1,1,15,24,999,99,99,3.32,15.38,12.81,285,9999,999,11.2,999,99,99
2013,1,1,15,54,999,99,99,3.16,15.38,12.4,291,9999,999,11.2,999,99,99
2013,1,1,16,24,999,99,99,2.81,15.38,11.71,282,9999,999,11.2,999,99,99
2013,1,1,16,54,999,99,99,3.15,15.38,12.02,292,9999,999,11.3,999,99,99
2013,1,1,17,24,999,99,99,3.13,15.38,11.46,292,9999,999,11.3,999,99,99
2013,1,1,17,54,999,99,99,3.2,14.29,11.5,289,9999,999,11.3,999,99,99
2013,1,1,18,24,999,99,99,3.26,15.38,11.66,291,9999,999,11.2,999,99,99
2013,1,1,18,54,999,99,99,2.68,14.29,10.71,293,9999,999,11.3,999,99,99
2013,1,1,19,24,999,99,99,2.95,15.38,11.46,293,9999,999,11.3,999,99,99
2013,1,1,19,54,999,99,99,2.71,14.29,11.45,286,9999,999,11.4,999,99,99
2013,1,1,20,24,999,99,99,2.61,15.38,10.99,296,9999,999,11.8,999,99,99
2013,1,1,20,54,999,99,99,2.33,15.38,10.6,303,9999,999,11.9,999,99,99
2013,1,1,21,24,999,99,99,2.34,14.29,10.73,299,9999,999,11.9,999,99,99
2013,1,1,21,54,999,99,99,2.51,14.29,10.9,286,9999,999,11.9,999,99,99
2013,1,1,22,24,999,99,99,2.68,14.29,11.73,292,9999,999,11.9,999,99,99
2013,1,1,22,54,999,99,99,2.35,15.38,10.98,292,9999,999,11.9,999,99,99
2013,1,1,23,24,999,99,99,2.37,14.29,10.87,291,9999,999,11.9,999,99,99
2013,1,1,23,54,999,99,99,2.31,15.38,10.94,284,9999,999,11.9,999,99,99
2013,1,2,0,24,999,99,99,2.91,15.38,12.19,284,9999,999,11.9,999,99,99
2013,1,2,0,54,999,99,99,2.34,14.29,11.42,289,9999,999,11.8,999,99,99
2013,1,2,1,24,999,99,99,2.19,14.29,11.3,285,9999,999,11.6,999,99,99
2013,1,2,1,54,999,99,99,2.03,15.38,10.79,278,9999,999,11.4,999,99,99
2013,1,2,2,24,999,99,99,2.44,13.33,11.62,288,9999,999,11.4,999,99,99
2013,1,2,2,54,999,99,99,1.91,13.33,10.56,292,9999,999,11.4,999,99,99
2013,1,2,3,24,999,99,99,2.11,13.33,11.19,289,9999,999,11.3,999,99,99
2013,1,2,3,54,999,99,99,2.17,13.33,10.9,284,9999,999,11.3,999,99,99
2013,1,2,4,24,999,99,99,2.34,12.5,10.96,278,9999,999,11.3,999,99,99
2013,1,2,4,54,999,99,99,2.27,15.38,11.06,286,9999,999,11.3,999,99,99
2013,1,2,5,24,999,99,99,2.09,11.76,10.42,282,9999,999,11.3,999,99,99
2013,1,2,5,54,999,99,99,2.17,13.33,10.55,284,9999,999,11.3,999,99,99
2013,1,2,6,24,999,99,99,2.15,12.5,10.93,299,9999,999,11.3,999,99,99
2013,1,2,6,54,999,99,99,2.18,16.67,11.22,288,9999,999,11.3,999,99,99
2013,1,2,7,24,999,99,99,1.79,15.38,10.58,289,9999,999,11.3,999,99,99
2013,1,2,7,54,999,99,99,2.08,14.29,11,279,9999,999,11.3,999,99,99
2013,1,2,8,24,999,99,99,1.95,12.5,11,278,9999,999,11.7,999,99,99
2013,1,2,8,54,999,99,99,1.96,14.29,11.34,282,9999,999,11.8,999,99,99
2013,1,2,9,24,999,99,99,1.98,15.38,11.58,284,9999,999,11.8,999,99,99
2013,1,2,9,54,999,99,99,1.93,14.29,11.71,296,9999,999,11.8,999,99,99
2013,1,2,10,24,999,99,99,1.85,14.29,11.48,286,9999,999,11.8,999,99,99
2013,1,2,10,54,999,99,99,1.97,16.67,11.22,282,9999,999,11.8,999,99,99
2013,1,2,11,24,999,99,99,1.88,13.33,10.68,270,9999,999,11.8,999,99,99
2013,1,2,11,54,999,99,99,1.85,15.38,11.17,284,9999,999,11.9,999,99,99
2013,1,2,12,24,999,99,99,1.8,16.67,10.77,281,9999,999,11.9,999,99,99
2013,1,2,12,54,999,99,99,2.02,15.38,11.33,271,9999,999,11.8,999,99,99
2013,1,2,13,24,999,99,99,1.97,15.38,11.27,281,9999,999,11.8,999,99,99
2013,1,2,13,54,999,99,99,1.88,15.38,11.59,284,9999,999,11.8,999,99,99
2013,1,2,14,24,999,99,99,2.07,15.38,11.84,275,9999,999,11.7,999,99,99
2013,1,2,14,54,999,99,99,2.33,15.38,12.56,275,9999,999,11.7,999,99,99
2013,1,2,15,24,999,99,99,2.06,15.38,12.27,278,9999,999,11.7,999,99,99
2013,1,2,15,54,999,99,99,1.93,15.38,11.93,274,9999,999,11.7,999,99,99
2013,1,2,16,24,999,99,99,1.94,15.38,11.65,278,9999,999,11.3,999,99,99
2013,1,2,16,54,999,99,99,2.23,15.38,12.16,281,9999,999,11.1,999,99,99
2013,1,2,17,24,999,99,99,2.08,16.67,11.5,281,9999,999,11.1,999,99,99
2013,1,2,17,54,999,99,99,2.1,16.67,11.54,281,9999,999,11.2,999,99,99
2013,1,2,18,24,999,99,99,2.04,16.67,11.12,279,9999,999,11.3,999,99,99
2013,1,2,18,54,999,99,99,1.99,15.38,11.1,274,9999,999,11.5,999,99,99
2013,1,2,19,24,999,99,99,2.18,14.29,11.13,282,9999,999,11.7,999,99,99
2013,1,2,19,54,999,99,99,2.12,15.38,11.2,278,9999,999,11.7,999,99,99
2013,1,2,20,24,999,99,99,1.85,15.38,10.22,279,9999,999,11.8,999,99,99
2013,1,2,20,54,999,99,99,1.94,15.38,10.34,277,9999,999,11.8,999,99,99
2013,1,2,21,24,999,99,99,1.91,14.29,9.94,272,9999,999,11.9,999,99,99
2013,1,2,21,54,999,99,99,1.79,16.67,9.27,286,9999,999,11.7,999,99,99
2013,1,2,22,24,999,99,99,1.94,13.33,9.96,274,9999,999,11.7,999,99,99
2013,1,2,22,54,999,99,99,1.72,13.33,9.07,275,9999,999,11.6,999,99,99
2013,1,2,23,24,999,99,99,1.7,16.67,8.94,285,9999,999,11.5,999,99,99
2013,1,2,23,54,999,99,99,1.8,15.38,9.15,282,9999,999,11.5,999,99,99
2013,1,3,0,24,999,99,99,1.93,14.29,8.54,270,9999,999,11.4,999,99,99
2013,1,3,0,54,999,99,99,1.81,16.67,8.02,277,9999,999,11.4,999,99,99
2013,1,3,1,24,999,99,99,1.85,15.38,8.07,281,9999,999,11.4,999,99,99
2013,1,3,1,54,999,99,99,1.91,12.5,8.11,271,9999,999,11.3,999,99,99
2013,1,3,2,24,999,99,99,1.98,14.29,7.94,275,9999,999,11.3,999,99,99
2013,1,3,2,54,999,99,99,1.95,15.38,7.78,289,9999,999,11.2,999,99,99
2013,1,3,3,24,999,99,99,2.22,15.38,8.35,284,9999,999,11.1,999,99,99
2013,1,3,3,54,999,99,99,2.05,16.67,7.43,286,9999,999,11,999,99,99
2013,1,3,4,24,999,99,99,2.18,15.38,7.94,281,9999,999,11,999,99,99
2013,1,3,4,54,999,99,99,2.15,14.29,7.02,278,9999,999,11.1,999,99,99
2013,1,3,5,24,999,99,99,2.22,15.38,7.43,275,9999,999,11.2,999,99,99
2013,1,3,5,54,999,99,99,2.15,15.38,6.74,285,9999,999,11.2,999,99,99
2013,1,3,6,24,999,99,99,2.19,14.29,7.22,284,9999,999,11.2,999,99,99
2013,1,3,6,54,999,99,99,2.17,15.38,7.03,279,9999,999,11.2,999,99,99
2013,1,3,7,24,999,99,99,2.19,15.38,7.22,282,9999,999,11.2,999,99,99
2013,1,3,7,54,999,99,99,2.27,14.29,7.85,284,9999,999,11.2,999,99,99
2013,1,3,8,24,999,99,99,2.19,15.38,7.2,284,9999,999,11.2,999,99,99
2013,1,3,8,54,999,99,99,2.03,14.29,6.79,284,9999,999,11.3,999,99,99
2013,1,3,9,24,999,99,99,2.23,14.29,7.72,278,9999,999,11.3,999,99,99
2013,1,3,9,54,999,99,99,2.11,15.38,7.21,281,9999,999,11.3,999,99,99
2013,1,3,10,24,999,99,99,2.23,14.29,7.27,278,9999,999,11.2,999,99,99
2013,1,3,10,54,999,99,99,2.36,13.33,7.59,277,9999,999,11.2,999,99,99
2013,1,3,11,24,999,99,99,2.39,15.38,7.63,277,9999,999,11.2,999,99,99
2013,1,3,11,54,999,99,99,2.64,14.29,8.07,281,9999,999,11.4,999,99,99
2013,1,3,12,24,999,99,99,2.47,14.29,7.42,278,9999,999,11.9,999,99,99
2013,1,3,12,54,999,99,99,2.87,14.29,7.53,278,9999,999,12,999,99,99
2013,1,3,13,24,999,99,99,3.06,15.38,7.47,281,9999,999,12,999,99,99
2013,1,3,13,54,999,99,99,3.2,14.29,7.92,278,9999,999,12,999,99,99
2013,1,3,14,24,999,99,99,3.03,15.38,7.68,274,9999,999,12,999,99,99
2013,1,3,14,54,999,99,99,3.22,13.33,8.02,268,9999,999,11.9,999,99,99
2013,1,3,15,24,999,99,99,3.38,13.33,8.13,281,9999,999,11.9,999,99,99
2013,1,3,15,54,999,99,99,3.28,15.38,7.91,282,9999,999,11.9,999,99,99
2013,1,3,16,24,999,99,99,3.28,13.33,7.81,274,9999,999,11.9,999,99,99
2013,1,3,16,54,999,99,99,3.3,14.29,8,277,9999,999,11.8,999,99,99
2013,1,3,17,24,999,99,99,3.25,14.29,8.16,275,9999,999,11.8,999,99,99
2013,1,3,17,54,999,99,99,3.23,13.33,7.89,277,9999,999,11.8,999,99,99
2013,1,3,18,24,999,99,99,3.4,14.29,7.97,275,9999,999,11.8,999,99,99
2013,1,3,18,54,999,99,99,3.12,14.29,7.81,277,9999,999,11.8,999,99,99
2013,1,3,19,24,999,99,99,3.45,13.33,8.41,271,9999,999,11.8,999,99,99
2013,1,3,19,54,999,99,99,3.11,13.33,8.27,268,9999,999,11.9,999,99,99
2013,1,3,20,24,999,99,99,3.26,14.29,8.38,284,9999,999,11.9,999,99,99
2013,1,3,20,54,999,99,99,3.33,14.29,8.38,279,9999,999,11.9,999,99,99
2013,1,3,21,24,999,99,99,3.06,14.29,8.45,281,9999,999,12,999,99,99
2013,1,3,21,54,999,99,99,3.12,14.29,8.78,281,9999,999,12,999,99,99
2013,1,3,22,24,999,99,99,2.98,14.29,8.84,286,9999,999,12,999,99,99
2013,1,3,22,54,999,99,99,3.36,14.29,9.56,272,9999,999,12,999,99,99
2013,1,3,23,24,999,99,99,3.73,13.33,9.96,271,9999,999,12,999,99,99
2013,1,3,23,54,999,99,99,3.52,13.33,9.56,275,9999,999,12,999,99,99
2013,1,4,0,24,999,99,99,3.62,12.5,9.69,270,9999,999,12.1,999,99,99
2013,1,4,0,54,999,99,99,3.9,13.33,10.31,271,9999,999,12.1,999,99,99
2013,1,4,1,24,999,99,99,3.84,13.33,9.93,275,9999,999,12.1,999,99,99
2013,1,4,1,54,999,99,99,3.61,13.33,9.94,282,9999,999,12.1,999,99,99
2013,1,4,2,24,999,99,99,3.94,13.33,9.84,285,9999,999,12.1,999,99,99
2013,1,4,2,54,999,99,99,3.64,11.76,9.46,272,9999,999,12.1,999,99,99
