,Var1,Var2,Freq
42014,Males.All,Females.All,0.992220794
42014,No.Sex.All,Females.All,0.806212499
42014,X.10cm2..course.sand,Females.All,-0.453663434
42014,cemented.rock.1m2.10cm2,Females.All,-0.955107941
42014,rocky.bench,Females.All,0.885905189
42014,recruits3mm,Females.All,0.895942762
42014,s35mm,Females.All,0.578668401
42014,s57mm,Females.All,0.739567913
42014,s810mm,Females.All,0.916923391
42014,s1416mm,Females.All,-0.428326136
42014,s1720mm,Females.All,-0.559274558
42014,ALL,Females.All,0.879516673
42014,Proprecruits3mm,Females.All,0.576110711
42014,Props57mm,Females.All,0.411881941
42014,Props810mm,Females.All,-0.62914618
42014,Props1113mm,Females.All,-0.596034523
42014,Props1416mm,Females.All,-0.519098978
42014,Props1720mm,Females.All,-0.530015751
42014,NonliveableRocks,Females.All,0.408264837
42014,CobbleCourseSand,Females.All,-0.420760209
42014,Size.2,Females.All,-0.464167558
42014,Size.of.opening,Females.All,0.888871464
42014,Heading,Females.All,-0.531989223
42014,Heading.S,Females.All,-0.790853201
42014,Heading.minus.coast,Females.All,0.50350985
42014,Difference.from.300.Northery.heading,Females.All,-0.425430199
42014,Total.degrees.opening,Females.All,0.815624667
42014,Slope.average,Females.All,-0.691552479
42014,Slope.min,Females.All,-0.63774245
42014,Slope.Max,Females.All,-0.784667292
42014,Coastline.angle,Females.All,0.502833792
42014,Coastline.regional,Females.All,0.515607134
42014,Females.All,Males.All,0.992220794
42014,No.Sex.All,Males.All,0.768381135
42014,X.10cm2..course.sand,Males.All,-0.492685751
42014,cemented.rock.1m2.10cm2,Males.All,-0.965230539
42014,bare.cobble...2cm.,Males.All,-0.453818168
42014,rocky.bench,Males.All,0.936118529
42014,recruits3mm,Males.All,0.838266106
42014,s35mm,Males.All,0.51861321
42014,s57mm,Males.All,0.795621185
42014,s810mm,Males.All,0.952557584
42014,s1416mm,Males.All,-0.462238951
42014,s1720mm,Males.All,-0.571945174
42014,ALL,Males.All,0.848882506
42014,Proprecruits3mm,Males.All,0.476133166
42014,Props57mm,Males.All,0.512911311
42014,Props810mm,Males.All,-0.594511034
42014,Props1113mm,Males.All,-0.643040702
42014,Props1416mm,Males.All,-0.515201911
42014,Props1720mm,Males.All,-0.507811991
42014,LiveableRocks,Males.All,-0.427520942
42014,NonliveableRocks,Males.All,0.512013601
42014,CobbleCourseSand,Males.All,-0.473820035
42014,Size.1,Males.All,-0.482081771
42014,Size.2,Males.All,-0.551737944
42014,Size.of.opening,Males.All,0.93899156
42014,Heading,Males.All,-0.447367095
42014,Heading.S,Males.All,-0.782811108
42014,Heading.minus.coast,Males.All,0.406250147
42014,m.to.nearest.pt,Males.All,0.420873522
