#YY,MM,DD,hh,mm,WDIR,WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,12,31,23,50,337,1.2,2.1,2.12,17.39,9.31,309,1024.7,11,12.2,999,99,99
2013,1,1,0,50,268,0.2,0.9,2.04,17.39,9.48,303,1024.6,10.4,12.1,999,99,99
2013,1,1,1,50,28,1.2,1.8,1.92,17.39,8.84,290,1024.8,10.5,12,999,99,99
2013,1,1,2,50,350,2.8,5.4,1.9,17.39,9.04,293,1025,10.9,12,999,99,99
2013,1,1,3,50,332,3.2,4.6,2.4,19.05,10.97,298,1024.9,11,12,999,99,99
2013,1,1,4,50,331,2.5,3.4,2.59,19.05,11.37,287,1024.8,11,11.9,999,99,99
2013,1,1,5,50,353,2.1,2.7,2.39,17.39,10.69,291,1025,11,11.9,999,99,99
2013,1,1,6,50,342,0.4,1.1,2.29,17.39,10.7,297,1024.6,10.8,11.9,999,99,99
2013,1,1,7,50,286,0.6,1.6,2.25,17.39,10.95,293,1024.6,10.7,12,999,99,99
2013,1,1,8,50,195,2.1,2.8,2.65,17.39,12.46,303,1023.6,10.8,11.9,999,99,99
2013,1,1,9,50,351,1.5,2.2,2.24,16,11.74,308,1024.1,10.9,12,999,99,99
2013,1,1,10,50,219,2.5,3,2.46,16,12.6,294,1023.2,10.9,11.9,999,99,99
2013,1,1,11,50,305,4.3,5.5,2.34,16,12.16,297,1023.4,11.3,11.9,999,99,99
2013,1,1,12,50,323,5.3,6.1,2.56,16,12.37,298,1023.3,11.3,11.9,999,99,99
2013,1,1,13,50,357,5.3,6.4,2.44,16,11.45,297,1023.2,11.1,11.9,999,99,99
2013,1,1,14,50,32,5.1,6.8,2.48,16,11.13,304,1023.3,10.6,11.9,999,99,99
2013,1,1,15,50,37,6.8,8.3,2.67,16,10.46,304,1023.7,9.5,11.9,999,99,99
2013,1,1,16,50,52,5.5,6.8,3.2,16,11.64,307,1023.7,9.5,12,999,99,99
2013,1,1,17,50,40,7.2,8.5,3.4,16,11.29,293,1024.3,9.1,12,999,99,99
2013,1,1,18,50,44,6.4,7.7,3.27,16,10.33,292,1024.2,9,12,999,99,99
2013,1,1,19,50,39,5.8,8.3,2.83,17.39,10.31,300,1023.6,9.1,12,999,99,99
2013,1,1,20,50,31,6.5,8.4,2.79,16,10.43,300,1023.2,9.5,12.1,999,99,99
2013,1,1,21,50,36,8.7,11.1,2.63,16,9.13,307,1022.9,10,12.1,999,99,99
2013,1,1,22,50,39,9,11.1,2.65,13.79,9.21,294,1022.9,10.6,12.2,999,99,99
2013,1,1,23,50,45,7.8,9.7,2.23,17.39,7.87,299,1022.9,11,12.2,999,99,99
2013,1,2,0,50,55,8.8,11.1,2.59,16,8.98,304,1022.8,11.3,12.2,999,99,99
2013,1,2,1,50,52,8,10.5,2.45,16,8.55,298,1022.9,11.3,12.2,999,99,99
2013,1,2,2,50,79,7.1,9.2,2.33,16,9.09,312,1023,11.2,12.2,999,99,99
2013,1,2,3,50,75,6.5,8.5,2.51,14.81,10.13,304,1023.4,11.2,12.2,999,99,99
2013,1,2,4,50,64,6.1,7.8,2.35,14.81,9.62,318,1023.4,11.3,12.2,999,99,99
2013,1,2,5,50,84,7.2,8.9,2.91,14.81,11.06,301,1023.3,11.3,12.2,999,99,99
2013,1,2,6,50,95,3.7,5.3,2.62,14.81,11.38,309,1023.6,11.3,12.1,999,99,99
2013,1,2,7,50,97,1.3,2.4,2.58,13.79,11.86,291,1023.4,11.2,12.2,999,99,99
2013,1,2,8,50,29,0.9,2.1,2.54,13.79,12.06,289,1023.1,11.2,12.3,999,99,99
2013,1,2,9,50,23,2.7,3.8,2.15,14.81,11.2,286,1022.5,11.6,12.3,999,99,99
2013,1,2,10,50,62,1.5,2.8,2.38,13.79,11.29,298,1022.4,11.4,12.3,999,99,99
2013,1,2,11,50,95,0.8,1.9,2.32,13.79,10.89,295,1022.2,11.1,12.2,999,99,99
2013,1,2,12,50,68,3.5,4.7,1.77,14.81,9.38,306,1021.9,11.2,12.2,999,99,99
2013,1,2,13,50,57,4.2,5.2,1.93,16,9.15,293,1021.6,11.1,12.2,999,99,99
2013,1,2,14,50,94,3.9,5.2,2.11,13.79,8.7,303,1021.6,11.2,12.2,999,99,99
2013,1,2,15,50,89,3.8,5.1,1.85,12.9,8.55,298,1021.8,11.1,12.2,999,99,99
2013,1,2,16,50,95,4.6,5.5,2.05,16,9.26,289,1022.4,11.2,12.3,999,99,99
2013,1,2,17,50,102,3.2,4.4,2.1,16,9.53,287,1023,11.5,12.4,999,99,99
2013,1,2,18,50,118,2.2,3.4,2.01,16,9.15,293,1023.1,11.6,12.5,999,99,99
2013,1,2,19,50,74,1.7,2.5,1.75,13.79,8.72,271,1022.5,11.7,12.6,999,99,99
2013,1,2,20,50,63,1.9,2.7,2.07,16,10.39,285,1021.7,11.6,12.7,999,99,99
2013,1,2,21,50,45,2.1,2.9,1.72,16,9.46,303,1020.9,12.1,12.7,999,99,99
2013,1,2,22,50,37,2.3,3.2,2.01,16,9.89,285,1020.6,12.4,12.6,999,99,99
2013,1,2,23,50,11,1.5,1.9,2.05,16,9.9,289,1020.3,12.8,12.6,999,99,99
2013,1,3,0,50,324,0.6,1.3,2,16,10.09,277,1020.4,12.4,12.6,999,99,99
2013,1,3,1,50,68,0.4,1.2,1.91,14.81,10,301,1020.5,12.1,12.5,999,99,99
2013,1,3,2,50,276,2.7,3.4,1.95,14.81,10.79,287,1020.9,12.3,12.5,999,99,99
2013,1,3,3,50,274,3.2,4.7,2.08,14.81,11.02,289,1020.9,12.2,12.7,999,99,99
2013,1,3,4,50,272,2.9,4,1.75,14.81,10.15,264,1020.9,12.3,12.7,999,99,99
