Site,Week,Date collected,Sampling week,Lophopanopeus (early stage),Lophopanopeus (late stage),Pachygrapsus (early stage),Pachygrapsus (late stage),Majidae (spider crabs),Hemigrapsus (early stage),Hemigrapsus (late stage),Pea crabs (early stage),Pea crabs (late stage),Emerita (early),Emerita (late),Pagurid (early),Cancer spp. (early stage),Cancer spp. (late stage),Porcellainids (early stage)*,Porcellanids (late stage),P. cinctipes megalopae,Pachycheles (mega),Cancer spp (mega),Cancer anntenarrius (mega),Cancer productus (mega),Cancer magister (mega),Cancer magister (juvenile-no spines),Pachycheles (mega),Hemigrapsus (mega),Pachygrapsus (mega),Spider crab (mega),Rockfish,Rockfish black and yellow?,eel like fish,sculpin/cabezon like fish,unknown fish,unknown juvie crab- dungie?,Kelp isopods,Large shrimp,Notes
TC,Sampling Period 1,5/26/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,17,0,39,0,0,0,0,0,not much else besides a few cumaceans
FB,Sampling Period 1,5/27/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,
AC,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,7,1,0,0,0,
AC,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,12,44,3,0,25,3,
FB,Sampling Period 1,5/28/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,0,0,0,0,0,0,8,1,0,0,69,0,
AP,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,amphipods
AP,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,
PC,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,amphipods
PC,Sampling Period 1,5/30/13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TC,Sampling Period 2,6/9/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,8,0,0,0,0,0,"shrimp, amphipods"
TC,Sampling Period 2,6/10/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,1,1,0,0,0,
FB,Sampling Period 2,6/11/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,
FB,Sampling Period 2,6/11/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,8,0,0,38,1,
AC,Sampling Period 2,6/12/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,8,7,5,0,0,0,
AC,Sampling Period 2,6/12/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,
AP,Sampling Period 2,6/13/13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
AP,Sampling Period 2,6/14/13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,
PC,Sampling Period 2,6/14/13,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
PC,Sampling Period 2,6/14/13,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
FB,Sampling Period 3,6/25/13,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
