Site,Year,Week,Date,Quadrat,Clear,Pigmented 1,Pigmented 2,Pigmented 3,0.5,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.35,4.5,4.75,5,5.5,5.75,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Females All,Males All,No Sex All,Ovigerous,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,Gravel,shell hash,tidepool,wrack,% rocks flipped,Hemigrapsus nudus ALL,Hemigrapsus oregonensis ALL,Cancer antennarius ALL,Pachychyles rudis ALL,Pachygrapsus crassipes ALL,Leptasterias hexaxis ALL,Lophopanopeus bellus ALL,Petrolisthes manimaculus ALL,Gobiesox maeandricus ALL,Anoplarchus purpurescens ALL,Xiphister atropurpurescens ALL,Kelp Crab ALL,Urchin ALL,Cancer productis ALL,Sculpin ALL,Brittle Star (M),Hemigrapsus nudus (S),Hemigrapsus nudus (M),Hemigrapsus nudus (L),Hemigrapsus oregonensis (S),Hemigrapsus oregonensis (M),Hemigrapsus oregonensis (L),Cancer antennarius (S),Cancer antennarius (M),Cancer antennarius (L),Pachychyles rudis (Small),Pachychyles rudis (Medium),Pachychyles rudis (Large),Pachygrapsus crassipes (small),Pachygrapsus crassipes (medium),Pachygrapsus crassipes (large),Leptosterias hexaxis (Small),Leptosterias hexaxis (Medium),Leptosterias hexaxis (Large),Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Petrolisthes manimaculus (S),Petrolisthes manimaculus (M),Petrolisthes manimaculus (L),Gobiesox maeandricus (small),Gobiesox maeandricus (medium),Gobiesox maeandricus (large),Anoplarchus purpurescens (S),Anoplarchus purpurescens (M),Anoplarchus purpurescens (L),Xiphister atropurpurescens (S),Xiphister atropurpurescens (M),Xiphister atropurpurescens (L),Kelp Crab (small),Kelp Crab (medium,Kelp Crab (Large),Urchin (small),Urchin (medium),Urchin (Large),Cancer productis (small),Cancer productis (medium),Cancer productis (large),Sculpin (small),Sculpin (medium),Brittle Star (M),bare rock,bare sand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,Odonthalia washingtoniensis (?)- flat with spikes
TC,2013,Sampling Period 1,5/26/13,1,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,2,1,1,1,1,0,0,0,0,0,8,9,1,1,0,0,50,30,20,0,0,0,,0,0,0,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,2,NA,NA,NA,NA,0,0,0,0,0,4,0,0,0,1,0,0,0,3,2,0,1,0,0,0,0,0,3,0,3,7,2,6,2,1,1,0,0,0,0,0,15,10,11,5,0,0,60,5,20,15,0,0,,0,0,0,65,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,5,3,2,0,0,0,0,0,0,6,10,0,2,0,0,50,10,30,10,0,0,,0,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,4,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,6,6,9,0,2,1,1,0,0,0,0,19,14,2,7,0,0,65,15,10,10,0,0,,0,0,0,80,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,6,5,3,1,0,2,1,0,0,0,0,0,0,11,13,1,2,0,0,55,15,25,5,0,0,,0,0,0,70,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,6,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,4,0,0,0,0,0,0,0,7,4,0,3,0,0,40,0,45,15,0,0,,0,0,0,40,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,7,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,3,1,0,0,0,0,6,5,0,2,0,0,50,15,30,5,0,0,,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,8,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,0,2,1,0,0,0,0,0,0,0,6,6,0,12,0,0,60,20,10,10,0,0,,0,0,0,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,9,NA,NA,NA,NA,0,0,0,0,0,3,0,0,0,0,0,3,1,2,2,0,0,0,4,0,0,3,8,6,5,9,3,10,5,2,0,0,0,1,0,0,34,22,11,16,0,0,75,20,0,5,0,0,,0,0,0,95,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
TC,2013,Sampling Period 1,5/26/13,10,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,0,2,1,1,5,0,0,0,1,5,0,0,8,6,6,13,6,5,8,1,1,0,0,0,0,0,0,32,27,12,6,0,0,60,30,0,10,0,0,,0,0,0,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
