Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
CM,4/13/13,M,1,64,,15,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CM,4/13/13,M,2,68,,10,20,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
CM,4/13/13,M,3,54,,15,30,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CM,4/13/13,M,4,69,,25,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CM,4/13/13,M,5,39,,20,40,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CM,4/13/13,M,6,94,,5,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,
CM,4/13/13,M,7,93,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
CM,4/13/13,M,8,87,,5,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
CM,4/13/13,M,9,79,,10,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CM,4/13/13,M,10,79,,15,2,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,
AC,4/15/13,M,1,25,,55,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
AC,4/15/13,M,2,38,,50,5,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,
AC,4/15/13,M,3,30,,55,,,,,,,,,,,,,,,,5,,,,,10,,,,,,,,,
AC,4/15/13,M,4,34,,45,15,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,
AC,4/15/13,M,5,74,,20,,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,
AC,4/15/13,M,6,70,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,4/15/13,M,7,59,,35,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,
AC,4/15/13,M,8,48,,35,5,,,,10,,,,,,,,,,,,,,,,2,,,,,,,,,
AC,4/15/13,M,9,55,,30,,,,,,,,,,,,,,,,5,,,,,10,,,,,,,,,
AC,4/15/13,M,10,20,,70,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
PC,4/5/13,M,1,50,,15,20,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,4/5/13,M,2,59,,15,20,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,4/5/13,M,3,54,,10,30,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,4/5/13,M,4,65,,20,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,4/5/13,M,5,83,,1,1,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,4/5/13,M,6,37,,50,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,
PC,4/5/13,M,7,59,,20,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,1,,
PC,4/5/13,M,8,69,,15,1,,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,
PC,4/5/13,M,9,93,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
PC,4/5/13,M,10,45,,30,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,4/14/13,M,1,80,,20,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,
FB,4/14/13,M,2,40,,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,4/14/13,M,3,63,,30,,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,
FB,4/14/13,M,4,86,,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,
FB,4/14/13,M,5,72,,15,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,5,,
FB,4/14/13,M,6,,,5,25,15,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,4/14/13,M,7,84,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
FB,4/14/13,M,8,72,,15,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,
FB,4/14/13,M,9,68,,20,10,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
FB,4/14/13,M,10,,,20,20,,10,,,,,,,,,,,,,,,,1,,5,,,,,,,5,,
