Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
FB,8/19/13,M,1,98,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,8/19/13,M,2,96,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,8/19/13,M,3,88,,5,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,8/19/13,M,4,62,,15,20,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
FB,8/19/13,M,5,82,,,10,,,,,,,,,,,,,,,3,,,3,2,,,,,,,,,,
FB,8/19/13,M,6,92,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,8/19/13,M,7,78,,10,5,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,
FB,8/19/13,M,8,80,,15,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,8/19/13,M,9,72,,20,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
FB,8/19/13,M,10,85,,5,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AC,8/20/13,M,4,85,,10,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,8/20/13,M,5,60,,30,3,,,,,,,,,,,,,,,,,,3,,4,,,,,,,,,
AC,8/20/13,M,6,62,,25,,,,,,,,,,,,,,,,3,,,,,10,,,,,,,,,
AC,8/20/13,M,7,23,,50,15,,,,,,,,,,,,,,,2,,,,,10,,,,,,,,,
AC,8/20/13,M,8,34,,60,2,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,
AC,8/20/13,M,9,80,,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,8/20/13,M,10,40,,50,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
TC,8/21/13,M,1,67,,15,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,8/21/13,M,2,61,,20,15,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,
TC,8/21/13,M,3,38,,15,45,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,8/21/13,M,4,58,,25,15,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,8/21/13,M,5,65,,10,20,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,8/21/13,M,6,77,,10,5,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
TC,8/21/13,M,7,70,,15,10,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,
TC,8/21/13,M,8,73,,5,5,,,,,,,,,,,,,,,,,,15,,2,,,,,,,,,
TC,8/21/13,M,9,55,,15,10,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
TC,8/21/13,M,10,80,,5,5,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,8/22/13,M,1,7,,85,,,,,,,,,,,,,,,,3,,,,,,,,,5,,,,,
AP,8/22/13,M,2,56,,35,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,,,
AP,8/22/13,M,3,51,,35,,,,,10,,,,,,,,,,,2,,,,,,,,,2,,,,,
AP,8/22/13,M,4,42,,40,,,,,10,,<1,,,,,,,,,3,,,5,,,,,,,,,,,
AP,8/22/13,M,5,55,,30,,,,,10,,,,,,,,,,,2,,,3,,,,,,,,,,,
AP,8/22/13,M,6,62,,35,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,
AP,8/22/13,M,7,27,,70,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
AP,8/22/13,M,8,40,,45,5,,,,3,,,,,,,,,,,2,,,5,,,,,,,,,,,
AP,8/22/13,M,9,74,,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AP,8/22/13,M,10,65,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,8/23/13,M,1,28,,15,15,,,,15,,,,,,,,,,,,,,12,,,,,,,15,,,,
PC,8/23/13,M,2,58,,15,25,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,8/23/13,M,3,60,,10,25,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,8/23/13,M,4,44,,15,40,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,8/23/13,M,5,52,,20,20,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,,
PC,8/23/13,M,6,35,,10,40,,,,2,,,,,,,,,,,,,,,,,,,,10,3,,,,
PC,8/23/13,M,7,29,,15,55,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,8/23/13,M,8,2,,70,20,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,
PC,8/23/13,M,9,65,,10,15,3,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,
PC,8/23/13,M,10,18,,50,5,20,,,,,,,,,,,,,,,,,2,,5,,,,,,,,,
