Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,7/26/13,M,1,47,,30,20,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,7/26/13,M,2,70,,10,10,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/26/13,M,3,40,,35,5,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,7/26/13,M,4,60,,30,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/26/13,M,5,40,,40,15,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/26/13,M,6,68,,15,15,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,7/26/13,M,7,39,,45,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,7/26/13,M,8,58,,20,15,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,7/26/13,M,9,19,,50,25,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,
PC,7/26/13,M,10,70,,5,5,,,,?,,,,,,,,,,,,,,20,,,,,,,,,,,
AP,7/25/13,M,1,20,,75,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,M,2,35,,65,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,5
AP,7/25/13,M,3,30,,65,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,
AP,7/25/13,M,4,15,,75,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,M,5,30,,55,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,
AP,7/25/13,M,6,50,,35,,,,,,,,,,,,,,,,10,,,5,,,,,,,,,,,
AP,7/25/13,M,7,64,,15,,,,,,,,,,,,,,,,11,,,10,,,,,,,,,,,
AP,7/25/13,M,8,85,,10,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,7/25/13,M,9,75,,15,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,7/25/13,M,10,34,,55,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,
AC,7/24/13,M,1,72,,20,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,
AC,7/24/13,M,2,29,,65,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,
AC,7/24/13,M,3,77,,20,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
AC,7/24/13,M,4,72,,15,5,,,,,,,,,,,,,,,5,,,,,3,,,,,,,,,
AC,7/24/13,M,5,70,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,7/24/13,M,6,94,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,7/24/13,M,7,75,,20,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,7/24/13,M,8,87,,10,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
AC,7/24/13,M,9,90,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,7/24/13,M,10,80,,15,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
FB,7/23/13,M,1,45,,40,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
FB,7/23/13,M,2,90,,3,2,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
FB,7/23/13,M,3,93,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,7/23/13,M,4,80,,5,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,7/23/13,M,5,73,,10,15,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,7/23/13,M,6,69,,20,5,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,
FB,7/23/13,M,7,51,,20,15,,,,10,,,,,,,,,,,,,,1,,3,,,,,,,,,
FB,7/23/13,M,8,65,,20,10,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
FB,7/23/13,M,9,65,,5,10,10,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,
FB,7/23/13,M,10,64,,15,5,15,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
TC,7/22/13,M,1,80,,10,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,7/22/13,M,2,53,,40,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,7/22/13,M,3,50,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,7/22/13,M,4,60,,10,25,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
TC,7/22/13,M,5,48,,20,30,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,7/22/13,M,6,67,,10,20,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,7/22/13,M,7,58,,30,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
TC,7/22/13,M,8,60,,15,20,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,7/22/13,M,9,55,,20,15,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
TC,7/22/13,M,10,60,,10,15,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
***NEED TO ADD 8/5 WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
