Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,7/12/13,M,1,45,,30,,,10,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,7/12/13,M,2,65,,10,15,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,7/12/13,M,3,55,,10,30,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/12/13,M,4,60,,15,5,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
PC,7/12/13,M,5,45,,15,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,7/12/13,M,6,35,,20,40,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/12/13,M,7,50,,5,40,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,7/12/13,M,8,28,,,70,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,7/12/13,M,9,53,,10,5,,,,,,,,,,,,,,,,,,30,2,,,,,,,,,,
PC,7/12/13,M,10,34,,35,10,20,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AP,7/11/13,M,1,5,,90,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
AP,7/11/13,M,2,15,,80,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,7/11/13,M,3,57,,40,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
AP,7/11/13,M,4,49,,45,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,
AP,7/11/13,M,5,79,,15,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,
AP,7/11/13,M,6,55,,40,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,7/11/13,M,7,66,,30,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,
AP,7/11/13,M,8,41,,55,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
AP,7/11/13,M,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/11/13,M,10,84,,15,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,7/10/13,M,1,89,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,7/10/13,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,7/10/13,M,3,92,,2,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,7/10/13,M,4,82,,15,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
AC,7/10/13,M,5,28,,70,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
AC,7/10/13,M,6,68,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
AC,7/10/13,M,7,59,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
AC,7/10/13,M,8,17,,60,3,,,,,,10,,,,,,,,,,,,,,5,,,,,,,5,,
AC,7/10/13,M,9,65,,25,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,
