Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,6/28/13,M,1,45,,25,25,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,6/28/13,M,2,45,,15,30,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/28/13,M,3,65,,20,5,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/28/13,M,4,25,,10,60,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,6/28/13,M,5,15,,10,60,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,6/28/13,M,6,47,,5,30,,,,,,,,,,,,,,,,,,10,5,3,,,,,,,,,
PC,6/28/13,M,7,53,,5,40,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,6/28/13,M,8,79,,10,5,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,
PC,6/28/13,M,9,75,,5,,,,,,,,,,,,,,,,,,,5,15,,,,,,,,,,
PC,6/28/13,M,10,85,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,6/27/13,M,1,32,,40,3,,,,10,,,,,,,,,,,15,,,,,,,,,,,,,,
AP,6/27/13,M,2,13,,85,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
AP,6/27/13,M,3,55,,30,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
AP,6/27/13,M,4,55,,30,,,,,,,,,,,,,,,,5,,,10,,,,,,,,,,,
AP,6/27/13,M,5,55,,35,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/27/13,M,6,75,,15,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/27/13,M,7,80,,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/27/13,M,8,90,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/27/13,M,9,75,,20,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/27/13,M,10,87,,10,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
AC,6/26/13,M,1,61,,20,15,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
AC,6/26/13,M,2,45,,40,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
AC,6/26/13,M,3,65,,,25,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
AC,6/26/13,M,4,77,,20,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
AC,6/26/13,M,5,65,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/26/13,M,6,80,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
AC,6/26/13,M,7,43,,50,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
AC,6/26/13,M,8,70,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/26/13,M,9,25,,70,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
AC,6/26/13,M,10,45,,50,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
FB,6/25/13,M,1,91,,,3,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,
