Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,6/14/13,M,1,52,,10,35,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
PC,6/14/13,M,2,48,,15,35,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,6/14/13,M,3,45,,5,40,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/14/13,M,4,45,,20,20,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,6/14/13,M,5,30,,10,50,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
PC,6/14/13,M,6,25,,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,6/14/13,M,7,55,,15,25,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
PC,6/14/13,M,8,72,,10,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
PC,6/14/13,M,9,86,,10,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,6/14/13,M,10,97,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,6/13/13,M,1,83,,10,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/13/13,M,2,22,,70,,,,,3,,,,,,,,,,,3,,,2,,,,,,,,,,,
AP,6/13/13,M,3,10,,85,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
AP,6/13/13,M,4,48,,45,5,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
AP,6/13/13,M,5,88,,10,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
AP,6/13/13,M,6,55,,40,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,6/13/13,M,7,65,,25,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/13/13,M,8,80,,5,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
AP,6/13/13,M,9,50,,40,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
AP,6/13/13,M,10,87,,10,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
AC,6/12/13,M,1,40,,50,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,
AC,6/12/13,M,2,38,,55,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,
AC,6/12/13,M,3,45,,50,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,4,90,,5,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,5,80,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,6/12/13,M,6,28,,60,,,,,,,,,,,,,,,2,5,,,,,5,,,,,,,,,
AC,6/12/13,M,7,55,,40,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AC,6/12/13,M,8,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
