Site,Date,Transect,Quadrat,BareRock,BareSand,Mastocarpus papillatus,Endocladia muricata,Fucus gardneri,Neorhodomela larix,Microcladia coulteri,Mazzaella splendens/flaccida,Mazaella SMALL,Ulva fenestrata,Phyllospadix,Egregia menziesii,Crypotpluera sp.,Analipus japonicus,Callophyllus sp.,Pikea sp (?),Odonthalia floccosa,Halosaccion glandiforme,Corraline red,Gastroclonium subarticulum,Prionitis lanceolata,barnacles,porphyra,Anthopluera,Brown slime,green tufts,green filamentous puffy,puffy filamentous red,branching brwn from CM,rack,spirobilids,TOTAL (=100),Odonthalia washingtoniensis (?)- flat with spikes
PC,5/30/13,M,1,25,,60,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5/30/13,M,2,85,,15,,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,
PC,5/30/13,M,3,40,,10,40,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5/30/13,M,4,60,,15,25,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,
PC,5/30/13,M,5,35,,10,40,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
PC,5/30/13,M,6,73,,5,20,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
PC,5/30/13,M,7,30,,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5/30/13,M,8,70,,5,20,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5/30/13,M,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,5/30/13,M,10,75,,10,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
AP,5/29/13,M,1,68,,20,,,,,2,,,,,,,,,,,10,,,,,,,,,,,,,,
AP,5/29/13,M,2,47,,40,,,,,10,,,,2,,,,,,1,,,,,,,,,,,,,,,
AP,5/29/13,M,3,65,,15,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
AP,5/29/13,M,4,13,,75,,3,,,,,,,,,,,,,2,2,,,,,,,,,5,,,,,
AP,5/29/13,M,5,35,,60,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
AP,5/29/13,M,6,78,,20,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
AP,5/29/13,M,7,65,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,5/29/13,M,8,79,,15,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,5/29/13,M,9,90,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,5/29/13,M,10,98,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,5/28/13,M,1,35,,40,,,,,,,15,,,,,,,,,5,,,,,,,,5,,,,,,
AC,5/28/13,M,2,10,,70,,,,,,,,,,,,,,,,,,,,,15,,,,5,,,,,
AC,5/28/13,M,3,39,,60,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
AC,5/28/13,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,5/28/13,M,5,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,5/28/13,M,6,70,,25,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
AC,5/28/13,M,7,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,5/28/13,M,8,80,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,5/28/13,M,9,80,,15,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
AC,5/28/13,M,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,5/27/13,M,1,82,,10,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,
FB,5/27/13,M,2,87,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,5/27/13,M,3,97,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
FB,5/27/13,M,4,87,,5,5,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FB,5/27/13,M,5,45,,30,20,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
FB,5/27/13,M,6,85,,10,1,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,
FB,5/27/13,M,7,7,,10,60,20,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,
FB,5/27/13,M,8,98,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB,5/27/13,M,9,62,,10,15,,,,,,,,,,,,,,,,,,3,,10,,,,,,,,,
FB,5/27/13,M,10,58,,10,25,,,,,,,,,,,,,,,5,,,2,,,,,,,,,,,
TC,5/26/13,M,1,77,,5,15,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
TC,5/26/13,M,2,55,,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,5/26/13,M,3,50,,5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,5/26/13,M,4,75,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC,5/26/13,M,5,60,,15,15,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,
TC,5/26/13,M,6,80,,10,10,,,,,,,,,,,,,,,,,,<1,,,,,,,,,,,
TC,5/26/13,M,7,69,,10,20,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
TC,5/26/13,M,8,88,,,5,,,,,,,,,,,,,,,,,,5,,2,,,,,,,,,
TC,5/26/13,M,9,92,,1,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
TC,5/26/13,M,10,89,,,1,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
