Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
CM,4/13/2013,M,1,0,0,60,35,0,5,0,0,0,0,0,100
CM,4/13/2013,M,2,0,0,80,15,0,5,0,0,0,0,0,100
CM,4/13/2013,M,3,0,5,65,5,10,15,0,0,0,0,0,100
CM,4/13/2013,M,4,0,15,20,5,50,10,0,0,0,0,0,100
CM,4/13/2013,M,5,0,0,5,10,75,10,0,0,0,0,0,100
CM,4/13/2013,M,6,0,5,20,5,60,10,0,0,0,0,0,100
CM,4/13/2013,M,7,0,0,45,15,30,10,0,0,0,0,0,100
CM,4/13/2013,M,8,0,0,50,15,15,20,0,0,0,0,0,100
CM,4/13/2013,M,9,10,0,15,5,60,10,0,0,0,0,0,100
CM,4/13/2013,M,10,0,0,30,35,30,0,0,0,0,5,0,100
AC,4/15/2013,M,1,0,0,50,5,40,0,5,0,0,0,0,100
AC,4/15/2013,M,2,0,0,20,5,25,0,0,50,0,0,0,100
AC,4/15/2013,M,3,0,5,20,10,20,0,0,30,15,0,0,100
AC,4/15/2013,M,4,0,0,40,10,50,0,0,0,0,0,0,100
AC,4/15/2013,M,5,0,0,65,10,20,0,5,0,0,0,0,100
AC,4/15/2013,M,6,0,0,40,55,0,5,0,0,0,0,0,100
AC,4/15/2013,M,7,15,25,55,5,0,0,0,0,0,0,0,100
AC,4/15/2013,M,8,0,0,75,5,0,0,0,15,5,0,0,100
AC,4/15/2013,M,9,0,20,10,5,40,0,10,15,0,0,0,100
AC,4/15/2013,M,10,0,0,50,10,35,0,5,0,0,0,0,100
PC,4/5/2013,M,1,0,30,35,0,0,5,10,20,0,0,0,100
PC,4/5/2013,M,2,0,15,15,0,50,5,15,0,0,0,0,100
PC,4/5/2013,M,3,0,0,40,10,45,0,5,0,0,0,0,100
PC,4/5/2013,M,4,0,0,50,10,10,20,0,10,0,0,0,100
PC,4/5/2013,M,5,0,0,80,0,0,0,5,0,15,0,0,100
PC,4/5/2013,M,6,0,25,60,5,0,10,0,0,0,0,0,100
PC,4/5/2013,M,7,0,5,70,20,0,5,0,0,0,0,0,100
PC,4/5/2013,M,8,0,0,65,20,0,15,0,0,0,0,0,100
PC,4/5/2013,M,9,0,0,50,15,20,15,0,0,0,0,0,100
PC,4/5/2013,M,10,0,0,30,10,30,10,0,20,0,0,0,100
FB,4/14/2013,M,2,0,5,45,20,0,10,20,0,0,0,0,100
FB,4/14/2013,M,3,0,45,15,5,0,0,0,0,0,35,0,100
FB,4/14/2013,M,4,0,0,60,5,0,10,5,20,0,0,0,100
FB,4/14/2013,M,5,0,0,70,20,0,0,10,0,0,0,0,100
FB,4/14/2013,M,6,0,0,50,5,30,5,10,0,0,0,0,100
FB,4/14/2013,M,7,0,0,75,5,15,0,5,0,0,0,0,100
FB,4/14/2013,M,8,0,0,30,0,0,5,25,40,0,0,0,100
FB,4/14/2013,M,9,0,0,85,10,0,0,5,0,0,0,0,100
FB,4/14/2013,M,1,0,20,20,0,20,5,5,30,0,0,0,100
FB,4/14/2013,M,10,0,15,25,5,10,0,10,35,0,0,0,100
