Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
FB,8/19/2013,M,1,0,0,25,10,65,0,0,0,0,0,0,100
FB,8/19/2013,M,2,0,0,35,0,65,0,0,0,0,0,0,100
FB,8/19/2013,M,3,0,0,70,5,25,0,0,0,0,0,0,100
FB,8/19/2013,M,4,0,0,45,10,45,0,0,0,0,0,0,100
FB,8/19/2013,M,5,0,0,45,0,55,0,0,0,0,0,0,100
FB,8/19/2013,M,6,0,0,60,5,35,0,0,0,0,0,0,100
FB,8/19/2013,M,7,0,0,35,0,45,0,0,20,0,0,0,100
FB,8/19/2013,M,8,0,0,55,0,45,0,0,0,0,0,0,100
FB,8/19/2013,M,9,0,0,65,5,30,0,0,0,0,0,0,100
FB,8/19/2013,M,10,0,0,80,0,20,0,0,0,0,0,0,100
AC,8/20/2013,M,4,0,0,30,0,50,0,20,0,0,0,0,100
AC,8/20/2013,M,5,0,0,60,0,25,0,15,0,0,0,0,100
AC,8/20/2013,M,6,0,0,40,0,10,0,0,50,0,0,0,100
AC,8/20/2013,M,7,0,0,25,20,0,0,0,55,0,0,0,100
AC,8/20/2013,M,8,0,0,50,10,40,0,0,0,0,0,0,100
AC,8/20/2013,M,9,0,0,55,10,25,10,0,0,0,0,0,100
AC,8/20/2013,M,10,0,0,30,5,60,5,0,0,0,0,0,100
TC,8/21/2013,M,1,0,0,45,30,25,0,0,0,0,0,0,100
TC,8/21/2013,M,2,0,0,15,50,15,20,0,0,0,0,0,100
TC,8/21/2013,M,3,0,0,25,15,55,5,0,0,0,0,0,100
TC,8/21/2013,M,4,0,0,25,10,40,20,5,0,0,0,0,100
TC,8/21/2013,M,5,0,0,60,20,15,5,0,0,0,0,0,100
TC,8/21/2013,M,6,0,0,25,45,30,0,0,0,0,0,0,100
TC,8/21/2013,M,7,0,0,55,20,15,10,0,0,0,0,0,100
TC,8/21/2013,M,8,0,0,80,10,5,0,5,0,0,0,0,100
TC,8/21/2013,M,9,0,0,70,15,15,0,0,0,0,0,0,100
TC,8/21/2013,M,10,0,0,25,15,30,30,0,0,0,0,0,100
AP,8/22/2013,M,1,0,0,30,5,55,0,10,0,0,0,0,100
AP,8/22/2013,M,2,0,0,20,15,50,25,0,0,0,0,0,110
AP,8/22/2013,M,3,0,0,40,0,10,20,0,30,0,0,0,100
AP,8/22/2013,M,4,0,0,45,10,20,5,0,20,0,0,0,100
AP,8/22/2013,M,5,0,0,50,5,0,0,0,45,0,0,0,100
AP,8/22/2013,M,6,0,0,40,5,0,5,0,50,0,0,0,100
AP,8/22/2013,M,7,0,0,20,5,0,0,0,75,0,0,0,100
AP,8/22/2013,M,8,0,0,65,5,0,0,0,30,0,0,0,100
AP,8/22/2013,M,9,0,0,40,10,15,10,0,25,0,0,0,100
AP,8/22/2013,M,10,0,0,25,10,0,25,0,40,0,0,0,100
PC,8/23/2013,M,1,0,0,30,25,45,0,0,0,0,0,0,100
PC,8/23/2013,M,2,0,0,25,15,40,20,0,0,0,0,0,100
PC,8/23/2013,M,3,0,0,75,15,10,0,0,0,0,0,0,100
PC,8/23/2013,M,4,0,0,35,20,45,0,0,0,0,0,0,100
PC,8/23/2013,M,5,0,0,35,25,40,0,0,0,0,0,0,100
PC,8/23/2013,M,6,0,0,45,20,35,0,0,0,0,0,0,100
PC,8/23/2013,M,7,0,0,35,0,65,0,0,0,0,0,0,100
PC,8/23/2013,M,8,0,0,40,15,45,0,0,0,0,0,0,100
PC,8/23/2013,M,9,0,0,50,20,0,0,0,30,0,0,0,100
PC,8/23/2013,M,10,0,0,15,5,35,0,5,40,0,0,0,100
