Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
PC,7/12/13,M,1,0,5,20,10,50,15,0,0,0,0,0,100
PC,7/12/13,M,2,0,0,60,15,10,10,5,0,0,0,0,100
PC,7/12/13,M,3,0,0,60,10,25,5,0,0,0,0,0,100
PC,7/12/13,M,4,0,0,40,40,20,0,0,0,0,0,0,100
PC,7/12/13,M,5,0,0,65,15,20,0,0,0,0,0,0,100
PC,7/12/13,M,6,0,0,75,5,15,5,0,0,0,0,0,100
PC,7/12/13,M,7,0,0,50,20,20,10,0,0,0,0,0,100
PC,7/12/13,M,8,0,0,40,15,25,0,0,20,0,0,0,100
PC,7/12/13,M,9,0,0,50,50,0,0,0,0,0,0,0,100
PC,7/12/13,M,10,0,0,20,5,30,5,0,40,0,0,0,100
AP,7/11/13,M,1,0,0,40,5,50,0,5,0,0,0,0,100
AP,7/11/13,M,2,0,0,20,5,70,5,0,0,0,0,0,100
AP,7/11/13,M,3,0,0,40,15,10,0,0,35,0,0,0,100
AP,7/11/13,M,4,0,0,45,10,0,0,0,45,0,0,0,100
AP,7/11/13,M,5,0,0,55,20,0,5,0,20,0,0,0,100
AP,7/11/13,M,6,0,0,45,10,45,0,0,0,0,0,0,100
AP,7/11/13,M,7,0,0,15,20,25,10,0,30,0,0,0,100
AP,7/11/13,M,8,0,0,45,10,0,5,0,40,0,0,0,100
AP,7/11/13,M,9,0,0,80,5,10,5,0,0,0,0,0,100
AP,7/11/13,M,10,0,0,55,5,20,10,0,10,0,0,0,100
AC,7/10/13,M,1,0,0,60,15,0,15,10,0,0,0,0,100
AC,7/10/13,M,2,0,0,70,10,20,0,0,0,0,0,0,100
AC,7/10/13,M,3,0,0,40,0,60,0,0,0,0,0,0,100
AC,7/10/13,M,4,0,0,30,30,40,0,0,0,0,0,0,100
AC,7/10/13,M,5,0,0,30,10,0,0,0,60,0,0,0,100
AC,7/10/13,M,6,0,0,35,10,55,0,0,0,0,0,0,100
AC,7/10/13,M,7,0,0,40,30,30,0,0,0,0,0,0,100
AC,7/10/13,M,8,0,0,50,10,40,0,0,0,0,0,0,100
AC,7/10/13,M,9,0,0,20,60,20,0,0,0,0,0,0,100
AC,7/10/13,M,10,0,0,60,15,15,10,0,0,0,0,0,100
FB,7/9/13,M,1,0,0,90,10,0,0,0,0,0,0,0,100
FB,7/9/13,M,2,0,0,45,20,35,0,0,0,0,0,0,100
FB,7/9/13,M,3,0,0,15,15,65,5,0,0,0,0,0,100
FB,7/9/13,M,4,0,0,45,10,35,10,0,0,0,0,0,100
FB,7/9/13,M,5,0,0,60,15,15,10,0,0,0,0,0,100
FB,7/9/13,M,6,0,0,65,0,0,5,0,30,0,0,0,100
FB,7/9/13,M,7,0,0,20,20,40,20,0,0,0,0,0,100
FB,7/9/13,M,8,0,100,0,0,0,0,0,0,0,0,0,100
FB,7/9/13,M,9,0,0,60,20,20,0,0,0,0,0,0,100
FB,7/9/13,M,10,0,0,50,10,20,0,0,20,0,0,0,100
TC,7/8/13,M,1,0,0,75,15,10,0,0,0,0,0,0,100
TC,7/8/13,M,2,0,0,60,20,15,5,0,0,0,0,0,100
TC,7/8/13,M,3,0,0,40,10,25,25,0,0,0,0,0,100
TC,7/8/13,M,4,0,0,60,25,10,5,0,0,0,0,0,100
TC,7/8/13,M,5,0,0,40,30,10,15,0,0,5,0,0,100
TC,7/8/13,M,6,0,0,40,10,25,20,5,0,0,0,0,100
TC,7/8/13,M,7,0,0,70,0,20,10,0,0,0,0,0,100
TC,7/8/13,M,8,0,0,50,10,25,15,0,0,0,0,0,100
TC,7/8/13,M,9,0,0,60,15,20,0,0,0,5,0,0,100
TC,7/8/13,M,10,0,0,40,50,5,5,0,0,0,0,0,100
