Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
PC,6/28/13,M,1,,75,,10,,15,,,,,,100
PC,6/28/13,M,2,,,45,10,35,10,,,,,,100
PC,6/28/13,M,3,,,45,35,20,,,,,,,100
PC,6/28/13,M,4,,,80,5,15,,,,,,,100
PC,6/28/13,M,5,,,75,10,5,10,,,,,,100
PC,6/28/13,M,6,,,50,30,20,,,,,,,100
PC,6/28/13,M,7,,,45,20,10,25,,,,,,100
PC,6/28/13,M,8,,,60,30,10,,,,,,,100
PC,6/28/13,M,9,,,60,10,30,,,,,,,100
PC,6/28/13,M,10,,,25,10,25,40,,,,,,100
AP,6/27/13,M,1,,,20,5,,15,60,,,,,100
AP,6/27/13,M,2,,,80,20,,,,,,,,100
AP,6/27/13,M,3,,,30,5,30,15,,20,,,,100
AP,6/27/13,M,4,,,30,5,20,10,,35,,,,100
AP,6/27/13,M,5,,,55,20,,25,,,,,,100
AP,6/27/13,M,6,,,60,,5,,20,,,,,85
AP,6/27/13,M,7,,,40,15,25,5,,15,,,,100
AP,6/27/13,M,8,,,65,15,,15,,5,,,,100
AP,6/27/13,M,9,,60,,15,30,,,,,,,105
AP,6/27/13,M,10,,55,,10,15,20,,,,,,100
AC,6/26/13,M,1,,85,,,5,,10,,,,,100
AC,6/26/13,M,2,,,,35,25,,40,,,,,100
AC,6/26/13,M,3,,,30,,50,,20,,,,,100
AC,6/26/13,M,4,,,10,50,,,,40,,,,100
AC,6/26/13,M,5,,,15,40,40,,,,,,5,100
AC,6/26/13,M,6,,,30,35,30,,,,,,5,100
AC,6/26/13,M,7,,,30,40,30,,,,,,,100
AC,6/26/13,M,8,,,50,20,15,10,,,,,5,100
AC,6/26/13,M,9,,,40,20,20,10,,,,,10,100
AC,6/26/13,M,10,,,55,10,25,10,,,,,,100
FB,6/25/13,M,1,,10,60,20,,10,,,,,,100
FB,6/25/13,M,2,10,40,40,,5,5,,,,,,100
FB,6/25/13,M,3,,60,20,,,10,10,,,,,100
FB,6/25/13,M,4,,20,10,5,,5,,30,,,,70
FB,6/25/13,M,5,,5,70,10,10,5,,,,,,100
FB,6/25/13,M,6,,,50,,,,,50,,,,100
FB,6/25/13,M,7,,,85,,,,,15,,,,100
FB,6/25/13,M,8,,50,,10,30,10,,,,,,100
FB,6/25/13,M,9,,,70,5,10,10,,,5,,,100
FB,6/25/13,M,10,,15,40,5,,5,,35,,,,100
TC,6/24/13,M,1,,,60,10,25,5,,,,,,100
TC,6/24/13,M,2,,,70,15,5,10,,,,,,100
TC,6/24/13,M,3,,,60,10,15,15,,,,,,100
TC,6/24/13,M,4,,80,10,,,5,,,5,,,100
TC,6/24/13,M,5,,,40,10,30,10,,,10,,,100
TC,6/24/13,M,6,,,55,10,25,5,,,5,,,100
TC,6/24/13,M,7,,,60,10,10,20,,,,,,100
TC,6/24/13,M,8,,,50,25,15,10,,,,,,100
TC,6/24/13,M,9,,,55,15,10,,,,20,,,100
TC,6/24/13,M,10,,70,,20,10,,,,,,,100
