Site,Date,Transect,Quadrat number,>1m2,1m2-50cm2,50cm2-10cm2,<10cm2->course sand,cemented rock that’s 1m2-10cm2,bare cobble (>2cm),bare sand (fine-very course sand),rocky bench,tidepool,shell hash,wrack,TOTAL (=100?)
PC,5/30/13,M,1,,15,40,15,25,,5,,,,,100
PC,5/30/13,M,2,,5,40,10,25,20,,,,,,100
PC,5/30/13,M,3,,,40,40,20,,,,,,,100
PC,5/30/13,M,4,,15,40,15,25,5,,,,,,100
PC,5/30/13,M,5,,10,55,20,,10,,,5,,,100
PC,5/30/13,M,6,,,80,15,,5,,,,,,100
PC,5/30/13,M,7,,,30,5,30,5,15,15,,,,100
PC,5/30/13,M,8,,,70,15,15,,,,,,,100
PC,5/30/13,M,9,,10,50,30,,10,,,,,,100
PC,5/30/13,M,10,,65,,5,10,20,,,,,,100
AP,5/29/13,M,1,,,40,30,25,5,,,,,,100
AP,5/29/13,M,2,,,40,10,5,,5,,,,,60
AP,5/29/13,M,3,,90,,,10,,,,,,,100
AP,5/29/13,M,4,,,20,5,70,5,,,,,,100
AP,5/29/13,M,5,,,30,20,50,,,,,,,100
AP,5/29/13,M,6,,,50,15,10,10,5,10,,,,100
AP,5/29/13,M,7,,,40,5,50,5,,,,,,100
AP,5/29/13,M,8,,,60,5,20,15,,,,,,100
AP,5/29/13,M,9,,,70,,20,10,,,,,,100
AP,5/29/13,M,10,,,45,10,15,30,,,,,,100
AC,5/28/13,M,1,,,30,,35,,5,,30,,,100
AC,5/28/13,M,2,,70,,,20,,,,,,10,100
AC,5/28/13,M,3,,,35,,50,,,,,,15,100
AC,5/28/13,M,4,,,65,5,30,,,,,,,100
AC,5/28/13,M,5,,,5,75,,,,20,,,,100
AC,5/28/13,M,6,,,25,,,15,,60,,,,100
AC,5/28/13,M,7,,,15,25,,,,60,,,,100
AC,5/28/13,M,8,,10,,60,25,,,,,,5,100
AC,5/28/13,M,9,,,20,30,20,,,,30,,,100
AC,5/28/13,M,10,,,40,20,30,,,,10,,,100
FB,5/27/13,M,1,,10,35,5,20,30,,,,,,100
FB,5/27/13,M,2,,10,60,15,15,,,,,,,100
FB,5/27/13,M,3,,5,80,5,5,5,,,,,,100
FB,5/27/13,M,4,,,70,10,20,,,,,,,100
FB,5/27/13,M,5,,25,35,,35,5,,,,,,100
FB,5/27/13,M,6,,,40,5,40,15,,,,,,100
FB,5/27/13,M,7,,,35,10,50,5,,,,,,100
FB,5/27/13,M,8,,,80,5,10,5,,,<5,,,100
FB,5/27/13,M,9,,10,50,5,30,5,,,,,,100
FB,5/27/13,M,10,5,30,55,10,,,,,<3,,,100
TC,5/26/13,M,1,,,50,30,20,,,,,,,100
TC,5/26/13,M,2,,,60,5,20,15,,,,,,100
TC,5/26/13,M,3,,,50,10,30,10,,,,,,100
TC,5/26/13,M,4,,,65,15,10,10,,,,,,100
TC,5/26/13,M,5,,,55,15,25,5,,,,,,100
TC,5/26/13,M,6,,,40,,45,15,,,,,,100
TC,5/26/13,M,7,,,50,15,30,5,,,,,,100
TC,5/26/13,M,8,,,60,20,10,10,,,,,,100
TC,5/26/13,M,9,,,75,20,,5,,,,,,100
TC,5/26/13,M,10,,,60,30,,10,,,,,,100
