Site,Date,Transect,Quadrat,Sex,Size,Ovigerous
TC,12/16/2013,M,1,N,1,
TC,12/16/2013,M,1,N,1,
TC,12/16/2013,M,1,N,1,
TC,12/16/2013,M,1,N,3,
TC,12/16/2013,M,1,N,3,
TC,12/16/2013,M,1,N,5,
TC,12/16/2013,M,1,N,4.75,
TC,12/16/2013,M,1,F,12,
TC,12/16/2013,M,1,F,15,
TC,12/16/2013,M,1,F,13,Y
TC,12/16/2013,M,1,F,11,Y
TC,12/16/2013,M,1,F,12,
TC,12/16/2013,M,1,F,12,Y
TC,12/16/2013,M,1,F,12,Y
TC,12/16/2013,M,1,F,15,Y
TC,12/16/2013,M,1,F,11,
TC,12/16/2013,M,1,F,9,
TC,12/16/2013,M,1,F,9,Y
TC,12/16/2013,M,1,F,8,
TC,12/16/2013,M,1,M,17,
TC,12/16/2013,M,1,M,13,
TC,12/16/2013,M,1,M,11,
TC,12/16/2013,M,1,M,17,
TC,12/16/2013,M,1,M,11,
TC,12/16/2013,M,1,M,8,
TC,12/16/2013,M,1,M,10,
TC,12/16/2013,M,1,M,8,
TC,12/16/2013,M,1,M,11,
TC,12/16/2013,M,1,M,8,
TC,12/16/2013,M,1,M,7,
TC,12/16/2013,M,2,N,4.75,
TC,12/16/2013,M,2,M,11,
TC,12/16/2013,M,2,M,11,
TC,12/16/2013,M,2,M,12,
TC,12/16/2013,M,2,M,8,
TC,12/16/2013,M,3,N,2,
TC,12/16/2013,M,3,N,3,
TC,12/16/2013,M,3,N,3,
TC,12/16/2013,M,3,N,3,
TC,12/16/2013,M,3,N,5,
TC,12/16/2013,M,3,F,15,Y
TC,12/16/2013,M,3,F,15,Y
TC,12/16/2013,M,3,F,12,
TC,12/16/2013,M,3,F,13,Y
TC,12/16/2013,M,3,F,13,Y
TC,12/16/2013,M,3,F,11,Y
TC,12/16/2013,M,3,F,11,Y
TC,12/16/2013,M,3,F,11,
TC,12/16/2013,M,3,F,9,
