Location,Date,Transect Height,Quadrat number,% Flip,Petrolisthes cinctipes (PL),Petrolisthes cinctipes (Small),Petrolisthes cinctipes (Medium),Petrolisthes cinctipes (Large),Cancer productus (small),Cancer productus (medium),Cancer productus (large),Hemigrapsus nudus (S),Hemigrapsus nudus (M),Hemigrapsus nudus (L),Hemigrapsus oregonensis (S),Hemigrapsus oregonensis (M),Hemigrapsus oregonensis (L),Cancer antennarius (S),Cancer antennarius (M),Cancer antennarius (L),Pachycheles rudis (Small),Pachycheles rudis (Medium),Pachycheles rudis (Large),Pachygrapsus crassipes (small),Pachygrapsus crassipes (medium),Pachygrapsus crassipes (large),Leptosterias hexaxis (Small),Leptosterias hexaxis (Medium),Leptosterias hexaxis (Large),Lophopanopeus bellus,Lophopanopeus bellus,Lophopanopeus bellus,Petrolisthes mannimaculis (Small),Petrolisthes manimaculis (Medium),Petrolisthes manimaculis (Large),Gobiesox maeandricus (small),Gobiesox maeandricus (medium),Gobiesox maeandricus (large),Anoplarchus purpurescens (S),Anoplarchus purpurescens (M),Anoplarchus purpurescens (L),Xiphister atropurpurescens (S),Xiphister atropurpurescens (M),Xiphister atropurpurescens (L),Kelp Crab (small),Kelp Crab (medium,Kelp Crab (Large),,Urchin (small),Urchin (medium),Urchin (Large),Hapalogaster cavidauda (small),Cancer magister (small)
PC,8/9/13,L,1,36,,,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,2,55,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,3,75,,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PC,8/9/13,L,4,25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,5,45,,,2,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,6,40,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,7,30,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,8,80,,,5,4,,,,,,,,,,,,,5,1,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,
PC,8/9/13,L,9,25,,2,4,1,1,,,,,,,,,,,,2,2,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
PC,8/9/13,L,10,30,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,1,64,,6,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,,,,,,,,2,,,,,,,,,1
AP,7/25/13,L,2,44,,1,9,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,5,52,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
AP,7/25/13,L,6,48,,2,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,7,68,5,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,8,24,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,7/25/13,L,9,52,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
AP,7/25/13,L,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
AC,7/24/13,L,1,80,,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
AC,7/24/13,L,2,44,,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,1,,,,,,,,,,,,
AC,7/24/13,L,3,20,,1,3,3,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,2,,,,1,,1,,,,,,,,,,,,
AC,7/24/13,L,4,24,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,
AC,7/24/13,L,5,36,,3,3,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
