Site,Date,Transect,Quadrat,Sex,Size,Ovigerous
CM,4/13/2013,M,1,F,10,Y
CM,4/13/2013,M,1,F,10,
CM,4/13/2013,M,1,F,6,
CM,4/13/2013,M,1,F,10,
CM,4/13/2013,M,1,F,9,
CM,4/13/2013,M,1,F,10,Y
CM,4/13/2013,M,1,F,10,Y
CM,4/13/2013,M,1,F,9,Y
CM,4/13/2013,M,1,F,7,
CM,4/13/2013,M,1,F,11,
CM,4/13/2013,M,1,F,10,
CM,4/13/2013,M,1,F,9,
CM,4/13/2013,M,1,F,9,Y
CM,4/13/2013,M,1,F,8,Y
CM,4/13/2013,M,1,F,8,Y
CM,4/13/2013,M,1,F,4,
CM,4/13/2013,M,1,F,10,Y
CM,4/13/2013,M,1,F,9,Y
CM,4/13/2013,M,1,F,9,Y
CM,4/13/2013,M,1,F,8,Y
CM,4/13/2013,M,1,F,5,
CM,4/13/2013,M,1,F,6,Y
CM,4/13/2013,M,1,F,5,Y
CM,4/13/2013,M,1,F,7,
CM,4/13/2013,M,1,M,11,
CM,4/13/2013,M,1,M,10,
CM,4/13/2013,M,1,M,12,
CM,4/13/2013,M,1,M,10,
CM,4/13/2013,M,1,M,9,
CM,4/13/2013,M,1,M,9,
CM,4/13/2013,M,1,M,9,
CM,4/13/2013,M,1,M,8,
CM,4/13/2013,M,1,M,11,
CM,4/13/2013,M,1,M,6,
CM,4/13/2013,M,1,M,8,
CM,4/13/2013,M,1,M,8,
CM,4/13/2013,M,1,M,8,
CM,4/13/2013,M,1,M,7,
CM,4/13/2013,M,1,M,10,
CM,4/13/2013,M,1,M,8,
CM,4/13/2013,M,1,M,5,
CM,4/13/2013,M,1,M,5,
CM,4/13/2013,M,2,F,12,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,11,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,10,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,9,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,8,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,7,Y
CM,4/13/2013,M,2,F,10,
CM,4/13/2013,M,2,F,10,
CM,4/13/2013,M,2,F,9,
CM,4/13/2013,M,2,F,9,
CM,4/13/2013,M,2,F,9,
CM,4/13/2013,M,2,F,11,
CM,4/13/2013,M,2,F,8,
CM,4/13/2013,M,2,F,8,
CM,4/13/2013,M,2,F,7,
CM,4/13/2013,M,2,F,6,
CM,4/13/2013,M,2,F,5,
CM,4/13/2013,M,2,F,5,
CM,4/13/2013,M,2,F,5,
CM,4/13/2013,M,2,F,5,
CM,4/13/2013,M,2,M,15,
CM,4/13/2013,M,2,M,11,
CM,4/13/2013,M,2,M,12,
CM,4/13/2013,M,2,M,12,
CM,4/13/2013,M,2,M,13,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,11,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,12,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,9,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,11,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,9,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,9,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,10,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,7,
CM,4/13/2013,M,2,M,8,
CM,4/13/2013,M,2,M,5,
CM,4/13/2013,M,2,M,5,
CM,4/13/2013,M,2,M,6,
CM,4/13/2013,M,2,M,5,
CM,4/13/2013,M,2,M,5,
CM,4/13/2013,M,2,M,6,
CM,4/13/2013,M,2,M,5,
CM,4/13/2013,M,2,N,4,
CM,4/13/2013,M,2,N,1.5,
CM,4/13/2013,M,2,N,4,
CM,4/13/2013,M,2,N,4,
CM,4/13/2013,M,2,N,4,
CM,4/13/2013,M,2,N,4,
CM,4/13/2013,M,3,F,10,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,10,Y
CM,4/13/2013,M,3,F,10,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,8,Y
CM,4/13/2013,M,3,F,8,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,8,Y
CM,4/13/2013,M,3,F,9,Y
CM,4/13/2013,M,3,F,8,Y
