Site,Date,Transect,Quadrat,Sex,Size,Ovigerous
PC,7/12/2013,M,1,F,9,
PC,7/12/2013,M,1,F,11,
PC,7/12/2013,M,1,M,7,
PC,7/12/2013,M,2,F,13,
PC,7/12/2013,M,2,F,9,
PC,7/12/2013,M,2,M,17,
PC,7/12/2013,M,2,M,14,
PC,7/12/2013,M,2,M,9,
PC,7/12/2013,M,2,M,15,
PC,7/12/2013,M,2,M,14,
PC,7/12/2013,M,2,M,7,
PC,7/12/2013,M,2,M,10,
PC,7/12/2013,M,2,M,9,
PC,7/12/2013,M,2,M,7,
PC,7/12/2013,M,2,N,3,
PC,7/12/2013,M,2,N,4,
PC,7/12/2013,M,2,N,3.5,
PC,7/12/2013,M,2,N,5,
PC,7/12/2013,M,2,N,5,
PC,7/12/2013,M,3,F,10,
PC,7/12/2013,M,3,F,9,
PC,7/12/2013,M,3,F,7,
PC,7/12/2013,M,3,F,7,
PC,7/12/2013,M,3,M,14,
PC,7/12/2013,M,3,M,14,
PC,7/12/2013,M,3,M,14,
PC,7/12/2013,M,3,M,8,
PC,7/12/2013,M,3,M,9,
PC,7/12/2013,M,3,M,7,
PC,7/12/2013,M,3,M,6,
PC,7/12/2013,M,3,N,5,
PC,7/12/2013,M,3,N,3,
PC,7/12/2013,M,3,N,3,
PC,7/12/2013,M,3,N,3.25,
PC,7/12/2013,M,4,F,8,
PC,7/12/2013,M,4,F,9,
PC,7/12/2013,M,4,M,16,
PC,7/12/2013,M,4,M,11,
PC,7/12/2013,M,4,M,12,
PC,7/12/2013,M,4,M,10,
PC,7/12/2013,M,4,M,8,
PC,7/12/2013,M,4,M,9,
PC,7/12/2013,M,4,M,8,
PC,7/12/2013,M,4,M,9,
PC,7/12/2013,M,4,M,11,
PC,7/12/2013,M,4,N,3.25,
PC,7/12/2013,M,4,N,3.25,
PC,7/12/2013,M,4,N,3.25,
PC,7/12/2013,M,4,N,5,
PC,7/12/2013,M,5,F,10,Y
PC,7/12/2013,M,5,F,15,
PC,7/12/2013,M,5,F,13,
PC,7/12/2013,M,5,F,12,
PC,7/12/2013,M,5,F,11,
PC,7/12/2013,M,5,F,10,
PC,7/12/2013,M,5,F,10,
PC,7/12/2013,M,5,F,6,
PC,7/12/2013,M,5,M,15,
PC,7/12/2013,M,5,M,10,
PC,7/12/2013,M,5,M,9,
PC,7/12/2013,M,5,M,9,
PC,7/12/2013,M,5,M,7,
PC,7/12/2013,M,5,M,8,
PC,7/12/2013,M,5,M,6,
PC,7/12/2013,M,5,M,6,
PC,7/12/2013,M,5,M,7,
PC,7/12/2013,M,5,N,5,
PC,7/12/2013,M,5,N,5,
PC,7/12/2013,M,5,N,3,
PC,7/12/2013,M,5,N,3,
PC,7/12/2013,M,6,F,13,Y
PC,7/12/2013,M,6,F,11,
PC,7/12/2013,M,6,F,11,
PC,7/12/2013,M,6,F,12,
PC,7/12/2013,M,6,F,12,
PC,7/12/2013,M,6,F,7,
PC,7/12/2013,M,6,M,16,
PC,7/12/2013,M,6,M,13,
PC,7/12/2013,M,6,M,11,
PC,7/12/2013,M,6,M,10,
PC,7/12/2013,M,6,M,7,
PC,7/12/2013,M,6,N,5,
PC,7/12/2013,M,6,N,5,
PC,7/12/2013,M,6,N,3,
PC,7/12/2013,M,7,M,15,
PC,7/12/2013,M,7,M,13,
PC,7/12/2013,M,7,M,9,
PC,7/12/2013,M,7,M,7,
PC,7/12/2013,M,7,N,3,
PC,7/12/2013,M,7,N,5,
PC,7/12/2013,M,7,N,5,
PC,7/12/2013,M,8,F,10,Y
PC,7/12/2013,M,8,F,12,
PC,7/12/2013,M,8,F,9,
PC,7/12/2013,M,8,F,7,
PC,7/12/2013,M,8,M,13,
PC,7/12/2013,M,8,M,13,
PC,7/12/2013,M,8,M,10,
PC,7/12/2013,M,8,M,11,
PC,7/12/2013,M,8,M,7,
PC,7/12/2013,M,8,N,3.5,
PC,7/12/2013,M,8,N,2,
PC,7/12/2013,M,8,N,2,
PC,7/12/2013,M,8,N,2,
PC,7/12/2013,M,9,F,11,Y
PC,7/12/2013,M,9,F,12,Y
PC,7/12/2013,M,9,F,12,Y
PC,7/12/2013,M,9,F,11,Y
PC,7/12/2013,M,9,F,10,Y
PC,7/12/2013,M,9,F,10,Y
PC,7/12/2013,M,9,F,9,Y
PC,7/12/2013,M,9,F,9,Y
PC,7/12/2013,M,9,F,10,Y
PC,7/12/2013,M,9,F,15,
PC,7/12/2013,M,9,F,13,
PC,7/12/2013,M,9,F,16,
PC,7/12/2013,M,9,F,8,
PC,7/12/2013,M,9,F,13,
PC,7/12/2013,M,9,F,12,
PC,7/12/2013,M,9,F,8,
PC,7/12/2013,M,9,F,8,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,9,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,9,
PC,7/12/2013,M,9,F,9,
PC,7/12/2013,M,9,F,8,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,11,
PC,7/12/2013,M,9,F,10,
PC,7/12/2013,M,9,F,9,
PC,7/12/2013,M,9,F,9,
PC,7/12/2013,M,9,F,8,
PC,7/12/2013,M,9,F,7,
PC,7/12/2013,M,9,F,7,
PC,7/12/2013,M,9,F,6,
PC,7/12/2013,M,9,F,7,
PC,7/12/2013,M,9,M,14,
PC,7/12/2013,M,9,M,13,
PC,7/12/2013,M,9,M,13,
PC,7/12/2013,M,9,M,13,
PC,7/12/2013,M,9,M,12,
PC,7/12/2013,M,9,M,12,
PC,7/12/2013,M,9,M,12,
PC,7/12/2013,M,9,M,12,
PC,7/12/2013,M,9,M,12,
PC,7/12/2013,M,9,M,2,
PC,7/12/2013,M,9,M,14,
PC,7/12/2013,M,9,M,15,
PC,7/12/2013,M,9,M,10,
PC,7/12/2013,M,9,M,9,
PC,7/12/2013,M,9,M,7,
PC,7/12/2013,M,9,M,10,
PC,7/12/2013,M,9,M,8,
PC,7/12/2013,M,9,M,10,
PC,7/12/2013,M,9,M,7,
PC,7/12/2013,M,9,M,6,
PC,7/12/2013,M,9,M,6,
PC,7/12/2013,M,9,M,7,
PC,7/12/2013,M,9,M,6,
PC,7/12/2013,M,9,N,5,
PC,7/12/2013,M,9,N,5,
PC,7/12/2013,M,10,F,9,
PC,7/12/2013,M,10,F,8,
PC,7/12/2013,M,10,F,9,
PC,7/12/2013,M,10,F,10,
PC,7/12/2013,M,10,F,6,
PC,7/12/2013,M,10,M,15,
PC,7/12/2013,M,10,M,12,
PC,7/12/2013,M,10,M,12,
PC,7/12/2013,M,10,M,10,
PC,7/12/2013,M,10,M,9,
PC,7/12/2013,M,10,M,10,
PC,7/12/2013,M,10,M,7,
AP,7/11/2013,M,1,F,12,Y
AP,7/11/2013,M,1,F,11,
AP,7/11/2013,M,1,F,12,
AP,7/11/2013,M,1,F,8,
AP,7/11/2013,M,1,F,10,
AP,7/11/2013,M,1,F,9,
AP,7/11/2013,M,1,F,7,
AP,7/11/2013,M,1,F,7,
AP,7/11/2013,M,1,M,10,
AP,7/11/2013,M,1,M,11,
AP,7/11/2013,M,1,M,11,
AP,7/11/2013,M,1,M,8,
AP,7/11/2013,M,1,M,6,
AP,7/11/2013,M,1,M,7,
AP,7/11/2013,M,1,M,6,
AP,7/11/2013,M,1,M,6,
AP,7/11/2013,M,1,N,5,
AP,7/11/2013,M,1,N,2.25,
AP,7/11/2013,M,1,N,3,
AP,7/11/2013,M,1,N,5,
AP,7/11/2013,M,1,N,3,
AP,7/11/2013,M,1,N,4.5,
AP,7/11/2013,M,1,N,3,
AP,7/11/2013,M,1,N,3.25,
AP,7/11/2013,M,1,N,4.75,
AP,7/11/2013,M,1,N,2.5,
AP,7/11/2013,M,1,N,2.75,
AP,7/11/2013,M,1,N,2,
AP,7/11/2013,M,1,N,2,
AP,7/11/2013,M,1,N,2,
AP,7/11/2013,M,2,F,7,
AP,7/11/2013,M,2,F,6,
AP,7/11/2013,M,2,F,6,
AP,7/11/2013,M,2,F,6,
AP,7/11/2013,M,2,M,9,
AP,7/11/2013,M,2,M,12,
AP,7/11/2013,M,2,M,11,
AP,7/11/2013,M,2,M,6,
AP,7/11/2013,M,2,M,6,
AP,7/11/2013,M,2,N,2.75,
AP,7/11/2013,M,2,N,5,
AP,7/11/2013,M,2,N,3,
AP,7/11/2013,M,2,N,5,
AP,7/11/2013,M,2,N,3,
AP,7/11/2013,M,2,N,4,
AP,7/11/2013,M,2,N,3,
AP,7/11/2013,M,2,N,3,
AP,7/11/2013,M,2,N,3.25,
AP,7/11/2013,M,2,N,3,
AP,7/11/2013,M,2,N,2,
AP,7/11/2013,M,2,N,2,
AP,7/11/2013,M,2,N,2,
AP,7/11/2013,M,2,N,2,
AP,7/11/2013,M,2,N,2,
AP,7/11/2013,M,3,F,8,
AP,7/11/2013,M,3,F,10,
AP,7/11/2013,M,3,F,8,
AP,7/11/2013,M,3,F,6,
AP,7/11/2013,M,3,M,10,
AP,7/11/2013,M,3,M,10,
AP,7/11/2013,M,3,M,9,
AP,7/11/2013,M,3,M,11,
AP,7/11/2013,M,3,M,8,
AP,7/11/2013,M,3,M,9,
AP,7/11/2013,M,3,M,7,
AP,7/11/2013,M,3,M,7,
AP,7/11/2013,M,4,F,15,
AP,7/11/2013,M,4,F,15,
AP,7/11/2013,M,4,F,14,
AP,7/11/2013,M,4,F,12,
AP,7/11/2013,M,4,F,12,
AP,7/11/2013,M,4,F,13,
AP,7/11/2013,M,4,F,13,
AP,7/11/2013,M,4,F,11,
AP,7/11/2013,M,4,F,9,
AP,7/11/2013,M,4,F,9,
AP,7/11/2013,M,4,F,8,
AP,7/11/2013,M,4,F,7,
AP,7/11/2013,M,4,F,9,
AP,7/11/2013,M,4,F,8,
AP,7/11/2013,M,4,F,9,
AP,7/11/2013,M,4,F,6,
AP,7/11/2013,M,4,M,14,
AP,7/11/2013,M,4,M,14,
AP,7/11/2013,M,4,M,15,
AP,7/11/2013,M,4,M,12,
AP,7/11/2013,M,4,M,15,
AP,7/11/2013,M,4,M,12,
AP,7/11/2013,M,4,M,11,
AP,7/11/2013,M,4,M,9,
AP,7/11/2013,M,4,M,9,
AP,7/11/2013,M,4,M,9,
AP,7/11/2013,M,4,M,9,
AP,7/11/2013,M,4,M,8,
AP,7/11/2013,M,4,M,8,
AP,7/11/2013,M,4,M,7,
AP,7/11/2013,M,4,M,8,
AP,7/11/2013,M,4,M,7,
AP,7/11/2013,M,4,M,7,
AP,7/11/2013,M,4,M,8,
AP,7/11/2013,M,4,M,6,
AP,7/11/2013,M,4,M,6,
AP,7/11/2013,M,4,M,6,
AP,7/11/2013,M,4,M,6,
AP,7/11/2013,M,4,M,6,
AP,7/11/2013,M,4,N,5,
AP,7/11/2013,M,4,N,4,
AP,7/11/2013,M,4,N,4.25,
AP,7/11/2013,M,4,N,4.75,
