Site,Week,Date,Trap Petrolisthes cinctipes PL,Trap Pugettia PL,Trap H. nudus PL,Trap Cancer sp.,Trap Pachycheles rudis,Trap Rockfish,Trap Gobiesox,Trap Sculpin,Trap Sea trout
TC,Week 2,6/30/14,0,0,0,0,0,0,0,0,0
TC,Week 2,6/30/14,0,0,0,0,0,0,0,0,0
AP,Week 2,7/1/14,0,0,0,0,0,0,0,0,0
AP,Week 2,7/1/14,0,0,0,0,0,0,0,0,0
AC,Week 2,7/2/14,3,0,0,1,2,0,0,0,2
FB,Week 2,7/2/14,0,0,0,0,0,0,0,0,0
AC,Week 2,7/2/14,2,1,0,1,3,0,0,0,1
FB,Week 2,7/2/14,0,0,0,0,0,0,0,0,0
TC,Week 3,7/10/14,0,0,0,0,0,0,1,0,0
TC,Week 3,7/10/14,0,0,0,0,0,0,2,0,0
AC,Week 3,7/11/14,4,0,0,0,0,0,4,0,0
FB,Week 3,7/11/14,0,0,0,0,0,0,0,0,0
AC,Week 3,7/11/14,3,0,0,0,0,0,1,0,0
FB,Week 3,7/11/14,0,0,0,0,0,0,0,0,0
AP,Week 3,7/13/14,0,0,0,0,0,0,0,0,0
AP,Week 3,7/13/14,0,0,0,0,0,0,0,0,0
TC,Week 4,7/23/14,0,0,0,0,0,0,1,0,0
TC,Week 4,7/23/14,0,0,0,0,0,0,0,0,0
AC,Week 4,7/26/14,0,3,0,0,0,1,0,0,0
FB,Week 4,7/26/14,1,2,1,0,0,0,0,0,0
AC,Week 4,7/26/14,0,1,0,0,0,1,0,0,0
FB,Week 4,7/26/14,0,0,0,0,0,0,0,0,0
AP,Week 4,7/28/14,0,0,0,0,0,0,0,0,0
AP,Week 4,7/28/14,0,0,0,0,0,0,0,0,0
AP,Week 5,8/12/14,0,0,0,0,0,0,0,0,0
AP,Week 5,8/12/14,0,0,0,0,0,0,0,0,0
FB,Week 5,8/13/14,0,0,0,0,0,0,0,0,0
FB,Week 5,8/13/14,0,0,0,0,0,0,0,0,0
AC,Week 5,8/14/14,0,0,0,0,0,0,0,3,0
TC,Week 5,8/14/14,0,1,0,0,0,0,0,0,0
AC,Week 5,8/14/14,0,2,0,0,0,0,0,4,0
TC,Week 5,8/14/14,0,2,0,0,0,0,0,0,0
