"","Var1","Var2","Freq"
"2","Males.All","Females.All",0.796938573164497
"4","Ovigerous","Females.All",0.669869085119878
"5","X1m2.50cm2","Females.All",-0.869118478731969
"8","cemented.rock.1m2.10cm2","Females.All",-0.77987893195496
"9","bare.cobble...2cm.","Females.All",0.660466388338496
"12","recruits3mm","Females.All",0.496397604823575
"15","s810mm","Females.All",0.943504427142679
"16","s1113mm","Females.All",0.707874670477318
"17","s1416mm","Females.All",0.640581600103631
"18","s1720mm","Females.All",0.622779619733673
"19","ALL","Females.All",0.690161328861083
"21","s2mm","Females.All",0.516308361804735
"23","MaleFemales","Females.All",0.956746089154003
"24","FemaleProp","Females.All",0.724432800883355
"25","MaleProp","Females.All",-0.724432800883355
"26","Propss1to3mmcombined","Females.All",0.457641808505827
"27","Proprecruits3mm","Females.All",0.509315410349186
"30","Props810mm","Females.All",-0.476301749657272
"33","Props1720mm","Females.All",0.540960589339087
"37","CobbleCourseSand","Females.All",0.656542507533635
"38","OvigFemale","Females.All",0.501784400269469
"44","Heading.N","Females.All",-0.817840765072609
"45","Heading.S","Females.All",-0.761448511133171
"46","Heading.minus.coast","Females.All",0.977169726879286
"48","m.to.land.in.300dir","Females.All",-0.495608059394093
"49","percentage.of.MWD.within.range.2014","Females.All",-0.545438131654842
"50","percent.in.range.2013","Females.All",-0.545438131233866
"52","Total.degrees.opening","Females.All",0.468857649065488
"53","Slope.average","Females.All",-0.666498056029932
"54","Slope.min","Females.All",-0.705861297998849
"55","Slope.Max","Females.All",-0.586484338423354
"56","Coastline.hab.angle","Females.All",0.612831449609238
"57","Females.All","Males.All",0.796938573164497
"59","No.Sex.All","Males.All",0.687839090099174
"61","X1m2.50cm2","Males.All",-0.769354004481384
"64","cemented.rock.1m2.10cm2","Males.All",-0.643623380778142
"67","rocky.bench","Males.All",0.517946107924418
"68","recruits3mm","Males.All",0.650163235265529
"69","s35mm","Males.All",0.578614278529793
"70","s57mm","Males.All",0.653256201669637
"71","s810mm","Males.All",0.950668451664221
"75","ALL","Males.All",0.912818298350513
"76","s1mm","Males.All",0.595247753109804
"77","s2mm","Males.All",0.63267984674201
"78","s3mm","Males.All",0.738689219887311
"79","MaleFemales","Males.All",0.938203670164912
"82","Propss1to3mmcombined","Males.All",0.652696907603495
"83","Proprecruits3mm","Males.All",0.658773185377768
"84","Props35mm","Males.All",0.582961628264523
"86","Props810mm","Males.All",-0.825710206305632
"87","Props1113mm","Males.All",-0.533718487342932
"91","IdealLiveableRocks","Males.All",-0.567310831264441
"93","CobbleCourseSand","Males.All",0.486512006779621
"96","Size.2","Males.All",-0.520774555036738
"97","Surfzone.size..m.","Males.All",0.401737916717044
"99","Heading","Males.All",-0.47163290245689
"100","Heading.N","Males.All",-0.670942617523776
"101","Heading.S","Males.All",-0.791596621906476
"102","Heading.minus.coast","Males.All",0.762423916869884
"104","m.to.land.in.300dir","Males.All",-0.78670897623093
"105","percentage.of.MWD.within.range.2014","Males.All",-0.400569220566245
"106","percent.in.range.2013","Males.All",-0.40056921763887
"108","Total.degrees.opening","Males.All",0.604721658002744
"109","Slope.average","Males.All",-0.865443372535996
"110","Slope.min","Males.All",-0.949842559802437
"111","Slope.Max","Males.All",-0.676137478757421
"112","Coastline.hab.angle","Males.All",0.820493369998733
"114","Males.All","No.Sex.All",0.687839090099174
"116","Ovigerous","No.Sex.All",-0.423329282826927
"117","X1m2.50cm2","No.Sex.All",-0.571052825331835
"118","X50cm2.10cm2","No.Sex.All",-0.797919737671497
"122","bare.sand..fine.very.course.sand.","No.Sex.All",0.827800825636639
"123","rocky.bench","No.Sex.All",0.915628785074046
"124","recruits3mm","No.Sex.All",0.800563775396364
"125","s35mm","No.Sex.All",0.890790097376633
"126","s57mm","No.Sex.All",0.958811450048041
"127","s810mm","No.Sex.All",0.544578631915462
"128","s1113mm","No.Sex.All",-0.430539574282801
"129","s1416mm","No.Sex.All",-0.492192675554216
"130","s1720mm","No.Sex.All",-0.507845339734444
"131","ALL","No.Sex.All",0.903577863230526
"132","s1mm","No.Sex.All",0.990885498079045
"133","s2mm","No.Sex.All",0.745798131807993
"134","s3mm","No.Sex.All",0.936449131737397
"135","MaleFemales","No.Sex.All",0.518809641242893
"138","Propss1to3mmcombined","No.Sex.All",0.768517427223345
"139","Proprecruits3mm","No.Sex.All",0.77989554487533
"140","Props35mm","No.Sex.All",0.920978638012775
"141","Props57mm","No.Sex.All",0.77630450309115
"142","Props810mm","No.Sex.All",-0.977123664921196
"143","Props1113mm","No.Sex.All",-0.961792945314925
"144","Props1416mm","No.Sex.All",-0.853198951296206
"145","Props1720mm","No.Sex.All",-0.582693803679342
"146","LiveableRocks","No.Sex.All",-0.851549888856983
"147","IdealLiveableRocks","No.Sex.All",-0.89487068486502
"148","NonliveableRocks","No.Sex.All",0.840074488567459
"150","OvigFemale","No.Sex.All",-0.488090965240173
"151","Size.1","No.Sex.All",-0.874434355875538
"152","Size.2","No.Sex.All",-0.968727703307234
"153","Surfzone.size..m.","No.Sex.All",0.744827621052597
"157","Heading.S","No.Sex.All",-0.802802874593494
"159","m.to.nearest.pt","No.Sex.All",0.67398139652429
"163","Difference.from.300.Northery.heading","No.Sex.All",-0.555016966892505
"164","Total.degrees.opening","No.Sex.All",0.918027542052476
"166","Slope.min","No.Sex.All",-0.496522828586745
"168","Coastline.hab.angle","No.Sex.All",0.827614686441646
"169","Females.All","Ovigerous",0.669869085119878
"171","No.Sex.All","Ovigerous",-0.423329282826927
"173","X1m2.50cm2","Ovigerous",-0.407322058554236
"174","X50cm2.10cm2","Ovigerous",0.645418696566392
"175","X.10cm2..course.sand","Ovigerous",0.6728989567314
"176","cemented.rock.1m2.10cm2","Ovigerous",-0.430446193175333
"177","bare.cobble...2cm.","Ovigerous",0.469272729466273
"178","bare.sand..fine.very.course.sand.","Ovigerous",-0.600364822110624
"179","rocky.bench","Ovigerous",-0.571390774419256
"182","s57mm","Ovigerous",-0.407728432417145
"183","s810mm","Ovigerous",0.5053661267206
"184","s1113mm","Ovigerous",0.94185923980594
"185","s1416mm","Ovigerous",0.915884526439925
"186","s1720mm","Ovigerous",0.990411244017111
"188","s1mm","Ovigerous",-0.515548418058865
"191","MaleFemales","Ovigerous",0.538053962442108
"192","FemaleProp","Ovigerous",0.520950060964171
"193","MaleProp","Ovigerous",-0.520950060964171
"196","Props35mm","Ovigerous",-0.504205644362125
"197","Props57mm","Ovigerous",-0.679497584801879
"199","Props1113mm","Ovigerous",0.606061289541402
"200","Props1416mm","Ovigerous",0.788418424126779
"201","Props1720mm","Ovigerous",0.963781320675243
"202","LiveableRocks","Ovigerous",0.789960382674582
"203","IdealLiveableRocks","Ovigerous",0.409232310783425
"204","NonliveableRocks","Ovigerous",-0.843306515627039
"205","CobbleCourseSand","Ovigerous",0.920554697870825
"206","OvigFemale","Ovigerous",0.933697194569889
"207","Size.1","Ovigerous",0.632153964575827
"208","Size.2","Ovigerous",0.604176024207628
"209","Surfzone.size..m.","Ovigerous",-0.566081584796341
"211","Heading","Ovigerous",-0.563551794973312
"212","Heading.N","Ovigerous",-0.715711568085658
"214","Heading.minus.coast","Ovigerous",0.730243404322366
"215","m.to.nearest.pt","Ovigerous",-0.889511494364909
"216","m.to.land.in.300dir","Ovigerous",-0.467518707877477
"217","percentage.of.MWD.within.range.2014","Ovigerous",-0.883040215862249
"218","percent.in.range.2013","Ovigerous",-0.883040217073804
"219","Difference.from.300.Northery.heading","Ovigerous",0.789670363457441
"221","Slope.average","Ovigerous",-0.528419492114176
"222","Slope.min","Ovigerous",-0.439531533652955
"223","Slope.Max","Ovigerous",-0.583683371316512
"225","Females.All","X1m2.50cm2",-0.869118478731969
"226","Males.All","X1m2.50cm2",-0.769354004481384
"227","No.Sex.All","X1m2.50cm2",-0.571052825331835
"228","Ovigerous","X1m2.50cm2",-0.407322058554236
"232","cemented.rock.1m2.10cm2","X1m2.50cm2",0.440133456290885
"236","recruits3mm","X1m2.50cm2",-0.463835792213614
"237","s35mm","X1m2.50cm2",-0.534226083175131
"238","s57mm","X1m2.50cm2",-0.556214690149184
