"","Var1","Var2","Freq"
"2","Males.All","Females.All",0.992220794457943
"3","No.Sex.All","Females.All",0.806212499152933
"6","X.10cm2..course.sand","Females.All",-0.453663433695197
"7","cemented.rock.1m2.10cm2","Females.All",-0.955107940569843
"10","rocky.bench","Females.All",0.88590518879427
"11","recruits3mm","Females.All",0.895942761569782
"12","s35mm","Females.All",0.578668401034532
"13","s57mm","Females.All",0.739567912573359
"14","s810mm","Females.All",0.916923390885631
"16","s1416mm","Females.All",-0.428326136443338
"17","s1720mm","Females.All",-0.55927455825414
"18","ALL","Females.All",0.879516673105845
"20","Proprecruits3mm","Females.All",0.576110710621602
"22","Props57mm","Females.All",0.41188194050166
"23","Props810mm","Females.All",-0.629146180254705
"24","Props1113mm","Females.All",-0.596034523098822
"25","Props1416mm","Females.All",-0.519098978191886
"26","Props1720mm","Females.All",-0.530015751464552
"29","NonliveableRocks","Females.All",0.40826483739907
"31","CobbleCourseSand","Females.All",-0.420760209112416
"34","Size.2","Females.All",-0.464167557819328
"36","Size.of.opening","Females.All",0.888871463984649
"37","Heading","Females.All",-0.531989222711782
"39","Heading.S","Females.All",-0.779065296827646
"40","Heading.minus.coast","Females.All",0.50350985011989
"45","Difference.from.300.Northery.heading","Females.All",-0.425430199207628
"46","Total.degrees.opening","Females.All",0.865869768920714
"47","Slope.average","Females.All",-0.691552478878088
"48","Slope.min","Females.All",-0.637742449717831
"49","Slope.Max","Females.All",-0.784667291673611
"50","Coastline.hab.angle","Females.All",0.46963806045926
"51","Females.All","Males.All",0.992220794457943
"53","No.Sex.All","Males.All",0.768381135315128
"56","X.10cm2..course.sand","Males.All",-0.492685751482195
"57","cemented.rock.1m2.10cm2","Males.All",-0.965230539244911
"58","bare.cobble...2cm.","Males.All",-0.453818167678984
"60","rocky.bench","Males.All",0.936118528582616
"61","recruits3mm","Males.All",0.838266106083892
"62","s35mm","Males.All",0.518613209653014
"63","s57mm","Males.All",0.795621185055595
"64","s810mm","Males.All",0.952557583829009
"66","s1416mm","Males.All",-0.462238951123055
"67","s1720mm","Males.All",-0.571945174151033
"68","ALL","Males.All",0.848882506471406
"70","Proprecruits3mm","Males.All",0.476133165809371
"72","Props57mm","Males.All",0.51291131131745
"73","Props810mm","Males.All",-0.594511034164748
"74","Props1113mm","Males.All",-0.643040701832227
"75","Props1416mm","Males.All",-0.515201910718555
"76","Props1720mm","Males.All",-0.507811990763531
"77","LiveableRocks","Males.All",-0.427520941546591
"79","NonliveableRocks","Males.All",0.512013601190417
"81","CobbleCourseSand","Males.All",-0.473820034748323
"82","OvigFemale","Males.All",-0.446603871214783
"83","Size.1","Males.All",-0.482081770792442
"84","Size.2","Males.All",-0.551737944273536
"86","Size.of.opening","Males.All",0.938991560331409
"87","Heading","Males.All",-0.447367095251748
"89","Heading.S","Males.All",-0.760899650737089
"90","Heading.minus.coast","Males.All",0.406250146766784
"91","m.to.nearest.pt","Males.All",0.420873522009359
"95","Difference.from.300.Northery.heading","Males.All",-0.53478291031746
"96","Total.degrees.opening","Males.All",0.913575357706117
"97","Slope.average","Males.All",-0.637619990981308
"98","Slope.min","Males.All",-0.59888502805059
"99","Slope.Max","Males.All",-0.710881808977978
"100","Coastline.hab.angle","Males.All",0.471473176568944
"101","Females.All","No.Sex.All",0.806212499152933
"102","Males.All","No.Sex.All",0.768381135315128
"107","cemented.rock.1m2.10cm2","No.Sex.All",-0.873558542863602
"110","rocky.bench","No.Sex.All",0.634811999835288
"111","recruits3mm","No.Sex.All",0.92027398948402
"112","s35mm","No.Sex.All",0.944573201311464
"113","s57mm","No.Sex.All",0.713333132223354
"114","s810mm","No.Sex.All",0.760692878604086
"116","s1416mm","No.Sex.All",-0.725274518454783
"117","s1720mm","No.Sex.All",-0.853303556783845
"118","ALL","No.Sex.All",0.990490399405965
"119","s1to3mmcombined","No.Sex.All",0.785482952833146
"120","Proprecruits3mm","No.Sex.All",0.809812622795043
"121","Props35mm","No.Sex.All",0.723335024639702
"123","Props810mm","No.Sex.All",-0.963183279304932
"124","Props1113mm","No.Sex.All",-0.742875283118562
"125","Props1416mm","No.Sex.All",-0.875111829541985
"126","Props1720mm","No.Sex.All",-0.910726252070368
"134","Size.2","No.Sex.All",-0.45479294314534
"136","Size.of.opening","No.Sex.All",0.59878312278667
"137","Heading","No.Sex.All",-0.88510351513452
"138","Heading.N","No.Sex.All",-0.676516737333076
"139","Heading.S","No.Sex.All",-0.983825610502573
"140","Heading.minus.coast","No.Sex.All",0.825492809766006
"142","m.to.land.in.300dir","No.Sex.All",-0.80440173757485
"143","percentage.of.MWD.within.range.2014","No.Sex.All",-0.400107039950334
"144","percent.in.range.2013","No.Sex.All",-0.40010703717474
"146","Total.degrees.opening","No.Sex.All",0.717084820747785
"147","Slope.average","No.Sex.All",-0.981414595991517
"148","Slope.min","No.Sex.All",-0.968342228620799
"149","Slope.Max","No.Sex.All",-0.929660384298169
"150","Coastline.hab.angle","No.Sex.All",0.838803129560895
"155","X50cm2.10cm2","Ovigerous",0.639523802343748
"156","X.10cm2..course.sand","Ovigerous",0.652546151290622
"158","bare.cobble...2cm.","Ovigerous",0.797310363858165
