Buoy,#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
46014,2013,12,31,23,50,335,2.3,3.2,1.93,13.79,11.54,NA,1022.8,10.4,11.8,NA,NA,NA
46014,2014,1,1,0,50,2,5.4,6.5,1.68,14.81,10.97,NA,1023,10.2,11.7,NA,NA,NA
46014,2014,1,1,1,50,3,5.3,6.1,1.9,14.81,11.02,NA,1022.9,10.2,11.6,NA,NA,NA
46014,2014,1,1,2,50,1,5.6,6.7,1.89,14.81,11.06,NA,1022.9,10.2,11.6,NA,NA,NA
46014,2014,1,1,3,50,8,5.1,6.4,2,14.81,10.63,NA,1022.9,9.9,11.6,NA,NA,NA
46014,2014,1,1,4,50,359,4.4,5.6,2.04,13.79,10.74,NA,1022.9,9.5,11.5,NA,NA,NA
46014,2014,1,1,5,50,342,3.4,5.3,1.83,13.79,10.33,NA,1023,9.7,11.5,NA,NA,NA
46014,2014,1,1,6,50,358,3.7,5.2,2.03,14.81,11.03,NA,1023.1,9.5,11.5,NA,NA,NA
46014,2014,1,1,7,50,17,2.9,4.6,1.73,14.81,10.39,NA,1022.8,9.1,11.6,NA,NA,NA
46014,2014,1,1,8,50,355,2.7,3.8,1.83,13.79,10.25,NA,1022.8,8.3,11.6,NA,NA,NA
46014,2014,1,1,9,50,346,2.7,3.7,1.81,13.79,9.96,NA,1022.6,8.6,11.6,NA,NA,NA
46014,2014,1,1,10,50,6,2.5,3.7,1.8,13.79,9.17,NA,1022.7,9.1,11.7,NA,NA,NA
46014,2014,1,1,11,50,327,2.2,3.3,1.9,13.79,9.06,NA,1022.2,8.8,11.7,NA,NA,NA
46014,2014,1,1,12,50,354,2.7,4,1.62,13.79,8.38,NA,1021.7,8.6,11.6,NA,NA,NA
46014,2014,1,1,13,50,329,1.4,3.2,1.61,13.79,8.28,NA,1022.3,8.7,11.6,NA,NA,NA
46014,2014,1,1,14,50,357,2.5,3.8,1.8,13.79,8.86,NA,1022.2,8.5,11.4,NA,NA,NA
46014,2014,1,1,15,50,46,3.5,4.9,1.75,14.81,8.71,NA,1022.5,7.6,11.4,NA,NA,NA
46014,2014,1,1,16,50,5,2.8,3.8,1.5,14.81,8.13,NA,1022.6,6.9,11.3,NA,NA,NA
46014,2014,1,1,17,50,343,3.5,4.4,1.87,13.79,9.43,NA,1022.9,8.1,11.3,NA,NA,NA
46014,2014,1,1,18,50,347,4.9,6.2,1.66,13.79,8.89,NA,1023,8.4,11.3,NA,NA,NA
46014,2014,1,1,19,50,18,4.1,5.3,1.9,12.9,9.46,NA,1022.2,8.6,11.3,NA,NA,NA
46014,2014,1,1,20,50,329,3.7,4.7,1.75,13.79,9.05,NA,1021.7,8.9,11.4,NA,NA,NA
46014,2014,1,1,21,50,353,3,3.8,1.77,13.79,9.26,NA,1021.1,9.1,11.4,NA,NA,NA
46014,2014,1,1,22,50,315,4.1,4.9,1.58,13.79,8.54,NA,1021.3,9.4,11.4,NA,NA,NA
46014,2014,1,1,23,50,320,2.6,3.4,1.78,13.79,8.86,NA,1021.5,9.1,11.3,NA,NA,NA
46014,2014,1,2,0,50,314,2.8,3.8,1.75,13.79,9.04,NA,1021.2,9.6,11.3,NA,NA,NA
46014,2014,1,2,1,50,338,2.6,3.4,1.68,12.9,9.26,NA,1021.1,9.9,11.2,NA,NA,NA
46014,2014,1,2,2,50,324,4.3,5.6,1.45,13.79,8.51,NA,1021.4,9.7,11.1,NA,NA,NA
46014,2014,1,2,3,50,355,4.2,5,1.5,13.79,8.7,NA,1021.5,10.2,11,NA,NA,NA
46014,2014,1,2,4,50,336,2.5,3.3,1.4,12.9,9.1,NA,1021.5,10.1,10.8,NA,NA,NA
46014,2014,1,2,5,50,317,3.4,4.5,1.54,12.9,9.19,NA,1021.7,9.5,10.7,NA,NA,NA
46014,2014,1,2,6,50,339,1.9,2.9,1.33,12.9,8.85,NA,1021.9,9.1,10.6,NA,NA,NA
46014,2014,1,2,7,50,356,2.2,3,1.51,12.12,9.36,NA,1021.6,8.7,10.4,NA,NA,NA
46014,2014,1,2,8,50,358,2.5,3.5,1.62,12.9,9.62,NA,1021.3,8.8,10.3,NA,NA,NA
46014,2014,1,2,9,50,35,1.9,2.4,1.48,12.9,9.33,NA,1021.2,9.2,10.3,NA,NA,NA
46014,2014,1,2,10,50,48,2.5,3.3,1.42,12.9,8.95,NA,1021.1,9,10.3,NA,NA,NA
46014,2014,1,2,11,50,352,1.9,2.7,1.46,12.12,9.06,NA,1021,8.6,10.3,NA,NA,NA
46014,2014,1,2,12,50,57,2,2.7,1.32,11.43,8.91,NA,1020.6,8,10.3,NA,NA,NA
46014,2014,1,2,13,50,43,0.3,1.2,1.25,12.12,8.76,NA,1020.5,7.5,10.3,NA,NA,NA
46014,2014,1,2,14,50,287,2.5,3.5,1.23,12.12,8.78,NA,1020.7,7.5,10.3,NA,NA,NA
46014,2014,1,2,15,50,45,1.3,1.9,1.3,12.12,8.89,NA,1020.7,7.5,10.4,NA,NA,NA
46014,2014,1,2,16,50,105,2,3.1,1.15,12.12,8.61,NA,1021.3,7.8,10.4,NA,NA,NA
46014,2014,1,2,17,50,103,1.6,2.4,1.32,12.9,9.21,NA,1021.7,8,10.4,NA,NA,NA
46014,2014,1,2,18,50,122,1.6,2.2,1.05,12.12,8.41,NA,1021.4,8.6,10.5,NA,NA,NA
46014,2014,1,2,19,50,180,0,0.3,1.02,11.43,8.52,NA,1020.8,9.4,10.6,NA,NA,NA
46014,2014,1,2,20,50,242,2.2,3,1.17,12.12,9.18,NA,1020.2,9.3,10.8,NA,NA,NA
46014,2014,1,2,21,50,288,2.2,2.7,1.12,12.12,8.88,NA,1019.8,10.3,10.9,NA,NA,NA
46014,2014,1,2,22,50,327,2,2.6,1.11,10,8.5,NA,1019.5,9.3,11,NA,NA,NA
