Buoy,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
46237,2014,1,1,0,31,NA,NA,NA,1.64,14.29,9.98,271,NA,NA,10.7,NA,NA,NA
46237,2014,1,1,1,1,NA,NA,NA,1.52,14.29,9.58,269,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,1,31,NA,NA,NA,1.5,13.33,8.81,276,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,2,1,NA,NA,NA,1.58,13.33,8.78,273,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,2,31,NA,NA,NA,1.54,14.29,9.17,278,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,3,1,NA,NA,NA,1.61,14.29,9.2,274,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,3,31,NA,NA,NA,1.58,14.29,9.23,277,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,4,1,NA,NA,NA,1.66,14.29,9.4,277,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,4,31,NA,NA,NA,1.42,15.38,8.9,267,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,5,1,NA,NA,NA,1.44,15.38,9.11,270,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,5,31,NA,NA,NA,1.38,14.29,9.64,267,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,6,1,NA,NA,NA,1.34,15.38,9.82,266,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,6,31,NA,NA,NA,1.39,14.29,9.79,273,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,7,1,NA,NA,NA,1.36,12.5,9.89,274,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,7,31,NA,NA,NA,1.42,15.38,10.49,271,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,8,1,NA,NA,NA,1.37,15.38,10.23,276,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,8,31,NA,NA,NA,1.37,15.38,10.44,280,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,9,1,NA,NA,NA,1.62,14.29,11.28,277,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,9,31,NA,NA,NA,1.23,14.29,9.81,280,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,10,1,NA,NA,NA,1.48,14.29,11,271,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,10,31,NA,NA,NA,1.41,15.38,11.02,278,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,11,1,NA,NA,NA,1.31,14.29,10.61,276,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,11,31,NA,NA,NA,1.35,15.38,10.89,269,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,12,1,NA,NA,NA,1.44,15.38,11.32,264,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,12,31,NA,NA,NA,1.45,15.38,11,267,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,13,1,NA,NA,NA,1.42,14.29,10.36,273,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,13,31,NA,NA,NA,1.37,14.29,9.82,278,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,14,1,NA,NA,NA,1.33,13.33,9.66,271,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,14,31,NA,NA,NA,1.61,14.29,11.17,273,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,15,1,NA,NA,NA,1.4,14.29,10.55,264,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,15,31,NA,NA,NA,1.48,14.29,10.83,271,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,16,1,NA,NA,NA,1.56,15.38,10.94,266,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,16,31,NA,NA,NA,1.41,14.29,10.78,280,NA,NA,10.4,NA,NA,NA
46237,2014,1,1,17,1,NA,NA,NA,1.65,14.29,11.44,270,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,17,31,NA,NA,NA,1.29,14.29,9.91,273,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,18,1,NA,NA,NA,1.19,13.33,9.25,280,NA,NA,10.5,NA,NA,NA
46237,2014,1,1,18,31,NA,NA,NA,1.36,14.29,9.63,271,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,19,1,NA,NA,NA,1.32,14.29,9.98,270,NA,NA,10.6,NA,NA,NA
46237,2014,1,1,19,31,NA,NA,NA,1.31,13.33,9.83,270,NA,NA,10.7,NA,NA,NA
46237,2014,1,1,20,1,NA,NA,NA,1.24,13.33,9.65,269,NA,NA,10.8,NA,NA,NA
46237,2014,1,1,20,31,NA,NA,NA,1.38,13.33,10.62,273,NA,NA,10.9,NA,NA,NA
46237,2014,1,1,21,1,NA,NA,NA,1.47,14.29,10.99,271,NA,NA,10.9,NA,NA,NA
46237,2014,1,1,21,31,NA,NA,NA,1.36,14.29,10.62,271,NA,NA,10.9,NA,NA,NA
46237,2014,1,1,22,1,NA,NA,NA,1.26,14.29,10.64,263,NA,NA,11,NA,NA,NA
46237,2014,1,1,22,31,NA,NA,NA,1.32,14.29,10.93,264,NA,NA,10.9,NA,NA,NA
46237,2014,1,1,23,1,NA,NA,NA,1.3,14.29,10.72,267,NA,NA,10.9,NA,NA,NA
46237,2014,1,1,23,31,NA,NA,NA,1.23,13.33,9.77,273,NA,NA,10.8,NA,NA,NA
46237,2014,1,2,0,1,NA,NA,NA,1.25,14.29,9.67,270,NA,NA,10.8,NA,NA,NA
46237,2014,1,2,0,31,NA,NA,NA,1.33,14.29,9.45,274,NA,NA,10.7,NA,NA,NA
46237,2014,1,2,1,1,NA,NA,NA,1.38,14.29,8.77,270,NA,NA,10.6,NA,NA,NA
46237,2014,1,2,1,31,NA,NA,NA,1.26,12.5,8.3,271,NA,NA,10.6,NA,NA,NA
46237,2014,1,2,2,1,NA,NA,NA,1.27,13.33,7.89,278,NA,NA,10.6,NA,NA,NA
