Row Labels,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,1,,,,,
1,1,,,,,,2,,,,,
3,1,,,,,,,,,,,
141,,,,,1,,,,,,,
142,,1,,,,,,,,,,
143,,,,,,,1,,,,,
145,,1,,,,,,,,,,
148,,,1,,1,,,,,,,
152,,,,,2,,,,,,,2
153,,,,,,,,,,,,2
155,,,,,1,,,,,,,1
156,,,1,,1,,,,,,,2
157,,,2,,1,,1,2,1,1,,4
159,,,1,,,,,2,1,,,6
160,,,3,,,,1,2,,2,,3
162,,2,1,,1,,2,3,1,1,1,3
163,,,,,1,,1,2,1,3,,6
164,,,1,,,,4,4,2,1,1,5
166,,1,1,,,,3,7,1,1,1,5
167,,1,5,,2,,5,7,1,2,1,5
169,,1,2,,,,5,7,1,1,2,8
170,,1,2,,1,1,2,10,,3,,4
172,,1,10,1,1,,4,9,1,3,1,7
173,,2,,,,3,4,15,,,2,4
174,,2,3,,,,6,17,2,1,,3
176,,3,3,,2,1,8,16,5,1,,9
177,,2,1,1,,3,4,8,10,,1,6
179,,2,6,,2,1,9,14,7,1,2,5
180,,,8,,1,,7,10,10,,1,5
181,,4,4,,2,1,7,10,15,1,,7
183,,2,1,,,1,5,11,25,3,,7
184,,2,8,,,4,2,12,22,4,,2
186,,4,4,2,1,2,4,6,18,3,1,6
187,,1,4,,,2,5,5,13,4,,4
188,,2,6,,,1,2,5,18,7,1,5
190,,2,4,1,,1,1,6,14,6,,5
191,,2,3,,,4,1,11,15,6,,7
193,,,3,,,6,,9,21,10,,2
194,,1,1,1,,4,,4,12,8,,6
195,,2,1,,,2,,7,13,10,,6
197,,1,2,,,2,,4,12,9,,6
198,,1,1,,,3,1,9,14,2,,2
200,,1,4,,,1,,7,11,9,,4
201,,1,,,,3,1,9,10,8,,4
202,,1,,,,1,,5,12,8,,4
204,,1,1,,,,1,3,7,11,,5
205,,2,2,,,1,1,3,12,2,,4
207,,1,1,,,,1,4,7,7,,5
208,,1,,,,2,,6,10,7,,5
209,,1,,,,,1,3,7,7,,3
211,,1,1,,,,,3,8,3,,3
212,,1,2,,,1,,2,16,8,,7
214,,,,,,,1,3,13,8,,4
215,,,1,1,,,1,2,9,7,,3
217,,2,1,,,,2,5,5,8,,1
218,,1,1,,,1,1,3,6,6,2,1
219,,,,,,2,2,4,7,4,,2
221,,,1,,,,1,2,3,6,1,
222,,1,1,,,,,1,2,6,2,2
224,,4,,1,,,,4,3,4,,
225,,1,1,,,2,,4,,4,1,2
226,,2,1,,,,,,1,1,2,
228,,,,1,,,1,,1,2,3,3
229,,,2,,,,1,1,1,4,3,5
231,,2,1,,,,1,2,,2,1,2
232,,1,,,,,2,3,1,,2,1
233,,1,3,,,,3,1,2,2,4,5
235,,2,3,,,,1,1,,8,4,2
236,,1,2,,,,2,1,,1,2,2
238,,4,,,,,3,2,2,5,3,
239,1,3,,,,,1,1,,3,2,2
240,,3,1,,,,5,3,,6,2,2
242,,1,2,,,,2,2,1,4,1,3
243,,3,2,,,,2,3,1,4,,1
245,3,3,2,,,,6,2,,3,1,
246,2,5,,,1,1,2,1,,4,2,3
247,2,2,1,,,,4,5,,8,4,3
249,5,3,2,,1,1,1,2,1,4,2,3
250,3,6,4,,,,2,4,,3,,3
252,1,14,5,,,,2,2,1,5,3,3
253,8,12,4,,,1,2,,,10,7,5
254,13,9,8,,2,,,2,3,7,1,1
256,6,14,7,,1,2,2,1,1,2,5,9
257,7,15,8,,3,3,2,1,1,8,2,2
259,11,25,15,,2,1,1,5,1,11,1,8
260,15,19,16,1,6,2,1,4,2,8,8,8
262,13,18,14,,4,,5,4,4,10,9,2
263,9,20,11,,2,,,7,2,12,14,11
264,16,29,22,2,8,,4,5,2,11,16,5
266,20,24,24,,8,,4,5,2,13,6,11
267,30,23,25,1,17,1,2,8,2,11,16,8
269,29,39,17,1,13,3,5,3,2,12,18,7
270,42,32,30,1,24,1,2,6,2,14,23,23
271,31,30,25,3,17,,3,6,3,14,31,27
273,34,38,31,7,11,2,3,11,6,17,28,29
274,50,36,28,8,17,,3,5,3,16,33,33
276,41,29,43,14,20,,3,7,5,13,34,29
277,35,27,38,10,19,5,4,3,6,17,52,43
278,50,40,31,15,16,3,6,2,14,15,34,37
280,59,35,36,40,13,3,6,11,5,24,40,48
281,44,42,37,43,7,1,5,13,11,14,50,32
283,46,31,46,36,8,8,5,7,9,13,47,50
284,43,30,52,45,6,5,5,14,20,22,45,42
285,40,38,50,53,4,6,7,11,24,19,59,43
287,40,53,79,62,,6,2,12,12,23,64,45
288,35,30,52,66,6,6,5,9,19,31,57,52
290,48,43,46,88,10,6,2,10,16,26,59,53
291,42,36,47,87,7,7,4,7,28,46,50,49
292,44,39,42,78,6,6,,6,18,41,55,52
294,37,45,35,93,2,6,3,13,19,50,61,40
295,43,36,37,55,3,5,2,5,22,47,45,50
297,49,40,27,56,2,9,,6,19,43,55,34
