Row Labels,1,2,3,4,5,6,7,8,9,10,11,12
135,,,,,,,1,,,,,
145,,,,,1,,,,,,,
149,,,,,1,,,,,,,
151,,1,,,,,,2,,,,
152,,,,,1,,,1,,,,
153,,,,,2,,,,,,,
154,,,,,1,,1,2,,,,
155,,,,,,,1,,,,,
156,,,,,,,,1,,,,
157,,,,1,1,,,,,,,
158,,,,,3,,,2,,,,
159,,,,,1,,,,,,,
160,,2,,,7,,,1,,,,
161,,1,,,,,,,,1,,
162,,2,,,,,,,,,,
163,,,,,1,,,,,,,
164,,2,,,1,,3,,,,1,1
165,,1,,,,,1,2,,,,
166,,2,,,2,,,2,,,,
167,,1,,,3,,,,,,,
168,,,,1,1,,1,,,,,
169,,2,,,2,,1,,,,,
170,,5,,,1,,,1,,1,,2
171,,1,,,2,,1,1,,1,,1
172,,,,,3,,,3,,,,
173,,1,1,,2,,2,5,,,,2
174,,2,,,1,2,2,1,,,,2
175,,1,,,,,3,1,,2,,1
176,,1,1,,2,,,1,,,1,1
177,,2,1,,1,1,1,3,1,,,2
178,,,,,1,,,4,,,,
179,,3,,,3,1,1,4,,,,1
180,,1,,,2,,,4,2,,,
181,,1,,,,,,6,2,,,
182,,1,,1,1,1,,5,,,,
183,,1,,,1,,,4,,,1,1
184,,1,2,,2,,1,3,1,,,1
185,,,,,2,1,,2,1,,,1
186,,,,,1,1,1,6,4,1,,
187,,2,,,2,,,6,,,,1
188,,,1,2,2,,,8,,,,
189,,1,,,,,,2,2,,1,1
190,,1,,,,1,,6,2,2,,
191,,,,,,,1,3,3,,,1
192,,,,1,,,,2,5,1,,1
193,,2,,,,,,2,6,,,
194,,,,,2,,1,3,6,,,2
195,,,,,1,1,,1,6,1,,
196,,,,1,1,,1,3,4,2,,
197,,,,,2,1,,,5,2,,2
198,,,,,,1,,1,6,1,,
199,,,,,,1,1,2,5,2,,
200,,,,,,,1,,9,1,,2
201,,,,,,1,2,,,,,2
202,,,,,,,,2,5,1,,
203,,,,,,,1,4,8,2,,3
204,,,,,,,,2,4,2,,
205,,,,,2,,2,,3,3,,1
206,,,,,3,,2,1,9,1,,1
207,,,,,3,1,,,6,3,,
208,,,,,,,,,5,3,,1
209,,,,,2,,2,1,3,,,
210,,,,,1,,,,4,1,,
211,,,,,,1,3,1,3,3,,1
212,,,,,1,,1,,4,2,,1
213,,,,,1,,1,,4,,,1
214,,,,,,1,3,,,,,1
215,,,,,1,,1,3,5,3,,2
216,,,,,,,2,2,4,1,,3
217,,,,,,,1,2,3,1,,
218,,,1,,,,,1,2,,,1
219,,,,,,,1,3,,1,,
220,,,,,,,,,1,,,
221,,,1,,,,1,1,,2,,1
222,,,,,,,2,,,,,1
223,,,,,,,,1,,1,,1
224,,,,1,,,,,1,1,,
225,,,,,2,1,1,2,,,,
226,,,1,,,,4,1,1,,,1
227,,,,,,,1,,,,1,
228,,,,,1,,1,,,,,
229,,,,,,,,,1,2,,
230,,,,,,,1,,1,,1,
231,,,,,,,,,1,,,
232,,,,,,,,1,,,,1
233,,,,,1,,2,1,,,,
234,,,1,,,,1,1,1,,,
235,,,1,,,,2,1,1,,1,
236,,,1,,,,2,2,1,,,
237,,,1,,,,1,4,1,,,
238,,,1,,,,1,4,,,1,
239,,1,,,,,1,1,,,,1
240,,,1,,,,,1,2,,,
241,,,1,,,,,,,,,
242,,,,,,,1,1,2,1,,
243,,,1,,,,,1,,,,
244,,,,,,,,3,1,,,
245,,,,,,,,,1,,1,
246,,1,,,,,,1,,,2,
247,,1,,,,,,,1,2,,
248,1,,1,,,,1,,,1,1,
249,,,,,,,,,2,1,2,4
250,,,,,,,1,4,1,1,4,1
251,,2,,,,,2,,1,,1,
252,,,,,,,,,,4,,3
253,,1,,,,,,1,,1,2,1
254,,2,2,,,,,,,1,1,
255,,1,,1,,,1,,,1,1,
256,3,1,2,,,,,2,,,,2
257,2,,,,2,,,1,1,4,4,
258,1,3,,,1,,,,2,2,1,4
259,2,5,2,,1,,,1,,2,,3
260,2,3,1,,,,,1,2,,1,2
261,2,2,,,1,,,1,1,3,,4
262,3,5,2,,,,,2,,5,2,1
263,4,3,1,,,,,1,,5,1,5
264,4,1,1,,,,,,1,4,2,7
265,7,3,2,,1,,,2,,2,1,1
266,1,,,1,,,,1,1,6,1,4
267,7,2,2,,,,,1,,5,1,5
268,6,3,1,1,1,,,2,1,3,1,8
269,12,6,5,,,,,2,1,3,1,6
270,7,5,4,1,,,,1,,6,4,7
271,7,6,4,1,,,3,,3,3,5,3
272,6,4,5,,,,,,,5,6,8
273,11,10,2,2,1,,1,1,3,3,5,18
274,8,10,8,1,1,,2,1,2,2,3,10
275,10,12,3,1,,,,1,3,5,5,9
276,7,9,6,2,,,2,2,2,5,5,8
277,7,5,10,5,1,,2,3,1,8,9,10
278,3,10,17,6,,,,1,5,9,7,16
279,10,10,10,3,2,2,,,,3,5,15
280,9,14,12,8,1,,,2,7,7,2,7
281,7,9,18,5,1,1,1,1,2,4,7,12
282,8,9,15,5,,1,1,1,2,4,2,15
283,9,7,11,7,2,,,3,6,5,3,13
284,13,9,20,5,,,,1,7,14,6,3
285,11,8,14,7,4,,2,1,6,7,7,6
286,10,13,15,6,3,1,,1,3,4,12,5
287,12,12,15,8,3,1,2,4,4,9,1,14
288,12,9,17,14,3,2,2,1,8,10,13,8
289,7,13,17,8,,2,,2,1,7,11,13
290,8,11,23,12,5,2,1,1,6,7,3,8
291,8,16,17,17,5,4,1,3,5,8,17,5
292,20,16,25,17,9,3,3,2,4,13,7,3
293,17,13,24,22,8,2,1,3,2,7,10,5
294,24,19,17,21,7,1,3,1,3,7,12,6
295,17,10,18,18,4,4,2,3,3,5,10,5
296,13,14,20,18,11,2,2,2,2,3,8,4
297,11,12,12,21,10,1,2,2,4,8,6,2
298,17,8,14,12,7,2,3,4,7,9,10,2
299,14,15,16,16,6,5,3,4,4,10,6,7
300,15,10,17,21,6,1,5,4,5,10,13,2
301,9,10,9,20,12,6,7,1,4,10,4,8
302,12,6,16,22,11,6,9,1,2,6,14,10
303,13,16,11,18,8,7,6,4,5,5,14,4
304,15,13,7,17,11,5,7,3,4,13,15,6
305,14,11,6,19,11,6,12,1,1,6,10,8
306,19,12,4,15,11,16,10,3,3,10,13,3
307,17,12,12,23,20,7,12,6,4,7,15,6
308,22,17,5,12,15,5,10,3,9,11,14,3
309,8,11,3,20,10,7,13,5,10,7,18,10
310,16,9,2,12,14,14,10,11,11,5,8,5
311,15,10,8,11,11,10,24,8,8,9,16,3
