Date start,Date end,Site,Quadrat,Difference,After (grams),Before (grams),Days out
6/16/15,6/19/15,BML,1,11.25,77.78,89.03,3
6/16/15,6/19/15,BML,2,10.65,77.34,87.99,3
6/16/15,6/19/15,BML,3,34.5,41.74,76.24,3
6/16/15,6/19/15,BML,5,40.6,29.64,70.24,3
6/16/15,6/19/15,BML,6,22.92,65.98,88.9,3
6/16/15,6/19/15,BML,7,23.26,75.63,98.89,3
6/16/15,6/19/15,BML,8,26.44,58.7,85.14,3
6/16/15,6/19/15,BML,9,14.86,74.56,89.42,3
6/16/15,6/19/15,BML,10,23.41,62.1,85.51,3
6/16/15,6/19/15,TC,1,22.24,66.47,88.71,3
6/16/15,6/19/15,TC,2,20.11,74.29,94.4,3
6/16/15,6/19/15,TC,3,25.46,64.54,90,3
6/16/15,6/19/15,TC,4,15.79,70.86,86.65,3
6/16/15,6/19/15,TC,5,25.96,58.8,84.76,3
6/16/15,6/19/15,TC,6,18.88,70.16,89.04,3
6/16/15,6/19/15,TC,7,19.23,73.94,93.17,3
6/16/15,6/19/15,TC,8,22.29,69.14,91.43,3
6/16/15,6/19/15,TC,9,16.96,66.71,83.67,3
6/16/15,6/19/15,TC,10,17.51,70.66,88.17,3
7/2/15,7/5/15,BML,1,7.85,76.34,84.19,3
7/2/15,7/5/15,BML,2,12.98,70.9,83.88,3
7/2/15,7/5/15,BML,3,8.36,69.49,77.85,3
7/2/15,7/5/15,BML,4,23.7,63.43,87.13,3
7/2/15,7/5/15,BML,5,25.58,55.71,81.29,3
7/2/15,7/5/15,BML,6,21.62,64,85.62,3
7/2/15,7/5/15,BML,7,25.96,46.07,72.03,3
7/2/15,7/5/15,BML,8,24.93,63.5,88.43,3
7/2/15,7/5/15,BML,9,11.07,82.42,93.49,3
7/2/15,7/5/15,BML,10,15.01,73.55,88.56,3
7/2/15,7/5/15,TC,1,22.72,69.63,92.35,3
7/2/15,7/5/15,TC,2,23.55,64.67,88.22,3
7/2/15,7/5/15,TC,3,29.6,37.83,67.43,3
7/2/15,7/5/15,TC,4,24.23,62.07,86.3,3
7/2/15,7/5/15,TC,5,31.35,52.29,83.64,3
7/2/15,7/5/15,TC,6,25.59,63.4,88.99,3
7/2/15,7/5/15,TC,7,26.73,52.32,79.05,3
7/2/15,7/5/15,TC,8,26.33,51.71,78.04,3
7/2/15,7/5/15,TC,9,23.38,61.96,85.34,3
7/2/15,7/5/15,TC,10,24.13,46.24,70.37,3
7/3/15,7/6/15,SR,1,14.48,66.16,80.64,3
7/3/15,7/6/15,SR,2,11.63,66.95,78.58,3
7/3/15,7/6/15,SR,3,45.89,38.15,84.04,3
7/3/15,7/6/15,SR,4,40.34,42.54,82.88,3
7/3/15,7/6/15,SR,5,23.32,63.68,87,3
7/3/15,7/6/15,SR,6,31.43,45.36,76.79,3
7/3/15,7/6/15,SR,7,37.52,32.56,70.08,3
7/3/15,7/6/15,SR,8,35.82,54.7,90.52,3
7/3/15,7/6/15,SR,9,33.84,47.96,81.8,3
7/3/15,7/6/15,SR,10,30.91,53.28,84.19,3
7/3/15,7/6/15,WP,1,52.43,36.68,89.11,3
7/3/15,7/6/15,WP,2,42.92,34.44,77.36,3
7/3/15,7/6/15,WP,3,35.47,52.86,88.33,3
7/3/15,7/6/15,WP,4,42.08,38.55,80.63,3
7/3/15,7/6/15,WP,5,52.96,34.08,87.04,3
7/3/15,7/6/15,WP,6,31.92,52.92,84.84,3
7/3/15,7/6/15,WP,7,37.75,54.6,92.35,3
7/3/15,7/6/15,WP,8,38.77,42.99,81.76,3
7/3/15,7/6/15,WP,9,56.45,24.55,81,3
7/3/15,7/6/15,WP,10,31.54,53.01,84.55,3
7/30/15,8/3/15,BML,1,24.52,60.08,84.6,4
7/30/15,8/3/15,BML,2,10.1,70.24,80.34,4
7/30/15,8/3/15,BML,3,68,25.67,93.67,4
7/30/15,8/3/15,BML,4,40.4,48.62,89.02,4
7/30/15,8/3/15,BML,5,21.52,60.84,82.36,4
7/30/15,8/3/15,BML,6,26.68,62.93,89.61,4
7/30/15,8/3/15,BML,7,30.65,53.77,84.42,4
7/30/15,8/3/15,BML,8,26.1,63.77,89.87,4
7/30/15,8/3/15,BML,9,22.42,70.17,92.59,4
7/30/15,8/3/15,BML,10,24.28,53.24,77.52,4
7/30/15,8/3/15,TC,1,18.57,70.06,88.63,4
7/30/15,8/3/15,TC,2,24.93,64.74,89.67,4
7/30/15,8/3/15,TC,3,19.8,74.35,94.15,4
7/30/15,8/3/15,TC,4,33.95,59.58,93.53,4
7/30/15,8/3/15,TC,5,31.94,64.55,96.49,4
7/30/15,8/3/15,TC,6,24.2,56.31,80.51,4
7/30/15,8/3/15,TC,7,28.44,58.01,86.45,4
7/30/15,8/3/15,TC,8,26.36,48.52,74.88,4
7/30/15,8/3/15,TC,9,18.78,69,87.78,4
7/30/15,8/3/15,TC,10,23.81,61.36,85.17,4
7/31/15,8/4/15,SR,1,39.33,34.4,73.73,4
7/31/15,8/4/15,SR,2,18.93,65.28,84.21,4
