Light trap,Date start,Date end,Number of nights,Pachycheles pubsecens postlarvae,Petrolisthes cinctipes (post larvae),Porcellanidae zoea 1 (no buds),Porcellanidae zoea 2 (buds),Cancer productus megalopae,C. productus juvie,Cancer antennarius Post larvae,Pea crab zoea 1-3,Pea crab zoea 4-5,P. polymerus cyprid,B. crenatus 1-3,B. crenatus 4-5,B. crenatus 6,B. crenatus cyprid,C. dalli 1-3,C.dalli 4-5,C.dalli 6,C. dalli cyprid,Copper rockfish,Herring like juvenile,Long white/clear fish- smelt?,Cabezon larvae,Lingcod  juvenile,Greenling like juvie or may be lingcod so could lump,Sculpin black and white,tiny tadpole looking fish with big silver eye (4mm),Cumaceans (dark brown/black smaller),Cumacean pink and white stripes (larger),Pipefish,Bay shrimp (Grangon),Euphasid,long harpacticoid kinda looks like isopod,Harpacticoid copepods,Cyclopoid copepods,Calanoid copepods,Pea crab postlarvae,hairy pugettia (gracilis?) postlarvae,Hermit crab PL,Grapsidae postlarvae,Grapsidae juvie,Sand crab postlarvae/juvie,Dungeness juvie,Big rounded Jellies (8mm-10mm),tiny 4 long tentacles jellies (2mm),chaetognath,largish neon orange polychate predatory worms,other worm (smaller and with tufts on legs),neon blue worm,trochophore,ostracod,gastropod (small clearish/brown snail),flatworm,predatory polychate orange eyes,shrimp pandalus sp,Helmet crab juvie (Telmessus chiragonis),Heptacarpus sp PL ??,amphipod (gammarid) ,small brown shrimp,isopod,sea hare juvie,shrimp with giant stocked eyes,Beatus harrimani shrimp things,Upogebia post larvae?,Caprellid amphipod,Evadne,Podon,small clam
New,4/30/15,5/1/15,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/1/15,5/4/15,3,0,0,0,0,1,3,0,8,5,2,0,0,0,0,0,0,0,0,143,1,2,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/4/15,5/5/15,1,2,0,0,0,0,0,0,512,224,0,0,0,0,32,0,0,0,32,4,0,9,0,0,0,0,0,1440,0,1,1,0,0,160,2016,192,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/5/15,5/6/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,560,0,0,0,0,0,0,0,0,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/6/15,5/7/15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,1,11,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/7/15,5/8/15,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/8/15,5/12/15,4,64,4,0,0,0,0,24,64,96,0,0,0,0,0,0,0,0,56,7,0,0,0,0,0,1,0,2560,0,1,1,0,0,0,0,0,16,80,16,48,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/12/15,5/13/15,1,8,16,72,144,0,0,1,3504,864,0,0,0,0,168,0,0,0,336,3,0,0,0,0,0,0,0,528,0,2,3,8,0,0,0,384,0,0,16,32,0,8,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/13/15,5/14/15,1,1,1,8,2,0,0,12,560,48,0,0,0,0,0,0,0,0,80,2,0,2,0,0,0,0,0,352,0,0,26,0,0,0,176,2016,2,18,1,3,1,0,0,0,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,5/14/15,5/18/15,4,6,0,0,0,0,0,3,12,8,0,0,0,0,0,0,0,0,36,16,0,0,0,0,0,0,0,22,0,0,36,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
