Site,Date,Habitat type,Month,Sampling period,Quadrat,Quadrat size,clear (1mm),pigmented (1-2mm),juveniles (2+mm),10 to 50cm,<10cm,cobble,cemented rock,gravel,sand
TC,6/9/15,Cobble field,June,Period 1,1,0.25,4,7,4,30,0,5,65,0,0
TC,6/9/15,Cobble field,June,Period 1,2,0.25,14,18,3,25,25,10,40,0,0
TC,6/9/15,Cobble field,June,Period 1,3,0.25,1,10,2,15,20,30,35,0,0
TC,6/9/15,Cobble field,June,Period 1,4,0.25,4,10,1,30,10,20,40,0,0
TC,6/9/15,Cobble field,June,Period 1,5,0.25,0,5,1,25,10,10,55,0,0
TC,6/9/15,Cobble field,June,Period 1,6,0.25,0,3,1,30,15,15,40,0,0
TC,6/9/15,Cobble field,June,Period 1,7,0.25,6,12,2,50,10,5,35,0,0
TC,6/9/15,Cobble field,June,Period 1,8,0.25,4,11,0,40,15,5,40,0,0
TC,6/9/15,Cobble field,June,Period 1,9,0.25,3,9,4,20,20,5,50,0,5
TC,6/9/15,Cobble field,June,Period 1,10,0.25,3,18,2,20,10,15,55,0,0
BML,6/10/15,Mussel bed,June,Period 1,1,0.005625,3,9,1,NA,NA,NA,NA,NA,NA
BML,6/10/15,Mussel bed,June,Period 1,3,0.005625,1,8,2,NA,NA,NA,NA,NA,NA
BML,6/10/15,Mussel bed,June,Period 1,4,0.005625,4,39,0,NA,NA,NA,NA,NA,NA
TC,6/16/15,Cobble field,June,Period 2,1,0.25,0,15,1,50,20,0,30,0,0
TC,6/16/15,Cobble field,June,Period 2,2,0.25,1,14,5,15,50,15,20,0,0
TC,6/16/15,Cobble field,June,Period 2,3,0.25,0,15,6,20,15,0,65,0,0
TC,6/16/15,Cobble field,June,Period 2,4,0.25,0,6,1,20,35,20,25,0,0
TC,6/16/15,Cobble field,June,Period 2,5,0.25,0,4,0,20,20,20,40,0,0
TC,6/16/15,Cobble field,June,Period 2,6,0.25,0,5,1,30,15,20,35,0,0
TC,6/16/15,Cobble field,June,Period 2,7,0.25,0,3,2,35,10,40,15,0,0
TC,6/16/15,Cobble field,June,Period 2,8,0.25,4,16,2,30,15,0,50,0,5
TC,6/16/15,Cobble field,June,Period 2,9,0.25,0,16,2,15,50,0,35,0,0
TC,6/16/15,Cobble field,June,Period 2,10,0.25,1,13,2,25,30,10,35,0,0
BML,6/18/15,Mussel bed,June,Period 2,5,0.005625,1,7,0,NA,NA,NA,NA,NA,NA
BML,6/18/15,Mussel bed,June,Period 2,6,0.005625,3,4,0,NA,NA,NA,NA,NA,NA
BML,6/18/15,Mussel bed,June,Period 2,9,0.005625,2,5,0,NA,NA,NA,NA,NA,NA
BML,7/2/15,Mussel bed,July,Period 3,2,0.005625,0,2,1,NA,NA,NA,NA,NA,NA
BML,7/2/15,Mussel bed,July,Period 3,3,0.005625,0,4,2,NA,NA,NA,NA,NA,NA
BML,7/2/15,Mussel bed,July,Period 3,7,0.005625,0,3,2,NA,NA,NA,NA,NA,NA
BML,7/2/15,Mussel bed,July,Period 3,8,0.005625,0,22,4,NA,NA,NA,NA,NA,NA
BML,7/2/15,Mussel bed,July,Period 3,10,0.005625,0,22,2,NA,NA,NA,NA,NA,NA
TC,7/2/15,Cobble field,July,Period 3,1,0.25,3,20,4,25,20,5,50,0,0
TC,7/2/15,Cobble field,July,Period 3,2,0.25,4,35,7,30,15,10,45,0,0
TC,7/2/15,Cobble field,July,Period 3,3,0.25,1,12,6,20,10,25,45,0,0
TC,7/2/15,Cobble field,July,Period 3,4,0.25,0,4,2,20,10,20,50,0,0
TC,7/2/15,Cobble field,July,Period 3,5,0.25,0,8,3,0,20,5,75,0,0
TC,7/2/15,Cobble field,July,Period 3,6,0.25,0,12,4,15,20,15,50,0,0
TC,7/2/15,Cobble field,July,Period 3,7,0.25,0,10,5,20,15,10,55,0,0
TC,7/2/15,Cobble field,July,Period 3,8,0.25,3,8,2,35,30,10,25,0,0
TC,7/2/15,Cobble field,July,Period 3,9,0.25,2,22,4,30,30,0,40,0,0
TC,7/2/15,Cobble field,July,Period 3,10,0.25,0,4,1,0,20,30,50,0,0
SR,7/3/15,Mussel bed,July,Period 3,1,0.005625,1,24,2,NA,NA,NA,NA,NA,NA
SR,7/3/15,Mussel bed,July,Period 3,3,0.005625,2,26,1,NA,NA,NA,NA,NA,NA
WP,7/3/15,Cobble field,July,Period 3,1,0.25,0,4,0,35,0,15,40,10,0
WP,7/3/15,Cobble field,July,Period 3,2,0.25,2,7,1,30,0,30,40,0,0
WP,7/3/15,Cobble field,July,Period 3,3,0.25,0,4,0,30,0,5,65,0,0
WP,7/3/15,Cobble field,July,Period 3,4,0.25,0,9,4,30,15,0,55,0,0
WP,7/3/15,Cobble field,July,Period 3,5,0.25,3,17,6,25,35,0,35,5,0
WP,7/3/15,Cobble field,July,Period 3,6,0.25,0,18,1,20,15,30,35,0,0
WP,7/3/15,Cobble field,July,Period 3,7,0.25,3,32,2,55,15,15,15,0,0
WP,7/3/15,Cobble field,July,Period 3,8,0.25,2,24,1,40,0,15,45,0,0
WP,7/3/15,Cobble field,July,Period 3,9,0.25,3,30,2,45,10,10,35,0,0
WP,7/3/15,Cobble field,July,Period 3,10,0.25,2,18,2,40,10,20,30,0,0
SR,7/6/15,Mussel bed,July,Period 3,5,0.005625,0,3,2,NA,NA,NA,NA,NA,NA
SR,7/6/15,Mussel bed,July,Period 3,7,0.005625,2,9,1,NA,NA,NA,NA,NA,NA
SR,7/6/15,Mussel bed,July,Period 3,9,0.005625,1,11,2,NA,NA,NA,NA,NA,NA
BML,8/14/15,Mussel bed,August,Period 4,1,0.005625,0,0,0,NA,NA,NA,NA,NA,NA
BML,8/14/15,Mussel bed,August,Period 4,3,0.005625,0,0,0,NA,NA,NA,NA,NA,NA
BML,8/14/15,Mussel bed,August,Period 4,5,0.005625,0,0,0,NA,NA,NA,NA,NA,NA
BML,8/14/15,Mussel bed,August,Period 4,7,0.005625,0,0,0,NA,NA,NA,NA,NA,NA
BML,8/14/15,Mussel bed,August,Period 4,9,0.005625,0,0,0,NA,NA,NA,NA,NA,NA
SR,8/15/15,Mussel bed,August,Period 4,1,0.005625,0,3,5,NA,NA,NA,NA,NA,NA
SR,8/15/15,Mussel bed,August,Period 4,3,0.005625,0,1,7,NA,NA,NA,NA,NA,NA
SR,8/15/15,Mussel bed,August,Period 4,5,0.005625,0,4,4,NA,NA,NA,NA,NA,NA
SR,8/15/15,Mussel bed,August,Period 4,7,0.005625,0,5,2,NA,NA,NA,NA,NA,NA
SR,8/15/15,Mussel bed,August,Period 4,9,0.005625,0,0,5,NA,NA,NA,NA,NA,NA
WP,8/15/15,Cobble field,August,Period 4,2,0.25,0,1,4,40,5,5,50,0,0
WP,8/15/15,Cobble field,August,Period 4,4,0.25,1,2,10,40,0,5,55,0,0
TC,8/17/15,Cobble field,August,Period 4,1,0.25,0,0,19,25,10,10,53,0,2
TC,8/17/15,Cobble field,August,Period 4,3,0.25,0,0,29,35,25,15,25,0,0
TC,8/17/15,Cobble field,August,Period 4,5,0.25,0,0,14,15,15,5,65,0,0
TC,8/17/15,Cobble field,August,Period 4,7,0.25,0,0,31,30,15,10,45,0,0
TC,8/17/15,Cobble field,August,Period 4,9,0.25,0,0,13,20,20,0,55,0,5
WP,8/18/15,Cobble field,August,Period 4,6,0.25,0,1,4,20,0,0,80,0,0
WP,8/18/15,Cobble field,August,Period 4,8,0.25,1,3,18,55,0,5,40,0,0
WP,8/18/15,Cobble field,August,Period 4,10,0.25,0,1,8,20,20,0,60,0,0
