Site_Name,Site,Year,Lat,Lon,Size 1,Size 2,Heading,Surfzone size (m) ,Size of opening,Heading N,Heading S,Headingmean,Total degrees opening,Heading minus coast,m to nearest pt,Point N S,m to land in 300dir,percentage of MWD within range 2014,percent in range 2013,Difference from 300 Northery heading,Slope average,Slope min,Slope Max,Coastline hab angle,Coastline reg 0.5 km,Coastline regional 50km,Coastline reg 10 km,Difference between Heading N and reg coast,Diff hab angle and coastline reg,Ovigerous size,Protection,Geologic Age,Lithology,GeoType,Same geo,SameGeoNum,Description,Citation,Rocky bench v. cemented,Regional grouping,Pairs,Embryos per m2,Wavetime,Width average,Average surfzone,PL crabs,Chl-a,BotTemp,Slope/angle ,openness,OvigSlope,OvigIntercept,Embryos per ovig,OvigSiteSim,Protected294winNS,Diff300Protneg,1kmcoastlineangle,Protectionmyclass,DynoAvg,DynoMax,DynoMin,WavehtAvg,WavehtMax,WavehtMin,wavetime average,Wave time Max,Wave time Min
Arena Cove,AC,2013,38.914984,-123.710769,46.9341667,85,257,120,1289,282,195,238.5,87,61,1549,N,265,0.42721519,0.055681584,18,4,1.4,7.9,322,332,317,316,50,10,10.04545455,"In ""retention"" area on South side of point",Miocene,marine sedimentary rocks,Siltstone,MioSiltstone,1,"Sandstone, shale, siltstone, conglomerate, and breccia; moderately to well consolidated.",http://maps.conservation.ca.gov/cgs/gmc/,rocky bench,300-325,Pair 1,835,26.07,3.67,4.4,10,113,12.86,1,87,99.39,-650.17,348.2477277,AC,Y,-18,320,P,1.4,0.6,0,1.4375,3,0.5,26.06614286,51.25,15
"Abalone Point, Point Reyes",AP,2013,37.92992,-122.745125,18.2466667,40,218,71,5053,295,153,224,142,105,2069,N,25480,0.67721519,0.088265622,5,2,0.4,3.7,296,297,303,316,2,1,10.16216216, South side of point,Miocene,marine sedimentary rocks,Siltstone,MioSiltstone,1,"Sandstone, shale, siltstone, conglomerate, and breccia; moderately to well consolidated.",http://maps.conservation.ca.gov/cgs/gmc/,rocky bench,300-325,Pair 1,424,31.99,9.33,42.8,73,52,14.78,1,142,85.55,-523.03,346.3429728,AP,N,5,302,E,0.470833333,1.3,0,2.583333333,4,1,31.98657143,49.31,17.41
Fort Bragg/Noyo Harbor,FB,2013,39.426116,-123.813343,647.60625,1305,272,7,512,328,280,304,48,9,1583,N,104367,0.735759494,0.095896061,28,8,5.6,9.8,82,361,361,376,33,81,10.65217391,On South side of small cove facing into waves (Northish),Pleistocene,marine and nonmarine (continental) sedimentary rocks,Alluvium,PleiAlluvium,2,"Older alluvium, lake, playa, and terrace deposits.",http://maps.conservation.ca.gov/cgs/gmc/,cobble,325 greater,Own 2,894,24.21,12,5.8,20,76,17.46,1,48,70.94,-367.29,388.3752172,FB,N,28,360,E,0.525,2.7,0.1,1.857142857,4.5,0.5,24.21442857,39.28,14.21
Pacifica,PC,2013,37.596935,-122.509446,1320,1320,301,53,20136,314,299,306.5,15,34,591,S,591,0.409810127,0.053413075,14,1.7,1.1,2.2,115,308,346,370,85,76,10.34444444,"N side of point, S side of beach (like PC, MK, CB)",Pleistocene-Holocene,marine and nonmarine (continental) sedimentary rocks,Alluvium,PleiAlluvium,2,"Alluvium, lake, playa, and terrace deposits; unconsolidated and semi-consolidated. Mostly nonmarine, but includes marine deposits near the coast.",http://maps.conservation.ca.gov/cgs/gmc/,cobble,325 greater,Pair 2,3047,26.45,9.33,16.2,4,56,16.52,1,15,63.08,-400.18,252.3475553,TC,Y,-14,395,M,1.314285714,4.5,0,1.892857143,4.5,0.5,26.10055556,40.5,9.87
Twin Coves,TC,2013,38.458225,-123.144095,999.951186,1456,238,0,160,247,189,218,58,164,150,N,150,0.074367089,0.00969272,56,1.96,0.6,3.6,256,313,317,315,66,57,10.53030303,On North side of small cove,Cretaceous-Jurassic,marine sedimentary and metasedimentary rocks,Shale,Franciscan,3,Melange of fragmented and sheared Franciscan Complex rocks.,http://maps.conservation.ca.gov/cgs/gmc/,cobble,300-325,Own 2,1515,24.96,18,24,5,60,13.36,1,58,63.08,-400.18,264.0715151,TC,Y,-56,306,M,0.85,3.9,0,1.321428571,4,0.5,23.88775,53.37,13.75
Arena Cove,AC,2014,38.914984,-123.710769,46.9341667,85,257,120,1289,282,195,238.5,87,61,1549,N,265,0.42721519,0.055681584,18,4,1.4,7.9,322,332,317,316,50,10,7.111111111,"In ""retention"" area on South side of point",Miocene,marine sedimentary rocks,Siltstone,MioSiltstone,1,"Sandstone, shale, siltstone, conglomerate, and breccia; moderately to well consolidated.",http://maps.conservation.ca.gov/cgs/gmc/,rocky bench,300-325,Pair 1,181,NA,3.67,3.2,NA,NA,NA,1,87,99.39,-650.17,56.60333332,AC,Y,-18,320,P,,,,,,,,,
"Abalone Point, Point Reyes",AP,2014,37.92992,-122.745125,18.2466667,40,218,71,5053,295,153,224,142,105,2069,N,25480,0.67721519,0.088265622,5,2,0.4,3.7,296,297,303,316,2,1,9.666666667, South side of point,Miocene,marine sedimentary rocks,Siltstone,MioSiltstone,1,"Sandstone, shale, siltstone, conglomerate, and breccia; moderately to well consolidated.",http://maps.conservation.ca.gov/cgs/gmc/,rocky bench,300-325,Pair 1,182,NA,9.33,44.4,NA,NA,NA,1,142,85.55,-523.03,303.9533334,AP,N,5,302,E,,,,,,,,,
Cape Blanco,CB,2014,42.839656,-124.563051,550,550,298,60,32000,385,323,354,62,37,240,S,255,0.212025316,0,85,17.7,13,24.8,139,394,357,27,9,105,7.333333333,"N side of point, S side of beach (like PC, MK, CB)",Eocene,marine sedimentary rocks,Siltstone,EoceneSandstone,4,"Marine sandstone, conglomerate, shale, and siltstone.",http://www.oregongeology.org/geologicmap/,cobble,325 greater,Pair 2,201,NA,21.67,49.2,NA,NA,NA,2,62,99.39,-650.17,78.68999997,CB,Y,-85,391,M,,,,,,,,,
Fort Bragg/Noyo Harbor,FB,2014,39.426116,-123.813343,647.60625,1305,272,7,512,328,280,304,48,9,1583,N,104367,0.735759494,0.095896061,28,8,5.6,9.8,82,361,361,366,33,81,10.14285714,On South side of small cove facing into waves (Northish),Pleistocene,marine and nonmarine (continental) sedimentary rocks,Alluvium,PleiAlluvium,2,"Older alluvium, lake, playa, and terrace deposits.",http://maps.conservation.ca.gov/cgs/gmc/,cobble,325 greater,Own 2,453,NA,12,5.6,NA,NA,NA,1,48,70.94,-367.29,352.2442855,FB,N,28,360,E,,,,,,,,,
Hardy Creek,HC,2014,39.711524,-123.810529,26.55375,54.75,215,18,2634,300,164,232,136,89,2133,N,76675,0.704113924,0,0,11.36,9.3,15.7,300,301,346,337,1,1,8.333333333,Very open coast,Tertiary-Cretaceous,marine sedimentary and metasedimentary rocks,Shale,TertSand,5,"Sandstone, shale, and minor conglomerate in coastal belt of northwestern California; included by some in Franciscan Complex. Previously considered Cretaceous, but now known to contain early Tertiary microfossils in places.",http://maps.conservation.ca.gov/cgs/gmc/,rocky bench,325 greater,Pair 3,172,NA,11,17.6,NA,NA,NA,2,136,111.49,-822.99,106.0933333,HC,N,0,302,E,,,,,,,,,
