"","Var1","Var2","Freq"
"3","Males.All","s1to3mmcombined",0.674177752076314
"4","No.Sex.All","s1to3mmcombined",0.832181771530906
"7","ALLREPRO","s1to3mmcombined",0.669341725366856
"11","Size.1","s1to3mmcombined",-0.634699149789504
"12","Size.2","s1to3mmcombined",-0.721649413144102
"17","Heading.S","s1to3mmcombined",-0.704408545433645
"19","m.to.nearest.pt","s1to3mmcombined",0.616175010151574
"23","Difference.from.300.Northery.heading","s1to3mmcombined",-0.558798191207009
"24","Total.degrees.opening","s1to3mmcombined",0.88741642113858
"28","Coastline.hab.angle","s1to3mmcombined",0.550976261736128
"29","Coastline.reg.0.5.km","s1to3mmcombined",-0.647049953148478
"30","Coastline.regional.50km","s1to3mmcombined",-0.709080305485183
"31","Coastline.reg.10.km","s1to3mmcombined",0.521681565668931
"32","Difference.between.Heading.N.and.reg.coast","s1to3mmcombined",-0.763076041780852
"33","Diff.hab.angle.and.coastline.reg","s1to3mmcombined",-0.766744842390876
"36","Reclog13","s1to3mmcombined",0.93640628178888
"40","Males.All","Females.All",0.796938573164497
"42","Ovigerous","Females.All",0.669869085119878
"44","ALLREPRO","Females.All",0.845085979434302
"53","Heading.N","Females.All",-0.817840765072609
"54","Heading.S","Females.All",-0.761448511133171
"55","Heading.minus.coast","Females.All",0.977169726879286
"58","percentage.of.MWD.within.range.2014","Females.All",-0.545438131654842
"59","percent.in.range.2013","Females.All",-0.545438131233866
"62","Slope.average","Females.All",-0.666498056029932
"63","Slope.min","Females.All",-0.705861297998849
"64","Slope.Max","Females.All",-0.586484338423354
"65","Coastline.hab.angle","Females.All",0.612831449609238
"66","Coastline.reg.0.5.km","Females.All",-0.756855605426555
"67","Coastline.regional.50km","Females.All",-0.779892630149202
"68","Coastline.reg.10.km","Females.All",0.747575088353026
"73","Reclog13","Females.All",0.571050384211576
"74","Oviglog13","Females.All",0.633176778224679
"75","s1to3mmcombined","Males.All",0.674177752076314
"76","Females.All","Males.All",0.796938573164497
"78","No.Sex.All","Males.All",0.687839090099174
"81","ALLREPRO","Males.All",0.966262306756788
"83","Lat","Males.All",-0.637047766443483
"84","Lon","Males.All",0.553176728320025
"86","Size.2","Males.All",-0.520774555036738
"90","Heading.N","Males.All",-0.670942617523776
"91","Heading.S","Males.All",-0.791596621906476
"92","Heading.minus.coast","Males.All",0.762423916869884
"94","m.to.land.in.300dir","Males.All",-0.78670897623093
"98","Total.degrees.opening","Males.All",0.604721658002744
"99","Slope.average","Males.All",-0.865443372535996
"100","Slope.min","Males.All",-0.949842559802437
"101","Slope.Max","Males.All",-0.676137478757421
"102","Coastline.hab.angle","Males.All",0.820493369998733
"103","Coastline.reg.0.5.km","Males.All",-0.636147309945568
"104","Coastline.regional.50km","Males.All",-0.940855882039829
"105","Coastline.reg.10.km","Males.All",0.80989778369318
"107","Diff.hab.angle.and.coastline.reg","Males.All",-0.732688961616025
"110","Reclog13","Males.All",0.864043102377452
"112","s1to3mmcombined","No.Sex.All",0.832181771530906
"114","Males.All","No.Sex.All",0.687839090099174
"117","X50cm2.10cm2","No.Sex.All",-0.797919737671497
"118","ALLREPRO","No.Sex.All",0.732830094609876
"119","bare.sand..fine.very.course.sand.","No.Sex.All",0.827800825636639
"122","Size.1","No.Sex.All",-0.874434355875538
"123","Size.2","No.Sex.All",-0.968727703307234
"124","Surfzone.size..m.","No.Sex.All",0.744827621052597
"128","Heading.S","No.Sex.All",-0.802802874593494
"130","m.to.nearest.pt","No.Sex.All",0.67398139652429
"134","Difference.from.300.Northery.heading","No.Sex.All",-0.555016966892505
"135","Total.degrees.opening","No.Sex.All",0.918027542052476
"139","Coastline.hab.angle","No.Sex.All",0.827614686441646
"140","Coastline.reg.0.5.km","No.Sex.All",-0.682017524565928
"141","Coastline.regional.50km","No.Sex.All",-0.814598166266564
