"","Var1","Var2","Freq"
"4","No.Sex.All","s1to3mmcombined",0.956073427285372
"29","Coastline.reg.0.5.km","s1to3mmcombined",-0.586318266695637
"36","Reclog14","s1to3mmcombined",0.848505573083202
"40","Males.All","Females.All",0.910736861876233
"42","Ovigerous","Females.All",0.774631750822551
"44","ALLREPRO","Females.All",0.957223310972793
"48","Size.1","Females.All",0.657895509250281
"49","Size.2","Females.All",0.721553670694506
"50","Surfzone.size..m.","Females.All",0.669328349798161
"64","Slope.Max","Females.All",0.532898499923971
"72","Embryos.per.m2","Females.All",0.639551118435025
"74","Oviglog14","Females.All",0.709611472930186
"76","Females.All","Males.All",0.910736861876233
"79","Ovigerous","Males.All",0.643660061439486
"81","ALLREPRO","Males.All",0.91460469448298
"85","Size.1","Males.All",0.625858396105136
"86","Size.2","Males.All",0.650921829559252
"87","Surfzone.size..m.","Males.All",0.588733679441295
"109","Embryos.per.m2","Males.All",0.529696779597806
"111","Oviglog14","Males.All",0.604729572232709
"112","s1to3mmcombined","No.Sex.All",0.956073427285372
"140","Coastline.reg.0.5.km","No.Sex.All",-0.516172406253895
"147","Reclog14","No.Sex.All",0.768338577372619
"150","Females.All","Ovigerous",0.774631750822551
"151","Males.All","Ovigerous",0.643660061439486
"154","X50cm2.10cm2","Ovigerous",0.52376461495487
"155","ALLREPRO","Ovigerous",0.684500093980235
"159","Size.1","Ovigerous",0.866809965343372
"160","Size.2","Ovigerous",0.878516293857075
"166","Heading.minus.coast","Ovigerous",0.549941059335092
"183","Embryos.per.m2","Ovigerous",0.909578035427898
"185","Oviglog14","Ovigerous",0.930393495368995
"190","Ovigerous","X50cm2.10cm2",0.52376461495487
"197","Size.2","X50cm2.10cm2",0.507156658691003
"219","Ovigerous.size","X50cm2.10cm2",0.784669692203957
"220","Embryos.per.m2","X50cm2.10cm2",0.657615870646921
"222","Oviglog14","X50cm2.10cm2",0.526031385215396
"224","Females.All","ALLREPRO",0.957223310972793
"225","Males.All","ALLREPRO",0.91460469448298
"227","Ovigerous","ALLREPRO",0.684500093980235
"233","Size.1","ALLREPRO",0.615280971214015
"234","Size.2","ALLREPRO",0.643385388513376
"235","Surfzone.size..m.","ALLREPRO",0.687305237711022
"247","Slope.average","ALLREPRO",0.595665867567186
"249","Slope.Max","ALLREPRO",0.664140742690231
"257","Embryos.per.m2","ALLREPRO",0.602231430307314
"259","Oviglog14","ALLREPRO",0.650755902718616
"268","Lat","bare.sand..fine.very.course.sand.",-0.541992279514392
"269","Lon","bare.sand..fine.very.course.sand.",0.645320548090667
"275","Heading.N","bare.sand..fine.very.course.sand.",-0.689592568559224
"282","Difference.from.300.Northery.heading","bare.sand..fine.very.course.sand.",0.572489026402144
"291","Difference.between.Heading.N.and.reg.coast","bare.sand..fine.very.course.sand.",0.83803025983306
"292","Diff.hab.angle.and.coastline.reg","bare.sand..fine.very.course.sand.",0.568127125206606
"304","bare.sand..fine.very.course.sand.","Lat",-0.541992279514392
"306","Lon","Lat",-0.945356810969242
"307","Size.1","Lat",0.50894349342692
"308","Size.2","Lat",0.52240810491233
"312","Heading.N","Lat",0.586131102377825
"323","Slope.Max","Lat",0.551567530315835
"326","Coastline.regional.50km","Lat",0.615051546925122
"328","Difference.between.Heading.N.and.reg.coast","Lat",-0.558371731650589
"330","Ovigerous.size","Lat",-0.587338404067186
"341","bare.sand..fine.very.course.sand.","Lon",0.645320548090667
"342","Lat","Lon",-0.945356810969242
"349","Heading.N","Lon",-0.616022907137494
"363","Coastline.regional.50km","Lon",-0.557309954784226
"365","Difference.between.Heading.N.and.reg.coast","Lon",0.656554186424085
"367","Ovigerous.size","Lon",0.603404677309467
"372","Females.All","Size.1",0.657895509250281
"373","Males.All","Size.1",0.625858396105136
"375","Ovigerous","Size.1",0.866809965343372
"377","ALLREPRO","Size.1",0.615280971214015
"379","Lat","Size.1",0.50894349342692
"382","Size.2","Size.1",0.969997056972682
"405","Embryos.per.m2","Size.1",0.852043147532247
"406","Reclog14","Size.1",-0.56566071708613
"407","Oviglog14","Size.1",0.74107664681167
"409","Females.All","Size.2",0.721553670694506
"410","Males.All","Size.2",0.650921829559252
"412","Ovigerous","Size.2",0.878516293857075
"413","X50cm2.10cm2","Size.2",0.507156658691003
"414","ALLREPRO","Size.2",0.643385388513376
"416","Lat","Size.2",0.52240810491233
"418","Size.1","Size.2",0.969997056972682
"442","Embryos.per.m2","Size.2",0.819323277528079
"443","Reclog14","Size.2",-0.506341948775451
"444","Oviglog14","Size.2",0.750991503554007
"446","Females.All","Surfzone.size..m.",0.669328349798161
"447","Males.All","Surfzone.size..m.",0.588733679441295
"451","ALLREPRO","Surfzone.size..m.",0.687305237711022
"471","Slope.Max","Surfzone.size..m.",0.514488059032678
"496","Heading","Size.of.opening",-0.659517359183874
"497","Heading.N","Size.of.opening",0.573292111177829
"498","Heading.S","Size.of.opening",0.68885563656628
"510","Coastline.reg.0.5.km","Size.of.opening",0.632682203548115
"512","Coastline.reg.10.km","Size.of.opening",-0.564234230775139
"532","Size.of.opening","Heading",-0.659517359183874
"537","m.to.nearest.pt","Heading",0.550994691818645
"538","m.to.land.in.300dir","Heading",0.681292472911316
"539","percentage.of.MWD.within.range.2014","Heading",0.659370386712567
"541","Difference.from.300.Northery.heading","Heading",-0.516264988041432
"563","bare.sand..fine.very.course.sand.","Heading.N",-0.689592568559224
"564","Lat","Heading.N",0.586131102377825
"565","Lon","Heading.N",-0.616022907137494
"569","Size.of.opening","Heading.N",0.573292111177829
"572","Heading.S","Heading.N",0.736920133568859
"573","Heading.minus.coast","Heading.N",-0.699426519692743
"582","Slope.Max","Heading.N",0.520550980211556
"585","Coastline.regional.50km","Heading.N",0.634357437803258
"586","Coastline.reg.10.km","Heading.N",-0.76252519161538
"587","Difference.between.Heading.N.and.reg.coast","Heading.N",-0.72629936841235
"606","Size.of.opening","Heading.S",0.68885563656628
"608","Heading.N","Heading.S",0.736920133568859
"610","Heading.minus.coast","Heading.S",-0.78200917630927
"616","Total.degrees.opening","Heading.S",-0.587041723587776
"620","Coastline.hab.angle","Heading.S",-0.664439398137206
