Site,Quadrat,Slope
CB,Slope 1,7
HC,Slope 1,9.6
KC,Slope 1,15.4
MB,Slope 1,11
MK,Slope 1,13.6
PP,Slope 1,2.6
PSG,Slope 1,7.5
WP,Slope 1,16.2
AC,Slope 1,1.4
AP,Slope 1,1.4
FB,Slope 1,8.6
PC,Slope 1,2
TC,Slope 1,1.6
CB,Slope 10,17.1
HC,Slope 10,12.2
KC,Slope 10,15.4
MB,Slope 10,4.6
MK,Slope 10,22.1
PP,Slope 10,4
PSG,Slope 10,8.4
WP,Slope 10,18.5
CB,Slope 11,17.4
HC,Slope 11,12.9
KC,Slope 11,16.1
MB,Slope 11,5.4
MK,Slope 11,12.5
PP,Slope 11,0.7
PSG,Slope 11,10.7
WP,Slope 11,18
CB,Slope 12,16.5
HC,Slope 12,12.1
KC,Slope 12,16.2
MB,Slope 12,6
MK,Slope 12,9
PP,Slope 12,6.3
PSG,Slope 12,11.6
WP,Slope 12,14.9
CB,Slope 13,8.8
HC,Slope 13,7.7
KC,Slope 13,15.5
MB,Slope 13,8.7
MK,Slope 13,14.6
PP,Slope 13,1.6
PSG,Slope 13,8.1
WP,Slope 13,13.1
CB,Slope 14,15
HC,Slope 14,7.8
KC,Slope 14,15.4
MB,Slope 14,10.5
MK,Slope 14,16.3
PP,Slope 14,3.4
PSG,Slope 14,4
WP,Slope 14,15.6
CB,Slope 15,16.3
HC,Slope 15,12.7
KC,Slope 15,16.5
MB,Slope 15,4.2
MK,Slope 15,24.8
PP,Slope 15,2.2
PSG,Slope 15,9.7
WP,Slope 15,14.8
MB,Slope 16,5.4
CB,Slope 2,15.2
HC,Slope 2,11
KC,Slope 2,15.9
MB,Slope 2,9.7
MK,Slope 2,20.2
PP,Slope 2,0.6
PSG,Slope 2,11.1
WP,Slope 2,15.7
AC,Slope 2,7.9
AP,Slope 2,3.7
FB,Slope 2,9.6
PC,Slope 2,1.1
TC,Slope 2,3.6
CB,Slope 3,13.4
HC,Slope 3,9.8
KC,Slope 3,18.1
MB,Slope 3,13.6
MK,Slope 3,15.8
PP,Slope 3,1.7
PSG,Slope 3,7
WP,Slope 3,14.2
AC,Slope 3,7.2
AP,Slope 3,2.6
FB,Slope 3,5.6
PC,Slope 3,2.2
TC,Slope 3,1.6
CB,Slope 4,21
HC,Slope 4,10.3
KC,Slope 4,17.3
MB,Slope 4,4.9
MK,Slope 4,23.4
PP,Slope 4,5.4
PSG,Slope 4,7.4
WP,Slope 4,21.4
AC,Slope 4,1.4
AP,Slope 4,0.4
FB,Slope 4,6.2
PC,Slope 4,1.5
TC,Slope 4,2.4
CB,Slope 5,13.1
HC,Slope 5,9.6
KC,Slope 5,15.5
MB,Slope 5,5.6
MK,Slope 5,12.6
PP,Slope 5,6.7
PSG,Slope 5,9.5
WP,Slope 5,18.3
AC,Slope 5,1.8
AP,Slope 5,1.8
FB,Slope 5,9.8
PC,Slope 5,1.6
TC,Slope 5,0.6
CB,Slope 6,17.3
HC,Slope 6,15.1
KC,Slope 6,16.4
MB,Slope 6,10.4
MK,Slope 6,20.5
PP,Slope 6,1.3
PSG,Slope 6,10.5
WP,Slope 6,13.1
CB,Slope 7,13.2
HC,Slope 7,13.6
KC,Slope 7,14.1
MB,Slope 7,9.2
MK,Slope 7,25.2
PP,Slope 7,2.8
PSG,Slope 7,6.6
WP,Slope 7,15.9
CB,Slope 8,19.5
HC,Slope 8,7.5
KC,Slope 8,14.8
MB,Slope 8,9.5
MK,Slope 8,21.4
PP,Slope 8,6.5
PSG,Slope 8,8.8
WP,Slope 8,20.6
CB,Slope 9,13.5
HC,Slope 9,7.3
KC,Slope 9,14.2
MB,Slope 9,8.5
MK,Slope 9,18
PP,Slope 9,2.4
PSG,Slope 9,10.8
WP,Slope 9,17.6
